protocol,nodes,trafficLevel,n_seeds,pdr_mean,pdr_sd,throughputKbps_mean,avgDelaySec_mean,avgJitterSec_mean,unreachableSensors_mean,routingOverheadPkts_mean,total_phy_rx_drops_mean,total_mac_queue_drops_mean,total_ip_drop_no_route_mean,total_ip_drop_ttl_mean,total_ip_drop_route_error_mean,total_ip_drop_other_mean,gw_airtime_busy_frac_mean,ring1_airtime_busy_frac_mean_mean,rest_airtime_busy_frac_mean_mean,ring1_node_count_mean,txPkts_mean,rxPkts_mean
olsr,30,high,11,42.525,8.321,215.009,0.10178,0.04972,0.091,0.0,2206936,573.3,3.0,0.3,0.0,0.0,0.4375,0.4137,0.3327,12.5,31602,13438
olsr,30,medium,11,38.230,10.141,96.704,0.06776,0.03243,0.091,0.0,941572,0.0,0.0,0.0,0.0,0.0,0.1850,0.1745,0.1370,12.5,15810,6044
olsr,50,high,11,38.699,5.642,326.036,0.19823,0.09926,0.000,0.0,6451845,10135.0,15.3,0.6,0.0,0.0,0.7353,0.7197,0.6012,22.2,52658,20377
olsr,50,medium,11,37.898,7.281,159.776,0.13780,0.06993,0.000,0.0,3130330,15.2,0.0,0.3,0.0,0.0,0.3630,0.3423,0.2734,22.2,26350,9986
olsr,75,high,11,25.206,2.654,315.719,0.30123,0.13854,0.000,0.0,12997211,28190.6,228.7,0.0,0.0,0.0,0.8638,0.8549,0.7455,32.3,78208,19732
olsr,75,medium,11,34.830,3.249,220.260,0.23209,0.12258,0.000,0.0,7581263,1704.2,0.4,0.4,0.0,0.0,0.5807,0.5482,0.4448,32.3,39525,13766
olsr,100,high,11,14.732,1.949,235.667,0.36650,0.16355,0.000,0.0,19597269,43475.9,1335.8,0.1,0.0,0.0,0.8893,0.8809,0.7853,41.7,99899,14729
olsr,100,medium,11,28.546,3.300,239.811,0.31976,0.17216,0.000,0.0,13971261,9542.0,65.6,0.1,0.0,0.0,0.7433,0.7168,0.6018,41.7,52492,14988
static,30,high,11,44.212,10.889,223.676,0.07461,0.03067,0.091,0.0,1861048,1.5,0.0,0.0,0.0,0.0,0.3653,0.3403,0.2595,12.5,31620,13980
static,30,medium,11,41.564,8.562,105.140,0.07041,0.02917,0.091,0.0,866895,0.0,0.0,0.0,0.0,0.0,0.1717,0.1589,0.1207,12.5,15810,6571
static,50,high,11,39.110,7.928,329.775,0.13529,0.05505,0.000,0.0,4556620,3256.9,0.0,0.0,0.0,0.0,0.5622,0.5353,0.4241,22.2,52700,20611
static,50,medium,11,36.444,5.004,153.649,0.09723,0.03892,0.000,0.0,2084300,0.0,0.0,0.0,0.0,0.0,0.2424,0.2271,0.1743,22.2,26350,9603
static,75,high,11,28.926,2.915,365.860,0.15312,0.06539,0.000,0.0,7968847,6550.3,0.0,0.0,0.0,0.0,0.6219,0.6027,0.4800,32.3,79050,22866
static,75,medium,11,30.674,4.354,193.985,0.12049,0.04675,0.000,0.0,3970639,1.3,0.0,0.0,0.0,0.0,0.3041,0.2830,0.2158,32.3,39525,12124
static,100,high,11,22.055,2.660,371.939,0.18535,0.07646,0.000,0.0,12394912,12463.7,0.0,0.0,0.0,0.0,0.6559,0.6416,0.5368,41.7,105400,23246
static,100,medium,11,27.802,5.600,234.429,0.16654,0.06028,0.000,0.0,6809568,284.2,0.0,0.0,0.0,0.0,0.3849,0.3570,0.2769,41.7,52700,14652
