protocol,nodes,trafficLevel,frac_nodes_hop_le1,frac_phyrx_hop_le1,frac_macq_hop_le1,frac_fwd_hop_le1,frac_ccabusy_hop_le1,phyrx_conc_ratio,macq_conc_ratio,fwd_conc_ratio
olsr,30,high,0.418,0.384,0.279,0.484,0.558,0.919,0.668,1.157
olsr,30,medium,0.418,0.375,nan,0.487,0.532,0.898,nan,1.164
olsr,50,high,0.444,0.418,0.671,0.682,0.569,0.941,1.512,1.538
olsr,50,medium,0.444,0.411,0.165,0.413,0.573,0.926,0.373,0.931
olsr,75,high,0.430,0.412,0.758,0.777,0.538,0.958,1.760,1.807
olsr,75,medium,0.430,0.405,0.594,0.536,0.561,0.942,1.380,1.246
olsr,100,high,0.417,0.405,0.781,0.775,0.521,0.971,1.871,1.858
olsr,100,medium,0.417,0.399,0.758,0.696,0.538,0.956,1.816,1.669
static,30,high,0.418,0.372,1.000,0.874,0.529,0.890,2.391,2.089
static,30,medium,0.418,0.369,nan,0.876,0.523,0.884,nan,2.095
static,50,high,0.444,0.402,0.924,0.955,0.554,0.907,2.084,2.152
static,50,medium,0.444,0.398,nan,0.954,0.548,0.897,nan,2.149
static,75,high,0.430,0.391,0.948,0.984,0.526,0.909,2.203,2.286
static,75,medium,0.430,0.386,1.000,0.978,0.525,0.897,2.324,2.274
static,100,high,0.417,0.387,0.864,0.980,0.517,0.928,2.072,2.350
static,100,medium,0.417,0.378,0.984,0.974,0.524,0.905,2.358,2.334
