protocol,nodes,trafficLevel,relation,pearson_r,n_nodes_pooled
olsr,30,high,phyrx_vs_dist,0.516,330
olsr,30,high,phyrx_vs_hop,0.389,330
olsr,30,high,macq_vs_hop,0.012,330
olsr,30,high,airtime_vs_hop,-0.480,330
olsr,30,high,fwd_vs_hop,-0.122,330
olsr,30,high,airtime_vs_dist,-0.564,330
olsr,30,medium,phyrx_vs_dist,0.323,330
olsr,30,medium,phyrx_vs_hop,0.337,330
olsr,30,medium,macq_vs_hop,nan,330
olsr,30,medium,airtime_vs_hop,-0.355,330
olsr,30,medium,fwd_vs_hop,-0.060,330
olsr,30,medium,airtime_vs_dist,-0.517,330
olsr,50,high,phyrx_vs_dist,0.612,550
olsr,50,high,phyrx_vs_hop,0.527,550
olsr,50,high,macq_vs_hop,-0.341,550
olsr,50,high,airtime_vs_hop,-0.610,550
olsr,50,high,fwd_vs_hop,-0.536,550
olsr,50,high,airtime_vs_dist,-0.706,550
olsr,50,medium,phyrx_vs_dist,0.474,550
olsr,50,medium,phyrx_vs_hop,0.428,550
olsr,50,medium,macq_vs_hop,0.107,550
olsr,50,medium,airtime_vs_hop,-0.508,550
olsr,50,medium,fwd_vs_hop,0.011,550
olsr,50,medium,airtime_vs_dist,-0.587,550
olsr,75,high,phyrx_vs_dist,0.627,825
olsr,75,high,phyrx_vs_hop,0.538,825
olsr,75,high,macq_vs_hop,-0.588,825
olsr,75,high,airtime_vs_hop,-0.672,825
olsr,75,high,fwd_vs_hop,-0.691,825
olsr,75,high,airtime_vs_dist,-0.821,825
olsr,75,medium,phyrx_vs_dist,0.625,825
olsr,75,medium,phyrx_vs_hop,0.534,825
olsr,75,medium,macq_vs_hop,-0.204,825
olsr,75,medium,airtime_vs_hop,-0.656,825
olsr,75,medium,fwd_vs_hop,-0.233,825
olsr,75,medium,airtime_vs_dist,-0.780,825
olsr,100,high,phyrx_vs_dist,0.534,1100
olsr,100,high,phyrx_vs_hop,0.455,1100
olsr,100,high,macq_vs_hop,-0.681,1100
olsr,100,high,airtime_vs_hop,-0.677,1100
olsr,100,high,fwd_vs_hop,-0.706,1100
olsr,100,high,airtime_vs_dist,-0.856,1100
olsr,100,medium,phyrx_vs_dist,0.658,1100
olsr,100,medium,phyrx_vs_hop,0.547,1100
olsr,100,medium,macq_vs_hop,-0.478,1100
olsr,100,medium,airtime_vs_hop,-0.659,1100
olsr,100,medium,fwd_vs_hop,-0.614,1100
olsr,100,medium,airtime_vs_dist,-0.791,1100
static,30,high,phyrx_vs_dist,0.438,330
static,30,high,phyrx_vs_hop,0.408,330
static,30,high,macq_vs_hop,-0.104,330
static,30,high,airtime_vs_hop,-0.329,330
static,30,high,fwd_vs_hop,-0.306,330
static,30,high,airtime_vs_dist,-0.422,330
static,30,medium,phyrx_vs_dist,0.431,330
static,30,medium,phyrx_vs_hop,0.377,330
static,30,medium,macq_vs_hop,nan,330
static,30,medium,airtime_vs_hop,-0.446,330
static,30,medium,fwd_vs_hop,-0.316,330
static,30,medium,airtime_vs_dist,-0.514,330
static,50,high,phyrx_vs_dist,0.450,550
static,50,high,phyrx_vs_hop,0.409,550
static,50,high,macq_vs_hop,-0.184,550
static,50,high,airtime_vs_hop,-0.408,550
static,50,high,fwd_vs_hop,-0.287,550
static,50,high,airtime_vs_dist,-0.477,550
static,50,medium,phyrx_vs_dist,0.629,550
static,50,medium,phyrx_vs_hop,0.546,550
static,50,medium,macq_vs_hop,nan,550
static,50,medium,airtime_vs_hop,-0.528,550
static,50,medium,fwd_vs_hop,-0.293,550
static,50,medium,airtime_vs_dist,-0.613,550
static,75,high,phyrx_vs_dist,0.527,825
static,75,high,phyrx_vs_hop,0.445,825
static,75,high,macq_vs_hop,-0.213,825
static,75,high,airtime_vs_hop,-0.516,825
static,75,high,fwd_vs_hop,-0.256,825
static,75,high,airtime_vs_dist,-0.633,825
static,75,medium,phyrx_vs_dist,0.547,825
static,75,medium,phyrx_vs_hop,0.468,825
static,75,medium,macq_vs_hop,-0.059,825
static,75,medium,airtime_vs_hop,-0.523,825
static,75,medium,fwd_vs_hop,-0.245,825
static,75,medium,airtime_vs_dist,-0.637,825
static,100,high,phyrx_vs_dist,0.454,1100
static,100,high,phyrx_vs_hop,0.388,1100
static,100,high,macq_vs_hop,-0.203,1100
static,100,high,airtime_vs_hop,-0.509,1100
static,100,high,fwd_vs_hop,-0.234,1100
static,100,high,airtime_vs_dist,-0.664,1100
static,100,medium,phyrx_vs_dist,0.407,1100
static,100,medium,phyrx_vs_hop,0.343,1100
static,100,medium,macq_vs_hop,-0.090,1100
static,100,medium,airtime_vs_hop,-0.410,1100
static,100,medium,fwd_vs_hop,-0.226,1100
static,100,medium,airtime_vs_dist,-0.531,1100
