protocol,nodes,trafficLevel,hop_bin,n_nodes_per_seed_mean,airtime_busy_frac_node_mean,airtime_ccabusy_s_node_mean,phy_rx_drops_node_mean,phy_rx_drops_bin_total_mean,mac_queue_drops_node_mean,mac_queue_drops_bin_total_mean,l3_unicast_forwarded_node_mean,app_pkts_originated_node_mean,ip_drop_no_route_node_mean,ip_drop_route_error_node_mean,dist_to_gw_m_node_mean
olsr,30,high,gw,1.00,0.4375,50.707,64872,64872,0.00,0.0,0.0,0.0,0.00,0.00,0.0
olsr,30,high,hop1,12.55,0.4204,37.011,65863,826278,16.43,206.2,357.1,1054.0,0.00,0.00,60.2
olsr,30,high,hop2,15.36,0.3375,21.027,74349,1142268,23.18,356.1,306.3,1053.3,0.20,0.00,119.1
olsr,30,high,hop3,2.00,0.2701,15.988,82065,164130,5.41,10.8,109.0,1051.9,0.00,0.00,144.4
olsr,30,high,unreach,0.09,0.3274,31.291,103272,9388,2.00,0.2,0.0,1029.0,0.00,0.00,148.7
olsr,30,medium,gw,1.00,0.1850,17.710,26416,26416,0.00,0.0,0.0,0.0,0.00,0.00,0.0
olsr,30,medium,hop1,12.55,0.1783,14.254,27621,346515,0.00,0.0,106.0,527.0,0.00,0.00,60.2
olsr,30,medium,hop2,15.36,0.1369,8.405,31626,485888,0.00,0.0,102.7,527.0,0.00,0.00,119.1
olsr,30,medium,hop3,2.00,0.1250,6.844,39943,79887,0.00,0.0,24.7,526.8,0.00,0.00,144.4
olsr,30,medium,unreach,0.09,0.0741,7.337,31538,2867,0.00,0.0,3.0,527.0,0.00,0.00,148.7
olsr,50,high,gw,1.00,0.7353,92.764,118191,118191,4.36,4.4,0.0,0.0,0.00,0.00,0.0
olsr,50,high,hop1,22.18,0.7236,78.499,119115,2642180,307.14,6812.9,763.7,1053.5,0.21,0.00,59.9
olsr,50,high,hop2,26.73,0.6049,47.719,132144,3531839,123.72,3306.6,289.9,1053.0,0.39,0.00,120.3
olsr,50,high,hop3,1.09,0.4437,25.385,146333,159636,10.17,11.1,83.0,1050.6,0.00,0.00,155.5
olsr,50,medium,gw,1.00,0.3630,41.062,55432,55432,0.00,0.0,0.0,0.0,0.00,0.00,0.0
olsr,50,medium,hop1,22.18,0.3422,31.993,56725,1258271,0.06,1.3,110.6,527.0,0.00,0.00,59.9
olsr,50,medium,hop2,26.73,0.2762,19.169,64697,1729176,0.51,13.7,128.8,527.0,0.00,0.00,120.3
olsr,50,medium,hop3,1.09,0.2024,10.613,80164,87451,0.17,0.2,8.8,527.0,0.00,0.00,155.5
olsr,75,high,gw,1.00,0.8638,124.192,164210,164210,20.27,20.3,0.0,0.0,0.00,0.00,0.0
