protocol,nodes,trafficLevel,n_seeds,pdr_mean,pdr_sd,throughputKbps_mean,avgDelaySec_mean,lost_mean,total_max_retry_drops_mean,total_mac_queue_drops_mean,total_phy_rx_drops_mean,total_ip_drop_no_route_mean,gw_airtime_busy_frac_mean,ring1_airtime_busy_frac_mean_mean,retry_frac_of_loss_mean,macq_frac_of_loss_mean,accounted_frac_of_loss_mean
olsr,50,high,3,41.890,5.599,352.720,0.20074,30584.3,3172.3,9913.7,6802130,32.7,0.7662,0.7552,10.52,33.06,43.70
olsr,50,medium,3,41.084,8.728,173.211,0.14144,15524.3,2644.0,29.0,3500210,0.0,0.3902,0.3703,18.01,0.23,18.25
olsr,75,high,3,26.277,1.635,329.984,0.30038,57873.0,2462.7,29747.0,13283574,94.7,0.8701,0.8631,4.25,51.47,55.88
olsr,75,medium,3,37.766,1.544,238.832,0.24195,24598.0,3319.7,2009.0,8066652,0.0,0.6168,0.5853,13.45,8.16,21.62
olsr,100,high,3,14.532,1.390,230.603,0.36337,84568.0,1757.3,44776.0,19535240,1782.7,0.8896,0.8794,2.08,52.99,57.18
olsr,100,medium,3,29.290,3.594,245.285,0.31736,36951.7,3305.7,9432.7,14315457,120.3,0.7584,0.7283,8.94,25.36,34.62
static,50,high,3,39.848,1.834,336.000,0.14498,31700.0,1269.7,3712.7,4580262,0.0,0.5617,0.5424,4.04,12.09,16.13
static,50,medium,3,34.348,2.285,144.811,0.08942,17299.3,305.7,0.0,2034634,0.0,0.2261,0.2174,1.77,0.00,1.77
static,75,high,3,28.939,4.473,366.016,0.15252,56174.0,1204.7,4145.3,7632470,0.0,0.5949,0.5802,2.17,7.50,9.67
static,75,medium,3,27.508,4.514,173.963,0.11038,28652.3,419.3,0.0,3555054,0.0,0.2725,0.2585,1.50,0.00,1.50
static,100,high,3,21.785,1.907,367.387,0.20347,82438.3,1738.0,11057.0,12853035,0.0,0.6491,0.6432,2.11,13.52,15.63
static,100,medium,3,28.159,5.470,237.435,0.17112,37860.3,1182.3,480.3,7062952,0.0,0.3913,0.3733,3.22,1.40,4.62
