protocol,nodes,trafficLevel,frac_nodes_hop_le1,frac_retry_hop_le1,frac_phyrx_hop_le1,frac_macq_hop_le1,retry_conc_ratio,phyrx_conc_ratio,macq_conc_ratio
olsr,50,high,0.440,0.064,0.412,0.720,0.146,0.937,1.635
olsr,50,medium,0.440,0.045,0.409,0.034,0.101,0.929,0.078
olsr,75,high,0.427,0.022,0.408,0.767,0.051,0.957,1.798
olsr,75,medium,0.427,0.132,0.401,0.646,0.309,0.940,1.514
olsr,100,high,0.417,0.021,0.405,0.789,0.051,0.973,1.894
olsr,100,medium,0.417,0.061,0.399,0.753,0.147,0.957,1.807
static,50,high,0.440,0.224,0.396,0.778,0.508,0.899,1.768
static,50,medium,0.440,0.203,0.392,nan,0.462,0.890,nan
static,75,high,0.427,0.169,0.382,0.930,0.397,0.895,2.179
static,75,medium,0.427,0.468,0.378,nan,1.096,0.886,nan
static,100,high,0.417,0.021,0.388,0.841,0.051,0.932,2.018
static,100,medium,0.417,0.341,0.380,0.969,0.819,0.912,2.324
