protocol,nodes,trafficLevel,relation,pearson_r,n_nodes_pooled
olsr,50,high,retry_vs_hop,0.682,150
olsr,50,high,retry_vs_dist,0.738,150
olsr,50,high,retry_vs_airtime,-0.627,150
olsr,50,high,retry_vs_macq,-0.217,150
olsr,50,high,retry_vs_phyrx,0.747,150
olsr,50,medium,retry_vs_hop,0.656,150
olsr,50,medium,retry_vs_dist,0.587,150
olsr,50,medium,retry_vs_airtime,-0.325,150
olsr,50,medium,retry_vs_macq,0.364,150
olsr,50,medium,retry_vs_phyrx,0.484,150
olsr,75,high,retry_vs_hop,0.594,225
olsr,75,high,retry_vs_dist,0.711,225
olsr,75,high,retry_vs_airtime,-0.823,225
olsr,75,high,retry_vs_macq,-0.435,225
olsr,75,high,retry_vs_phyrx,0.630,225
olsr,75,medium,retry_vs_hop,0.621,225
olsr,75,medium,retry_vs_dist,0.704,225
olsr,75,medium,retry_vs_airtime,-0.629,225
olsr,75,medium,retry_vs_macq,0.004,225
olsr,75,medium,retry_vs_phyrx,0.587,225
olsr,100,high,retry_vs_hop,0.471,300
olsr,100,high,retry_vs_dist,0.652,300
olsr,100,high,retry_vs_airtime,-0.794,300
olsr,100,high,retry_vs_macq,-0.404,300
olsr,100,high,retry_vs_phyrx,0.493,300
olsr,100,medium,retry_vs_hop,0.676,300
olsr,100,medium,retry_vs_dist,0.770,300
olsr,100,medium,retry_vs_airtime,-0.788,300
olsr,100,medium,retry_vs_macq,-0.270,300
olsr,100,medium,retry_vs_phyrx,0.583,300
static,50,high,retry_vs_hop,0.181,150
static,50,high,retry_vs_dist,0.322,150
static,50,high,retry_vs_airtime,-0.124,150
static,50,high,retry_vs_macq,0.028,150
static,50,high,retry_vs_phyrx,0.284,150
static,50,medium,retry_vs_hop,0.157,150
static,50,medium,retry_vs_dist,0.280,150
static,50,medium,retry_vs_airtime,-0.170,150
static,50,medium,retry_vs_macq,nan,150
static,50,medium,retry_vs_phyrx,0.212,150
static,75,high,retry_vs_hop,0.220,225
static,75,high,retry_vs_dist,0.277,225
static,75,high,retry_vs_airtime,-0.096,225
static,75,high,retry_vs_macq,-0.029,225
static,75,high,retry_vs_phyrx,0.229,225
static,75,medium,retry_vs_hop,-0.006,225
static,75,medium,retry_vs_dist,0.117,225
static,75,medium,retry_vs_airtime,0.024,225
static,75,medium,retry_vs_macq,nan,225
static,75,medium,retry_vs_phyrx,0.187,225
static,100,high,retry_vs_hop,0.283,300
static,100,high,retry_vs_dist,0.392,300
static,100,high,retry_vs_airtime,-0.245,300
static,100,high,retry_vs_macq,-0.053,300
static,100,high,retry_vs_phyrx,0.194,300
static,100,medium,retry_vs_hop,0.046,300
static,100,medium,retry_vs_dist,0.228,300
static,100,medium,retry_vs_airtime,-0.041,300
static,100,medium,retry_vs_macq,0.130,300
static,100,medium,retry_vs_phyrx,0.237,300
