protocol,nodes,trafficLevel,hop_bin,n_nodes_per_seed_mean,airtime_busy_frac_node_mean,max_retry_drops_node_mean,max_retry_drops_bin_total_mean,phy_rx_drops_node_mean,mac_queue_drops_node_mean,l3_unicast_forwarded_node_mean,dist_to_gw_m_node_mean
olsr,50,high,gw,1.00,0.7662,0.00,0.0,123552,7.33,0.0,0.0
olsr,50,high,hop1,22.00,0.7621,9.39,206.7,125321,321.27,830.3,57.5
olsr,50,high,hop2,26.67,0.6245,101.95,2718.7,139147,105.69,274.4,121.0
olsr,50,high,hop3,1.33,0.4941,185.25,247.0,158184,15.00,165.5,155.3
olsr,50,medium,gw,1.00,0.3902,0.00,0.0,62415,0.00,0.0,0.0
olsr,50,medium,hop1,22.00,0.3693,5.42,119.3,63441,0.05,111.3,57.5
olsr,50,medium,hop2,26.67,0.2997,85.62,2283.3,71884,1.05,157.9,121.0
olsr,50,medium,hop3,1.33,0.2636,181.00,241.3,93879,0.00,16.5,155.3
olsr,75,high,gw,1.00,0.8701,0.00,0.0,166944,16.33,0.0,0.0
olsr,75,high,hop1,32.00,0.8646,1.59,51.0,166308,718.16,1148.8,59.8
olsr,75,high,hop2,42.67,0.7501,55.63,2373.7,181136,158.20,235.9,122.1
olsr,75,high,hop3,0.33,0.5612,114.00,38.0,198876,0.00,41.0,168.7
olsr,75,medium,gw,1.00,0.6168,0.00,0.0,99390,1.33,0.0,0.0
olsr,75,medium,hop1,32.00,0.5838,13.25,424.0,98995,40.53,246.6,59.8
olsr,75,medium,hop2,42.67,0.4778,66.84,2852.0,111537,16.66,148.4,122.1
olsr,75,medium,hop3,0.33,0.4225,131.00,43.7,121462,0.00,9.0,168.7
olsr,100,high,gw,1.00,0.8896,0.33,0.3,190820,71.67,0.0,0.0
olsr,100,high,hop1,41.67,0.8809,0.85,35.3,187456,847.34,1098.5,61.2
olsr,100,high,hop2,58.00,0.7836,29.14,1690.0,197592,162.00,219.6,121.1
olsr,100,high,hop3,0.33,0.5858,95.00,31.7,220229,7.00,50.0,168.7
olsr,100,medium,gw,1.00,0.7584,0.00,0.0,137423,13.67,0.0,0.0
olsr,100,medium,hop1,41.67,0.7277,4.86,202.3,134814,169.21,443.3,61.2
olsr,100,medium,hop2,58.00,0.6162,52.90,3068.3,146666,40.84,143.7,121.1
olsr,100,medium,hop3,0.33,0.4543,105.00,35.0,162443,0.00,30.0,168.7
static,50,high,gw,1.00,0.5617,0.00,0.0,77480,1.67,0.0,0.0
static,50,high,hop1,22.00,0.5424,12.14,267.0,81007,134.23,635.9,57.5
static,50,high,hop2,26.67,0.4344,36.92,984.7,95810,28.43,39.8,121.0
static,50,high,hop3,1.33,0.3836,13.50,18.0,124283,0.00,0.0,155.3
static,50,medium,gw,1.00,0.2261,0.00,0.0,34196,0.00,0.0,0.0
static,50,medium,hop1,22.00,0.2167,2.83,62.3,35633,0.00,280.3,57.5
static,50,medium,hop2,26.67,0.1683,8.81,235.0,42894,0.00,18.5,121.0
static,50,medium,hop3,1.33,0.1263,6.25,8.3,54508,0.00,0.0,155.3
static,75,high,gw,1.00,0.5949,0.00,0.0,87477,1.67,0.0,0.0
static,75,high,hop1,32.00,0.5809,5.19,166.0,89932,116.09,550.9,59.8
static,75,high,hop2,42.67,0.4527,23.66,1009.3,108659,10.05,1.3,122.1
static,75,high,hop3,0.33,0.2101,88.00,29.3,93181,0.00,0.0,168.7
static,75,medium,gw,1.00,0.2725,0.00,0.0,40354,0.00,0.0,0.0
static,75,medium,hop1,32.00,0.2556,5.76,184.3,41036,0.00,218.1,59.8
static,75,medium,hop2,42.67,0.1949,5.42,231.3,51249,0.00,0.9,122.1
static,75,medium,hop3,0.33,0.0810,11.00,3.7,44724,0.00,0.0,168.7
static,100,high,gw,1.00,0.6491,0.00,0.0,114945,15.00,0.0,0.0
static,100,high,hop1,41.67,0.6427,0.84,35.0,117405,226.86,657.4,61.2
static,100,high,hop2,58.00,0.5492,29.22,1694.7,134534,27.40,1.2,121.1
static,100,high,hop3,0.33,0.2401,25.00,8.3,129639,0.00,0.0,168.7
static,100,medium,gw,1.00,0.3913,0.00,0.0,61437,1.67,0.0,0.0
static,100,medium,hop1,41.67,0.3836,10.37,432.0,64963,11.28,254.0,61.2
static,100,medium,hop2,58.00,0.2891,12.86,745.7,73605,0.15,0.6,121.1
static,100,medium,hop3,0.33,0.1359,14.00,4.7,76949,0.00,0.0,168.7
