node_id,is_gateway,x,y,dist_to_gw_m,hop_to_gw,airtime_tx_s,airtime_rx_s,airtime_ccabusy_s,airtime_busy_frac,phy_tx_pkts,phy_tx_bytes,phy_rx_drops,mac_queue_drops,max_retry_drops,ip_drop_no_route,ip_drop_ttl,ip_drop_route_error,ip_drop_queue,ip_drop_other,app_pkts_originated,l3_unicast_forwarded
0,0,229.244,54.5642,125.81,2,6.216,64.4816,16.7666,0.291547,1483,741408,64028,2,49,0,0,0,0,0,263,12
1,0,102.328,160.765,42.346,1,3.32208,68.0551,34.5315,0.353029,819,395604,55816,0,0,0,0,0,0,0,263,23
2,0,176.604,150.018,57.3482,1,3.58547,60.5176,35.8006,0.333012,915,426224,58136,0,0,0,0,0,0,0,263,42
3,0,231.848,174.163,117.616,2,3.72486,43.2322,24.8884,0.239485,942,443000,69595,0,44,0,0,0,0,0,263,4
4,0,5.89971,110.056,120.034,2,4.80622,54.8229,25.4171,0.283487,1174,572602,65081,2,79,0,0,0,0,0,263,6
5,0,44.2542,62.2877,102.238,2,2.90587,68.8479,21.0447,0.309328,985,339594,58343,12,35,0,0,0,0,0,263,253
6,0,243.576,18.146,159.619,2,5.42696,57.1227,11.0198,0.245231,1321,646666,67025,0,107,0,0,0,0,0,263,1
7,0,132.174,57.8604,67.5218,1,4.39576,69.7824,32.0448,0.354076,1084,523454,57141,6,0,0,0,0,0,0,263,43
8,0,72.8443,124.585,52.1573,1,2.4177,65.2871,36.6789,0.347946,626,287188,56634,0,0,0,0,0,0,0,263,27
9,0,15.0154,216.276,142.927,2,3.33611,50.4093,13.4623,0.224026,890,395654,68085,0,34,0,0,0,0,0,263,1
10,0,244.703,6.19701,168.65,3,4.42622,53.9601,10.3047,0.22897,1065,527718,68338,0,88,0,0,0,0,0,263,0
11,0,44.2104,80.8884,92.0477,2,1.4219,69.7488,23.5563,0.315757,631,162594,57816,5,2,0,0,0,0,0,263,187
12,0,132.342,232.833,108.082,2,6.35851,53.8435,21.907,0.273697,1649,755238,62744,1,114,0,0,0,0,0,263,117
13,0,240.578,248.49,169.139,2,3.98074,33.9818,10.4024,0.161217,981,474048,72787,0,82,0,0,0,0,0,263,1
14,0,187.323,96.8154,68.3995,1,5.17862,65.0914,30.1758,0.334819,1442,612720,58567,2,7,0,0,0,0,0,263,235
15,0,93.9984,159.691,46.5246,1,2.26832,68.7154,32.9402,0.346413,596,269236,56066,2,1,0,0,0,0,0,263,23
16,0,39.2039,242.302,145.33,2,2.47584,46.1472,13.1007,0.205746,677,293232,69701,0,22,0,0,0,0,0,263,2
17,0,243.783,14.1756,162.455,2,3.58742,58.2817,10.238,0.240357,915,426468,67299,0,57,0,0,0,0,0,263,15
18,0,65.6983,51.6378,94.333,2,2.83811,70.6615,25.8195,0.331064,815,335204,57703,18,28,0,0,0,0,0,263,91
19,0,66.1705,54.6681,91.6923,2,1.3652,72.2898,26.0519,0.332356,829,150754,57467,2,2,0,0,0,0,0,263,380
20,0,18.3102,100.277,109.517,2,1.94821,61.532,24.6647,0.293816,1039,218590,60603,2,6,0,0,0,0,0,263,464
21,0,85.4267,190.675,76.6761,1,5.35,61.3163,23.2298,0.299654,1420,634670,59505,12,31,0,0,0,0,0,263,130
22,0,189.53,80.8295,78.1994,1,4.8293,65.3909,28.4866,0.329023,1226,574238,59338,8,28,0,0,0,0,0,263,66
23,0,22.0207,129.479,103.077,2,3.18365,56.1296,29.4629,0.29592,987,374268,61722,6,43,0,0,0,0,0,263,130
24,0,156.375,82.571,52.7692,1,2.33288,68.3975,37.3374,0.360226,641,276226,56424,2,1,0,0,0,0,0,263,42
25,0,26.1888,161.918,105.482,2,1.26027,59.4227,21.0896,0.272575,589,143398,62150,0,6,0,0,0,0,0,263,165
26,0,65.3813,116.463,60.2268,1,3.63378,67.0256,34.0189,0.348928,948,431470,55950,5,1,0,0,0,0,0,263,104
27,0,106.405,129.779,19.1988,1,2.31638,63.9886,43.3207,0.365419,658,273756,56156,0,1,0,0,0,0,0,263,41
28,0,167.045,248.296,130.268,2,5.73328,45.927,17.6887,0.231163,1345,684380,69213,0,89,0,0,0,0,0,263,9
29,0,153.076,77.7526,54.9596,1,3.79008,68.7717,36.1879,0.362499,932,451392,56320,0,0,0,0,0,0,0,263,46
30,0,81.2306,195.75,83.1948,1,1.08899,64.8883,21.8728,0.292834,499,124148,59906,3,6,0,0,0,0,0,263,131
31,0,228.29,217.853,138.89,2,4.09462,42.9739,11.429,0.194992,1015,487468,70029,0,42,0,0,0,0,0,263,8
32,0,103.286,56.3174,72.0332,1,5.05955,69.1766,32.3315,0.355226,1250,602444,56889,5,5,0,0,0,0,0,263,74
33,0,156.587,2.24891,126.75,2,5.01019,64.0274,23.0663,0.307013,1205,597354,64148,3,30,0,0,0,0,0,263,7
34,0,110.929,214.968,91.0618,2,4.67597,59.9742,21.4649,0.28705,1177,556248,61127,1,76,0,0,0,0,0,263,48
35,0,154.372,79.9804,53.7538,1,3.5859,68.2815,36.7138,0.361937,889,426902,56338,0,0,0,0,0,0,0,263,63
36,0,181.925,25.2596,114.842,2,7.44258,65.4905,18.5465,0.304932,1991,882538,60947,15,97,0,0,0,0,0,263,253
37,0,54.452,5.30147,138.942,2,4.40061,56.1889,19.4802,0.266899,1054,524780,65616,0,52,0,0,0,0,0,263,1
38,0,151.268,151.513,37.3228,1,2.31837,62.386,39.477,0.347271,638,274484,57118,0,0,0,0,0,0,0,263,33
39,0,3.48191,31.9603,153.046,2,2.79088,54.1737,10.0079,0.223241,727,331412,66421,0,16,0,0,0,0,0,263,0
40,0,151.674,145.784,33.8152,1,3.05795,61.2308,40.1048,0.347979,745,364364,57075,0,1,0,0,0,0,0,263,15
41,0,110.552,71.2879,55.6214,1,3.45957,67.2539,37.5319,0.360818,861,411782,56350,1,0,0,0,0,0,0,263,42
42,0,44.2269,31.6602,123.437,2,4.36037,59.5335,20.242,0.280453,1075,519246,64346,4,36,0,0,0,0,0,263,0
43,0,51.0938,216.897,117.928,2,3.43136,56.2969,16.7929,0.255071,862,408232,66443,0,35,0,0,0,0,0,263,3
44,0,100.627,7.74493,119.761,2,2.84686,66.0989,23.9378,0.309612,757,337690,63777,5,11,0,0,0,0,0,263,4
45,0,81.1482,155.854,53.6186,1,3.54275,65.4036,32.1217,0.336894,891,421460,57170,0,0,0,0,0,0,0,263,38
46,0,46.3212,111.909,79.7605,1,4.43693,64.1668,32.331,0.336449,1103,528144,57924,6,25,0,0,0,0,0,263,60
47,0,71.4237,176.814,74.5325,1,4.05014,63.8948,24.0824,0.306758,1007,482100,58904,2,20,0,0,0,0,0,263,28
48,0,157.478,119.805,32.8912,1,3.46554,65.4333,40.6876,0.365288,878,412120,55794,0,0,0,0,0,0,0,263,56
49,0,203.567,29.6379,123.559,2,5.16382,67.032,15.4895,0.292284,1222,616150,63957,1,41,0,0,0,0,0,263,3
50,0,129.157,79.2802,45.9085,1,3.21024,66.6219,39.4299,0.364207,790,382320,56045,0,0,0,0,0,0,0,263,25
51,0,170.004,6.48762,126.77,2,4.70365,68.5627,18.7444,0.306703,1146,560452,63214,2,38,0,0,0,0,0,263,8
52,0,217.73,136.849,93.4841,2,1.71414,55.1107,33.3109,0.300452,832,194300,63227,4,8,0,1,0,0,0,263,270
53,0,227.356,145.681,104.424,2,2.08746,47.439,31.4149,0.269804,840,240772,65723,1,18,0,0,0,0,0,263,258
54,0,17.3287,39.7619,137.327,2,3.43088,55.8565,15.304,0.248638,862,408172,65779,0,28,0,0,0,0,0,263,14
55,0,174.632,66.0141,77.089,1,4.47843,67.4528,28.7844,0.335719,1147,532276,58854,9,12,0,0,0,0,0,263,106
56,0,234.431,1.53245,164.983,2,4.03613,58.4388,8.8594,0.237781,998,480564,67161,0,89,0,0,0,0,0,263,8
57,0,163.961,212.456,95.7418,2,4.35349,56.2031,21.4153,0.27324,1313,512674,62207,5,57,0,0,0,0,0,263,209
58,0,242.069,133.811,117.4,2,3.33269,47.4241,28.6333,0.264634,897,395058,68621,0,30,0,0,0,0,0,263,4
59,0,233.898,167.817,117.013,2,2.56354,43.7282,26.8142,0.243687,684,304026,69684,0,10,0,0,0,0,0,263,0
60,0,181.027,186.724,83.3601,1,1.15781,61.7142,25.0747,0.293156,550,131526,60521,0,2,0,0,0,0,0,263,136
61,0,46.6481,154.917,83.8692,1,7.57885,60.7616,25.1941,0.311782,1746,905452,58910,7,61,0,0,0,0,0,263,44
62,0,55.9965,19.0661,126.426,2,4.9432,60.8607,20.9214,0.289084,1229,588404,63936,5,42,0,0,0,0,0,263,51
63,0,80.1372,77.1645,65.5813,1,4.38131,69.7269,33.4522,0.358535,1040,522704,55986,2,0,0,0,0,0,0,263,39
64,0,36.3318,225.247,133.834,2,2.30971,52.4114,14.8756,0.231989,690,272154,67946,0,21,0,0,0,0,0,263,2
65,0,163.662,7.60633,123.596,2,3.38293,66.9416,22.3535,0.308927,869,402010,63856,0,16,0,0,0,0,0,263,8
66,0,140.079,52.1931,74.3519,1,6.33003,69.4105,29.7086,0.351497,1613,752542,57432,5,6,0,0,0,0,0,263,158
67,0,32.6896,174.189,104.598,2,1.08426,61.2098,19.6553,0.273164,469,124276,61776,0,3,0,0,0,0,0,263,98
68,0,57.5197,24.3117,121.209,2,4.65946,63.1666,21.8294,0.298852,1111,555768,63222,3,56,0,0,0,0,0,263,4
69,0,198.296,157.618,80.2264,1,9.97984,47.9457,31.7784,0.299013,2446,1188776,61750,4,78,0,0,0,0,0,263,230
70,0,128.1,207.255,82.3132,1,4.9845,59.656,23.6838,0.294414,1254,592966,60805,4,55,0,0,0,0,0,263,52
71,0,61.1863,216.751,111.761,2,5.52858,57.6749,15.9202,0.263745,1460,656032,61800,1,99,0,0,0,0,0,263,160
72,0,23.4499,27.3174,140.905,2,3.08616,55.3987,15.3185,0.246011,793,366738,65996,1,12,0,0,0,0,0,263,6
73,0,1.97953,36.7595,151.395,2,2.18138,54.8839,10.796,0.226205,617,257864,66379,0,15,0,0,0,0,0,263,4
74,0,80.4709,27.6231,107.075,2,2.16901,67.5688,26.2141,0.31984,938,248614,59901,5,16,0,0,0,0,0,263,354
75,1,125,125,0,0,3.11312,62.0689,42.966,0.360493,8093,194908,56866,0,0,0,0,0,0,0,0,0
