node_id,is_gateway,x,y,dist_to_gw_m,hop_to_gw,airtime_tx_s,airtime_rx_s,airtime_ccabusy_s,airtime_busy_frac,phy_tx_pkts,phy_tx_bytes,phy_rx_drops,mac_queue_drops,max_retry_drops,ip_drop_no_route,ip_drop_ttl,ip_drop_route_error,ip_drop_queue,ip_drop_other,app_pkts_originated,l3_unicast_forwarded
0,0,221.853,238.603,149.285,2,0.008448,16.859,7.05877,0.0797542,12,768,31602,0,0,0,0,0,0,0,263,0
1,0,238.069,155.372,117.078,2,0.008448,22.4115,6.19402,0.0953799,12,768,30231,0,0,0,0,0,0,0,263,0
2,0,160.089,237.613,117.953,2,2.88782,18.2048,10.537,0.105432,607,346410,29877,0,0,0,0,0,0,0,263,0
3,0,168.216,10.2933,122.578,2,2.04184,16.9257,7.86416,0.089439,434,244814,31063,0,1,0,0,0,0,0,263,0
4,0,210.394,204.139,116.426,2,0.008448,21.6978,8.89147,0.101992,12,768,28228,0,0,0,0,0,0,0,263,0
5,0,195.628,183.817,91.9114,2,1.76163,23.8169,9.02038,0.11533,374,211228,26895,0,0,0,0,0,0,0,263,0
6,0,119.347,216.551,91.7249,2,1.59363,23.9446,9.16055,0.115663,339,191068,26312,0,0,0,0,0,0,0,263,0
7,0,78.8811,226.633,111.608,2,0.870944,23.5153,7.75259,0.107129,191,104284,27072,0,0,0,0,0,0,0,263,0
8,0,0.342743,143.872,126.078,2,2.83894,19.0362,9.62088,0.104987,601,340444,31264,0,5,0,0,0,0,0,263,0
9,0,118.631,68.0128,57.342,1,0.470128,25.2233,8.45386,0.113824,1507,22598,25585,0,0,0,0,0,0,0,263,1464
10,0,67.0997,246.779,134.842,2,0.008448,21.9682,6.53432,0.0950364,12,768,29878,0,0,0,0,0,0,0,263,0
11,0,232.429,46.2307,133.213,2,2.31544,13.0903,9.52777,0.0831117,491,277646,32221,0,11,0,0,0,0,0,263,0
12,0,113.361,111.836,17.5717,1,1.58883,22.8281,12.834,0.12417,338,190492,25076,0,0,0,0,0,0,0,263,0
13,0,63.2435,218.549,112.095,2,0.008448,23.9711,8.2824,0.10754,12,768,27385,0,0,0,0,0,0,0,263,0
14,0,72.2154,79.865,69.4506,1,3.12184,23.362,8.31043,0.115981,1314,358694,25508,0,8,0,0,0,0,0,263,692
15,0,143.985,202.009,79.3147,1,0.51824,23.7179,11.7119,0.119827,1660,24940,26890,0,0,0,0,0,0,0,263,1623
16,0,60.3712,208.728,105.77,2,0.008448,25.5088,8.1382,0.112185,12,768,27082,0,0,0,0,0,0,0,263,0
17,0,186.783,110.327,63.5013,1,3.04133,20.1409,11.759,0.116471,1575,342366,27167,0,2,0,0,0,0,0,263,943
18,0,22.2629,95.8373,106.796,2,2.58243,20.1709,8.98123,0.105782,545,309724,28067,0,0,0,0,0,0,0,263,0
19,0,104.514,191.243,69.3386,1,3.22469,23.5942,10.5209,0.124466,1487,367398,25462,0,0,0,0,0,0,0,263,851
20,0,49.8195,12.2605,135.508,2,0.008448,15.8214,8.058,0.079626,12,768,31478,0,0,0,0,0,0,0,263,0
21,0,168.51,4.95508,127.687,2,0.008448,18.3162,7.49261,0.0860576,12,768,31207,0,0,0,0,0,0,0,263,0
22,0,199.142,178.877,91.6501,2,1.73283,24.3591,8.58953,0.115605,368,207772,26764,0,0,0,0,0,0,0,263,0
23,0,73.8338,82.2056,66.7034,1,1.49944,25.215,8.89045,0.118683,321,179726,25275,0,0,0,0,0,0,0,263,0
24,0,67.0335,34.1387,107.777,2,0.73624,22.0642,7.43112,0.100772,162,88142,26948,0,0,0,0,0,0,0,263,0
25,0,92.9887,3.93546,125.225,2,1.61464,19.4896,4.67403,0.0859277,345,193550,30316,0,1,0,0,0,0,0,263,0
26,0,86.1819,240.905,122.233,2,1.00024,22.906,6.26514,0.100571,217,119822,29197,0,3,0,0,0,0,0,263,0
27,0,48.9636,241.969,139.511,2,3.07203,20.0008,5.38102,0.0948462,647,368476,29978,0,12,0,0,0,0,0,263,0
28,0,20.9459,57.5367,124.01,2,1.91523,18.2438,6.67863,0.0894588,406,229660,30796,0,0,0,0,0,0,0,263,0
29,0,40.1187,232.428,136.914,2,2.08024,20.8799,6.28082,0.0974698,442,249422,30137,0,1,0,0,0,0,0,263,0
30,0,231.438,211.776,137.329,2,0.008448,19.4669,6.30811,0.0859448,12,768,30961,0,0,0,0,0,0,0,263,0
31,0,113.874,135.701,15.4371,1,1.60803,21.9979,14.1313,0.125791,342,192796,26033,0,0,0,0,0,0,0,263,0
32,0,83.8339,175.238,64.9501,1,3.90704,22.4254,10.7355,0.12356,940,465820,26200,0,0,0,0,0,0,0,263,113
33,0,158.488,95.4735,44.6462,1,2.67182,21.2057,13.4324,0.124366,562,320490,25196,0,0,0,0,0,0,0,263,0
34,0,224.757,100.035,102.834,2,1.68003,21.5973,7.96499,0.104141,357,201436,28077,0,0,0,0,0,0,0,263,0
35,0,90.1404,206.131,88.3029,1,0.008448,25.9224,9.55056,0.118271,12,768,26278,0,0,0,0,0,0,0,263,0
36,0,11.9831,179.055,125.279,2,0.008448,24.1288,7.98417,0.107072,12,768,30579,0,0,0,0,0,0,0,263,0
37,0,25.2956,241.566,153.39,2,0.008448,20.6685,5.78146,0.0881948,12,768,31273,0,0,0,0,0,0,0,263,0
38,0,49.1196,202.475,108.445,2,2.90222,23.1603,7.3278,0.111301,610,348138,27231,0,0,0,0,0,0,0,263,0
39,0,73.8882,138.18,52.7837,1,2.74862,22.8173,11.3857,0.123172,578,329706,25943,0,0,0,0,0,0,0,263,0
40,0,197.454,161.52,81.1379,1,3.68818,22.0109,9.26852,0.116559,926,438798,26627,0,5,0,0,0,0,0,263,155
41,0,118.165,213.886,89.1485,1,0.008448,25.5276,9.25704,0.115977,12,768,26169,0,0,0,0,0,0,0,263,0
42,0,131.735,81.7919,43.7298,1,1.23544,24.4439,10.914,0.121978,266,148046,25070,0,0,0,0,0,0,0,263,0
43,0,188.16,247.449,137.779,2,0.008448,18.1822,9.18043,0.0912369,12,768,30856,0,0,0,0,0,0,0,263,0
44,0,150.803,193.153,72.8737,1,0.008448,23.8871,12.6801,0.121919,12,768,26679,0,0,0,0,0,0,0,263,0
45,0,220.187,52.7098,119.526,2,0.008448,17.3871,10.4162,0.0927058,12,768,31519,0,0,0,0,0,0,0,263,0
46,0,244.931,215.603,150.308,2,2.81763,14.5746,6.24971,0.0788065,594,337948,31852,0,7,0,0,0,0,0,263,0
47,0,195.086,97.6253,75.242,1,0.008448,21.5897,11.8586,0.111522,12,768,27625,0,0,0,0,0,0,0,263,0
48,0,115.201,44.1224,81.469,1,0.008448,24.5217,7.76695,0.107657,12,768,26177,0,0,0,0,0,0,0,263,0
49,0,116.438,109.269,17.9099,1,2.55182,21.5085,13.185,0.124151,537,306090,25156,0,0,0,0,0,0,0,263,0
