timestamp,protocol,nodes,trafficLevel,offered_rate_kbps,seed,simTime,txPkts,rxPkts,pdr,throughputKbps,avgDelaySec,avgJitterSec,unreachableSensors,routingOverheadPkts,total_phy_rx_drops,total_mac_queue_drops,total_max_retry_drops,total_ip_drop_no_route,total_ip_drop_ttl,total_ip_drop_route_error,total_ip_drop_queue,total_ip_drop_other,gw_airtime_busy_frac,ring1_airtime_busy_frac_mean,rest_airtime_busy_frac_mean,ring1_node_count
1789020720,static,50,high,16,20,300,52700,20549,38.9924,328.784,0.136117,0.0522881,0,0,4228270,1315,1085,0,0,0,0,0,0.528926,0.492972,0.405337,19
1789020749,static,50,high,16,25,300,52700,20108,38.1556,321.728,0.113286,0.0558131,0,0,4152358,845,970,0,0,0,0,0,0.503486,0.49199,0.366318,25
1789020784,static,50,high,16,30,300,52700,22343,42.3966,357.488,0.185533,0.0788096,0,0,5360157,8978,1754,0,0,0,0,0,0.652581,0.642289,0.520163,22
1789020802,static,50,high,12,20,300,39550,12361,31.2541,197.776,0.0851373,0.0361009,0,0,2897785,0,248,0,0,0,0,0,0.325747,0.309275,0.247771,19
1789020816,static,50,high,12,25,300,39550,9680,24.4753,154.88,0.0621814,0.0313421,0,0,2435331,0,128,0,0,0,0,0,0.243881,0.237269,0.176262,25
1789020834,static,50,high,12,30,300,39550,10490,26.5234,167.84,0.0739001,0.0323372,0,0,3036165,0,306,0,0,0,0,0,0.306569,0.294128,0.228274,22
1789020845,static,50,high,8,20,300,26350,8819,33.4687,141.104,0.0890891,0.0392811,0,0,1888061,0,365,0,0,0,0,0,0.223749,0.212074,0.168859,19
1789020857,static,50,high,8,25,300,26350,8457,32.0949,135.312,0.0830287,0.0374407,0,0,1945540,0,244,0,0,0,0,0,0.202504,0.197654,0.147775,25
1789020870,static,50,high,8,30,300,26350,9876,37.4801,158.016,0.0961321,0.0433621,0,0,2270301,0,308,0,0,0,0,0,0.251955,0.242392,0.179894,22
1789020876,static,50,high,4,20,300,13150,4279,32.5399,68.464,0.0852736,0.036803,0,0,1008555,0,63,0,0,0,0,0,0.110468,0.106465,0.0839753,19
1789020882,static,50,high,4,25,300,13150,4130,31.4068,66.08,0.0787089,0.0362289,0,0,888159,0,71,0,0,0,0,0,0.100156,0.0966758,0.0719661,25
1789020889,static,50,high,4,30,300,13150,4310,32.7757,68.96,0.079645,0.0392278,0,0,1044226,0,148,0,0,0,0,0,0.107978,0.104638,0.0775139,22
1789020951,static,75,high,16,20,300,79050,24808,31.3827,396.928,0.186316,0.077446,0,0,9556918,7688,1886,0,0,0,0,0,0.699762,0.689697,0.574511,28
1789021003,static,75,high,16,25,300,79050,25904,32.7691,414.464,0.139247,0.0700438,0,0,7636726,2323,784,0,0,0,0,0,0.635677,0.616675,0.451642,38
1789021038,static,75,high,16,30,300,79050,17916,22.6641,286.656,0.132001,0.0564294,0,0,5703767,2425,944,0,0,0,0,0,0.449375,0.434188,0.320966,30
1789021069,static,75,high,12,20,300,59325,13162,22.1863,210.592,0.0861054,0.0392878,0,0,5645963,0,385,0,0,0,0,0,0.35714,0.34336,0.271614,28
1789021100,static,75,high,12,25,300,59325,16651,28.0674,266.416,0.0907695,0.0457856,0,0,4990657,0,285,0,0,0,0,0,0.377788,0.366231,0.255258,38
1789021126,static,75,high,12,30,300,59325,12164,20.504,194.624,0.0903497,0.0440395,0,0,4634192,0,805,0,0,0,0,0,0.3149,0.302233,0.227182,30
1789021153,static,75,high,8,20,300,39525,13026,32.9564,208.416,0.138743,0.0585358,0,0,4693341,0,692,0,0,0,0,0,0.357156,0.33703,0.258399,28
