node_id,is_gateway,x,y,dist_to_gw_m,hop_to_gw,airtime_tx_s,airtime_rx_s,airtime_ccabusy_s,airtime_busy_frac,phy_tx_pkts,phy_tx_bytes,phy_rx_drops,mac_queue_drops,max_retry_drops,ip_drop_no_route,ip_drop_ttl,ip_drop_route_error,ip_drop_queue,ip_drop_other,app_pkts_originated,l3_unicast_forwarded
0,0,229.244,54.5642,125.81,2,11.7537,148.837,64.712,0.751009,3026,1396588,186734,183,54,0,0,0,0,0,1032,334
1,0,102.328,160.765,42.346,1,10.5428,138.719,113.358,0.875399,3158,1242064,168054,291,0,0,0,0,0,0,1054,810
2,0,176.604,150.018,57.3482,1,16.5108,135.417,105.048,0.856583,5894,1922388,171746,1131,0,0,0,0,0,0,1047,2361
3,0,231.848,174.163,117.616,2,11.1583,129.613,74.4516,0.71741,2710,1329752,193321,72,85,2,0,0,0,0,1018,153
4,0,5.89971,110.056,120.034,2,6.31163,137.879,96.5339,0.802415,1657,749186,189734,144,13,0,0,0,0,0,1047,125
5,0,44.2542,62.2877,102.238,2,8.81062,168.028,73.2158,0.833514,2675,1037128,171816,326,3,0,0,0,0,0,1047,646
6,0,243.576,18.146,159.619,2,7.48026,132.26,42.6743,0.60805,1795,891952,194546,2,16,0,0,0,0,0,1026,68
7,0,132.174,57.8604,67.5218,1,6.3183,145.907,107.304,0.865096,2850,721388,173320,802,1,12,0,0,0,0,1042,1421
8,0,72.8443,124.585,52.1573,1,11.562,138.027,112.137,0.872422,4232,1343684,170086,1110,0,0,0,0,0,0,1054,1758
9,0,15.0154,216.276,142.927,2,14.6398,145.936,45.773,0.687829,3301,1750756,187847,34,131,0,0,0,0,0,1026,36
10,0,244.703,6.19701,168.65,3,12.6019,114.272,41.4736,0.56116,2799,1508064,198876,0,114,0,0,0,0,0,1026,41
11,0,44.2104,80.8884,92.0477,2,7.60802,166.352,78.7709,0.842437,3290,872042,170356,487,4,0,0,0,0,0,1049,1566
12,0,132.342,232.833,108.082,2,12.3486,128.787,98.1279,0.797544,2938,1473068,185014,343,50,0,0,0,0,0,1033,152
13,0,240.578,248.49,169.139,2,15.9584,93.3874,41.2572,0.50201,3500,1910804,206591,1,190,0,0,0,0,0,1019,17
14,0,187.323,96.8154,68.3995,1,7.52254,144.075,101.419,0.843389,3397,858790,173886,928,2,3,0,0,0,0,1035,1717
15,0,93.9984,159.691,46.5246,1,9.98584,142.728,109.288,0.873341,3082,1174262,167699,293,0,25,0,0,0,0,1052,830
16,0,39.2039,242.302,145.33,2,13.0331,135.168,47.2938,0.651651,2886,1559874,192486,3,90,0,0,0,0,0,1023,11
17,0,243.783,14.1756,162.455,2,9.39566,129.002,39.5492,0.593155,2194,1121802,195064,2,56,0,0,0,0,0,1026,96
18,0,65.6983,51.6378,94.333,2,7.36994,165.684,81.8068,0.849536,2130,870122,171753,410,1,0,0,0,0,0,1041,437
19,0,66.1705,54.6681,91.6923,2,8.17419,165.178,81.8975,0.850832,3023,949222,171290,620,2,0,0,0,0,0,1047,1186
20,0,18.3102,100.277,109.517,2,8.42688,149.82,87.9702,0.820724,2474,993984,177948,206,9,0,0,0,0,0,1051,492
21,0,85.4267,190.675,76.6761,1,10.2303,164.778,76.9531,0.839871,3776,1188164,170020,1600,11,0,0,0,0,0,1048,1528
22,0,189.53,80.8295,78.1994,1,8.76328,142.936,97.6497,0.831164,3155,1019690,175583,376,4,0,0,0,0,0,1053,1133
23,0,22.0207,129.479,103.077,2,9.17245,133.18,104.825,0.823925,2449,1087780,181894,311,20,0,0,0,0,0,1048,299
24,0,156.375,82.571,52.7692,1,8.89971,123.898,127.641,0.868129,2829,1044568,172501,579,0,3,0,0,0,0,1047,850
25,0,26.1888,161.918,105.482,2,10.0186,160.852,70.8127,0.805611,2463,1193212,175532,98,29,0,0,0,0,0,1054,194
26,0,65.3813,116.463,60.2268,1,8.90866,145.085,107.645,0.872131,3559,1028166,169732,1380,0,37,0,0,0,0,1036,1582
27,0,106.405,129.779,19.1988,1,8.05872,125.853,129.905,0.87939,2418,949308,170501,173,0,0,0,0,0,0,1054,575
28,0,167.045,248.296,130.268,2,13.837,114.719,83.5239,0.706932,3281,1650886,198242,115,124,0,0,0,0,0,1018,220
29,0,153.076,77.7526,54.9596,1,10.3511,125.382,124.605,0.867795,3550,1208682,173464,907,0,0,0,0,0,0,1048,1289
