node_id,is_gateway,x,y,dist_to_gw_m,hop_to_gw,airtime_tx_s,airtime_rx_s,airtime_ccabusy_s,airtime_busy_frac,phy_tx_pkts,phy_tx_bytes,phy_rx_drops,mac_queue_drops,max_retry_drops,ip_drop_no_route,ip_drop_ttl,ip_drop_route_error,ip_drop_queue,ip_drop_other,app_pkts_originated,l3_unicast_forwarded
0,0,221.853,238.603,149.285,2,7.22459,101.448,20.5772,0.430831,1649,863498,117882,0,68,0,0,0,0,0,527,10
1,0,238.069,155.372,117.078,2,7.4576,101.032,36.1956,0.482285,1719,890944,116470,0,90,0,0,0,0,0,527,3
2,0,160.089,237.613,117.953,2,6.82827,110.204,49.8571,0.556299,1628,814462,114675,13,38,0,0,0,0,0,527,24
3,0,168.216,10.2933,122.578,2,8.93686,87.5321,32.229,0.428993,2025,1068508,120913,0,138,0,0,0,0,0,527,9
4,0,210.394,204.139,116.426,2,6.03117,115.073,33.1445,0.514162,1777,711248,108367,8,37,0,0,0,0,0,527,394
5,0,195.628,183.817,91.9114,2,2.67416,127.058,39.7784,0.565034,1371,301366,104253,30,11,0,0,0,0,0,527,657
6,0,119.347,216.551,91.7249,2,3.68302,119.425,54.2878,0.591321,1249,430402,106735,16,5,0,0,0,0,0,527,293
7,0,78.8811,226.633,111.608,2,8.3105,121.323,40.5481,0.567271,2156,987068,106007,82,85,0,0,0,0,0,527,254
8,0,0.342743,143.872,126.078,2,6.97213,97.9848,50.879,0.519453,1648,831964,118144,3,89,0,0,0,0,0,527,6
9,0,118.631,68.0128,57.342,1,5.16038,99.4,63.5591,0.560398,1407,611280,105597,0,2,0,0,0,0,0,527,174
10,0,67.0997,246.779,134.842,2,7.8185,112.394,37.882,0.526981,1780,934592,113976,1,66,0,0,0,0,0,527,7
11,0,232.429,46.2307,133.213,2,6.43725,76.1411,33.8119,0.387967,1503,768584,124114,0,65,0,0,0,0,0,527,7
12,0,113.361,111.836,17.5717,1,5.27403,100.038,84.2106,0.631741,1279,628558,103001,0,0,0,0,0,0,0,527,73
13,0,63.2435,218.549,112.095,2,2.80216,128.997,38.0328,0.566108,1051,325046,104919,9,6,0,0,0,0,0,527,303
14,0,72.2154,79.865,69.4506,1,13.1696,105.593,45.955,0.549058,3354,1565704,103273,51,30,0,0,0,0,0,527,456
15,0,143.985,202.009,79.3147,1,12.9804,105.361,63.4692,0.606035,3227,1545098,107131,110,32,0,0,0,0,0,527,362
16,0,60.3712,208.728,105.77,2,5.9527,130.016,37.6396,0.578694,1764,701752,103004,92,39,0,0,0,0,0,527,357
17,0,186.783,110.327,63.5013,1,5.5909,95.8576,70.8905,0.574463,1595,660582,106723,0,1,0,0,0,0,0,527,274
18,0,22.2629,95.8373,106.796,2,5.3821,106.748,40.6569,0.509291,1581,634818,108752,24,50,0,0,0,0,0,527,269
19,0,104.514,191.243,69.3386,1,7.61061,121.294,59.868,0.629241,1851,906902,101829,14,2,0,0,0,0,0,527,147
20,0,49.8195,12.2605,135.508,2,3.52493,75.3664,39.7229,0.395381,921,418512,126007,0,16,0,0,0,0,0,527,1
21,0,168.51,4.95508,127.687,2,5.28262,88.7168,30.4198,0.414731,1281,629584,121619,2,52,0,0,0,0,0,527,17
22,0,199.142,178.877,91.6501,2,3.92142,126.068,39.5182,0.565025,1657,450410,103921,86,23,0,0,0,0,0,527,671
23,0,73.8338,82.2056,66.7034,1,9.90451,108.858,47.7139,0.55492,2472,1178736,103075,15,11,0,0,0,0,0,527,267
24,0,67.0335,34.1387,107.777,2,5.01747,104.256,38.7814,0.493516,1838,583072,109076,0,47,0,0,0,0,0,527,544
25,0,92.9887,3.93546,125.225,2,8.7165,85.2252,32.106,0.420159,2006,1041418,121498,0,118,0,0,0,0,0,527,9
26,0,86.1819,240.905,122.233,2,8.99853,118.553,38.2031,0.552516,2018,1076384,111841,12,77,0,0,0,0,0,527,2
27,0,48.9636,241.969,139.511,2,7.29826,112.843,32.9917,0.510444,1689,871746,114003,3,57,0,0,0,0,0,527,7
28,0,20.9459,57.5367,124.01,2,7.28904,96.9941,28.8319,0.443717,1708,870138,118555,0,95,0,0,0,0,0,527,19
29,0,40.1187,232.428,136.914,2,7.35267,115.453,30.2642,0.510233,1675,878884,113275,2,76,0,0,0,0,0,527,0
30,0,231.438,211.776,137.329,2,7.60058,105.234,24.17,0.456683,1750,908072,116035,2,97,0,0,0,0,0,527,21
31,0,113.874,135.701,15.4371,1,5.60749,98.3559,89.7776,0.645803,1426,666712,103570,0,0,0,0,0,0,0,527,130
32,0,83.8339,175.238,64.9501,1,8.35054,121.021,58.2617,0.625444,2140,992458,101150,20,3,0,0,0,0,0,527,284
33,0,158.488,95.4735,44.6462,1,2.23829,97.5671,77.0354,0.589469,844,259530,104688,5,2,0,0,0,0,0,527,227
34,0,224.757,100.035,102.834,2,5.04376,86.7697,60.2771,0.506969,1667,590462,114119,0,49,0,0,0,0,0,527,408
35,0,90.1404,206.131,88.3029,1,10.6072,122.727,48.3269,0.605536,2990,1254134,102768,105,41,0,0,0,0,0,527,652
36,0,11.9831,179.055,125.279,2,6.32192,117.042,39.2466,0.542037,1504,754144,112921,6,43,0,0,0,0,0,527,5
37,0,25.2956,241.566,153.39,2,8.3277,102.878,26.0452,0.457502,1879,995866,116739,0,131,0,0,0,0,0,527,4
38,0,49.1196,202.475,108.445,2,3.45326,130.683,37.4049,0.571803,1277,401010,103492,30,13,0,0,0,0,0,527,385
39,0,73.8882,138.18,52.7837,1,1.90357,121.444,64.1738,0.625073,621,223042,100361,0,0,0,0,0,0,0,527,110
40,0,197.454,161.52,81.1379,1,15.1026,108.355,48.6529,0.573702,3763,1797516,104623,104,85,0,0,0,0,0,527,415
41,0,118.165,213.886,89.1485,1,3.85373,123.849,54.8393,0.608474,1156,453972,105016,67,13,0,0,0,0,0,527,181
42,0,131.735,81.7919,43.7298,1,4.51869,96.3577,69.8162,0.568975,1320,533156,105092,0,0,0,0,0,0,0,527,239
43,0,188.16,247.449,137.779,2,8.9077,106.963,34.5593,0.501432,2022,1064934,115560,1,107,0,0,0,0,0,527,3
44,0,150.803,193.153,72.8737,1,3.71077,114.483,64.8474,0.610137,1232,434278,106337,18,1,0,0,0,0,0,527,288
45,0,220.187,52.7098,119.526,2,7.75595,88.0993,31.8453,0.425668,1837,925406,120625,0,93,0,0,0,0,0,527,16
46,0,244.931,215.603,150.308,2,6.22003,100.241,20.7583,0.424065,1446,742800,118265,0,69,0,0,0,0,0,527,18
47,0,195.086,97.6253,75.242,1,13.6706,89.5469,63.3458,0.555211,3477,1625372,108608,111,46,0,0,0,0,0,527,419
48,0,115.201,44.1224,81.469,1,12.109,94.9802,46.418,0.511691,3155,1437906,108205,39,100,0,0,0,0,0,527,439
49,0,116.438,109.269,17.9099,1,5.47746,100.133,84.3221,0.63311,1351,652258,102805,0,0,0,0,0,0,0,527,80
50,0,114.689,158.975,35.505,1,3.50944,108.052,83.2164,0.649261,918,416648,101402,0,0,0,0,0,0,0,527,63
51,0,244.856,172.471,128.914,2,7.28262,105.991,25.1424,0.461386,1658,870536,115558,0,56,0,0,0,0,0,527,10
52,0,20.0176,58.5412,124.25,2,7.03539,96.8704,29.0725,0.443261,1638,840112,118639,0,91,0,0,0,0,0,527,6
53,0,84.5397,97.9239,48.6842,1,5.97843,109.173,61.4193,0.588569,1462,712216,101916,0,0,0,0,0,0,0,527,95
54,0,200.343,13.1054,134.896,2,9.15886,83.1524,18.9912,0.371008,2077,1095010,122085,0,153,0,0,0,0,0,527,14
55,0,28.138,141.33,98.2289,2,18.2736,101.155,52.2276,0.572188,4689,2171658,106822,204,188,0,0,0,0,0,527,657
56,0,20.204,116.303,105.156,2,4.55018,109.947,47.0823,0.538598,1595,530492,108484,18,37,0,0,0,0,0,527,474
57,0,169.278,1.88025,130.84,2,8.36699,83.2725,28.154,0.399312,1940,999314,122350,0,117,0,0,0,0,0,527,17
58,0,169.65,200.504,87.7183,1,13.4836,112.944,52.2181,0.595487,3271,1606948,105260,55,46,0,0,0,0,0,527,282
59,0,243.028,215.045,148.454,2,6.44542,101.433,20.8629,0.429139,1480,770158,117728,0,75,0,0,0,0,0,527,4
60,0,105.254,224.943,101.875,2,3.77501,127.036,48.6418,0.598175,1350,439476,104931,39,13,0,0,0,0,0,527,386
61,0,77.2383,177.115,70.6907,1,8.62354,122.581,52.1774,0.611275,2050,1028742,101400,9,7,0,0,0,0,0,527,137
62,0,139.664,80.1545,47.182,1,6.12323,94.8822,69.2421,0.567492,1546,728300,105241,0,1,0,0,0,0,0,527,126
63,0,11.2119,68.3507,127.11,2,8.14986,93.1,31.3098,0.441865,1884,973516,119419,0,105,0,0,0,0,0,527,18
64,0,229.108,140.37,105.236,2,4.57706,102.005,47.6418,0.514081,1623,533180,110450,16,32,0,0,0,0,0,527,417
65,0,30.5327,140.752,95.7717,2,4.17222,114.917,53.0241,0.573711,1430,487208,106671,11,13,0,0,0,0,0,527,326
66,0,98.6363,134.471,28.0133,1,3.60834,106.155,82.4217,0.640618,1000,427042,102076,3,0,0,0,0,0,0,527,142
67,0,73.6228,126.558,51.4008,1,5.98101,113.826,63.7327,0.611799,1489,711890,100682,0,1,0,0,0,0,0,527,112
68,0,160.884,63.5453,71.1642,1,0.989984,110.851,46.4353,0.527589,636,108484,106115,0,1,0,0,0,0,0,527,265
69,0,221.167,197.219,120.265,2,6.88811,111.581,28.5866,0.490186,1629,821918,114250,13,70,0,0,0,0,0,527,8
70,0,178.306,44.9793,96.1499,2,6.86856,100.594,37.1459,0.482029,2212,805482,108952,78,63,0,0,0,0,0,527,583
71,0,217.365,244.075,150.698,2,6.3723,102.887,20.8178,0.433592,1510,760298,117581,0,85,0,0,0,0,0,527,20
72,0,164.72,7.04542,124.463,2,7.38269,86.7965,33.1224,0.424339,1759,880620,121497,0,111,0,0,0,0,0,527,21
73,0,57.1093,228.254,123.574,2,5.94837,124.608,33.3489,0.546352,1381,710402,110811,8,23,0,0,0,0,0,527,4
