node_id,is_gateway,x,y,dist_to_gw_m,hop_to_gw,airtime_tx_s,airtime_rx_s,airtime_ccabusy_s,airtime_busy_frac,phy_tx_pkts,phy_tx_bytes,phy_rx_drops,mac_queue_drops,max_retry_drops,ip_drop_no_route,ip_drop_ttl,ip_drop_route_error,ip_drop_queue,ip_drop_other,app_pkts_originated,l3_unicast_forwarded
0,0,221.853,238.603,149.285,2,5.44645,125.233,32.4929,0.543909,1145,653326,154890,31,83,0,0,0,0,0,1054,0
1,0,238.069,155.372,117.078,2,7.63824,130.348,45.8815,0.612891,1600,916380,154872,30,22,0,0,0,0,0,1054,0
2,0,160.089,237.613,117.953,2,8.93582,108.842,72.3031,0.633605,1867,1072170,154190,0,0,0,0,0,0,0,1054,0
3,0,168.216,10.2933,122.578,2,10.8775,123.904,47.495,0.607587,2274,1305116,156087,31,26,0,0,0,0,0,1054,0
4,0,210.394,204.139,116.426,2,6.74954,137.641,45.4772,0.632892,1414,809756,144965,10,0,0,0,0,0,0,1054,0
5,0,195.628,183.817,91.9114,2,4.49354,141.535,53.866,0.666315,944,539036,142859,0,0,0,0,0,0,0,1054,0
6,0,119.347,216.551,91.7249,2,3.72483,100.133,98.4203,0.674259,783,446812,149339,0,0,0,0,0,0,0,1054,0
7,0,78.8811,226.633,111.608,2,6.64094,124.78,57.0431,0.628213,1393,796686,147739,61,9,0,0,0,0,0,1054,0
8,0,0.342743,143.872,126.078,2,8.51734,99.6522,77.6602,0.619433,1784,1021852,166321,247,59,0,0,0,0,0,1054,0
9,0,118.631,68.0128,57.342,1,25.5136,114.803,60.0954,0.668041,13157,2873432,134691,2904,0,0,0,0,0,0,1054,8265
10,0,67.0997,246.779,134.842,2,0.008448,126.475,47.7876,0.580904,12,768,155614,0,0,0,0,0,0,0,1054,0
11,0,232.429,46.2307,133.213,2,9.05464,95.4483,67.1577,0.572202,1895,1086350,164906,12,41,0,0,0,0,0,1054,0
12,0,113.361,111.836,17.5717,1,7.50918,109.222,91.926,0.695525,1607,900080,134569,2,0,0,0,0,0,0,1054,36
13,0,63.2435,218.549,112.095,2,4.56734,136.334,47.2474,0.627162,961,547854,146929,90,40,0,0,0,0,0,1054,0
14,0,72.2154,79.865,69.4506,1,10.1603,132.647,58.8237,0.672103,6666,1110058,134796,3814,0,0,0,0,0,0,1054,4804
15,0,143.985,202.009,79.3147,1,3.51251,101.278,98.5117,0.677674,11478,163592,149362,0,0,0,0,0,0,0,1054,11277
16,0,60.3712,208.728,105.77,2,0.008448,147.769,45.0325,0.642699,12,768,144823,0,0,0,0,0,0,0,1054,0
17,0,186.783,110.327,63.5013,1,14.8385,99.5154,91.7683,0.687074,8045,1661728,146252,2408,0,0,0,0,0,0,1054,5152
18,0,22.2629,95.8373,106.796,2,8.60154,114.044,67.3389,0.633283,1800,1031992,151742,0,0,0,0,0,0,0,1054,0
