node_id,is_gateway,x,y,dist_to_gw_m,hop_to_gw,airtime_tx_s,airtime_rx_s,airtime_ccabusy_s,airtime_busy_frac,phy_tx_pkts,phy_tx_bytes,phy_rx_drops,mac_queue_drops,max_retry_drops,ip_drop_no_route,ip_drop_ttl,ip_drop_route_error,ip_drop_queue,ip_drop_other,app_pkts_originated,l3_unicast_forwarded
0,0,229.244,54.5642,125.81,2,3.73923,34.84,12.2887,0.16956,786,448540,51417,0,3,0,0,0,0,0,527,0
1,0,102.328,160.765,42.346,1,9.55792,45.3026,22.5731,0.258112,3470,1111460,37968,0,0,0,0,0,0,0,527,1554
2,0,176.604,150.018,57.3482,1,3.0103,45.5677,23.7775,0.241185,1236,346624,39780,0,0,0,0,0,0,0,527,639
3,0,231.848,174.163,117.616,2,6.55115,21.2868,18.4813,0.154397,1868,774062,54485,0,7,0,0,0,0,0,527,527
4,0,5.89971,110.056,120.034,2,0.008448,39.8052,19.7354,0.198497,12,768,51377,0,0,0,0,0,0,0,527,0
5,0,44.2542,62.2877,102.238,2,5.35235,47.2679,15.8162,0.228121,1618,630212,41267,0,2,0,0,0,0,0,527,525
6,0,243.576,18.146,159.619,2,2.94904,23.0744,12.0193,0.126809,623,353678,55731,0,28,0,0,0,0,0,527,0
7,0,132.174,57.8604,67.5218,1,13.552,45.6071,14.8138,0.246576,5093,1571768,38264,0,0,0,0,0,0,0,527,2367
8,0,72.8443,124.585,52.1573,1,5.01182,44.7248,24.5616,0.247661,1494,590622,39945,0,0,0,0,0,0,0,527,469
9,0,15.0154,216.276,142.927,2,3.34264,35.7628,13.9789,0.176948,705,400910,51094,0,1,0,0,0,0,0,527,0
10,0,244.703,6.19701,168.65,3,2.44024,19.3244,9.43071,0.103984,517,292622,56702,0,23,0,0,0,0,0,527,0
11,0,44.2104,80.8884,92.0477,2,2.50744,48.3645,19.1794,0.233505,531,300686,41522,0,0,0,0,0,0,0,527,0
12,0,132.342,232.833,108.082,2,14.4708,33.8873,13.873,0.207437,3326,1729030,43871,0,75,0,0,0,0,0,527,323
13,0,240.578,248.49,169.139,3,6.45902,17.4238,4.35061,0.0941115,1351,774954,55919,0,0,0,0,0,0,0,527,0
14,0,187.323,96.8154,68.3995,1,7.86062,41.6248,17.6466,0.223774,1947,935850,40428,0,3,0,0,0,0,0,527,320
15,0,93.9984,159.691,46.5246,1,3.28323,50.607,24.0242,0.259715,691,393820,38148,0,0,0,0,0,0,0,527,0
16,0,39.2039,242.302,145.33,2,7.58702,38.2289,6.25838,0.173581,1586,910314,49645,0,5,0,0,0,0,0,527,0
17,0,243.783,14.1756,162.455,2,0.008448,25.8259,10.6657,0.121667,12,768,55770,0,0,0,0,0,0,0,527,0
18,0,65.6983,51.6378,94.333,2,2.66104,52.3028,15.5791,0.235143,563,319118,40123,0,0,0,0,0,0,0,527,0
19,0,66.1705,54.6681,91.6923,2,6.75662,48.6929,15.2605,0.2357,1413,810666,39809,0,0,0,0,0,0,0,527,0
20,0,18.3102,100.277,109.517,2,2.76664,37.6181,22.6485,0.210111,585,331790,45751,0,1,0,0,0,0,0,527,0
21,0,85.4267,190.675,76.6761,1,4.3981,47.7082,13.1466,0.21751,1640,510402,42116,0,26,0,0,0,0,0,527,756
22,0,189.53,80.8295,78.1994,1,0.038336,44.0655,16.8458,0.203165,109,2176,42387,0,0,0,0,0,0,0,527,92
23,0,22.0207,129.479,103.077,2,0.008448,41.6489,22.5153,0.213909,12,768,45131,0,0,0,0,0,0,0,527,0
24,0,156.375,82.571,52.7692,1,3.37443,53.9363,16.8579,0.247229,710,404764,37239,0,0,0,0,0,0,0,527,0
25,0,26.1888,161.918,105.482,2,2.66584,39.2295,20.7074,0.208676,564,319694,45274,0,24,0,0,0,0,0,527,0
26,0,65.3813,116.463,60.2268,1,3.42754,49.3808,22.2592,0.250225,722,411114,39306,0,0,0,0,0,0,0,527,0
27,0,106.405,129.779,19.1988,1,5.05262,50.1545,22.6158,0.25941,1058,606186,37117,0,0,0,0,0,0,0,527,0
28,0,167.045,248.296,130.268,3,3.43683,34.9031,15.2861,0.178753,723,412252,51530,0,0,0,0,0,0,0,527,0
29,0,153.076,77.7526,54.9596,1,4.95363,52.8153,16.4433,0.247374,1039,594268,37318,0,0,0,0,0,0,0,527,0
30,0,81.2306,195.75,83.1948,1,0.008448,52.2946,13.0298,0.217776,12,768,42105,0,0,0,0,0,0,0,527,0
31,0,228.29,217.853,138.89,2,0.008448,27.0609,12.0831,0.130508,12,768,54593,0,0,0,0,0,0,0,527,0
32,0,103.286,56.3174,72.0332,1,4.53794,51.8219,17.7487,0.247028,1164,539306,39218,0,3,0,0,0,0,0,527,225
33,0,156.587,2.24891,126.75,2,5.18755,38.4073,12.0209,0.185386,1186,619980,49598,0,4,0,0,0,0,0,527,102
34,0,110.929,214.968,91.0618,2,6.19982,47.3994,11.5294,0.217095,1297,743850,41907,0,3,0,0,0,0,0,527,0
35,0,154.372,79.9804,53.7538,1,4.95843,52.5869,16.6486,0.247313,1040,594844,37232,0,0,0,0,0,0,0,527,0
36,0,181.925,25.2596,114.842,2,3.78243,39.2959,13.247,0.187751,795,453724,43947,0,0,0,0,0,0,0,527,0
37,0,54.452,5.30147,138.942,2,5.08984,34.6216,9.98095,0.165641,1069,610574,50548,0,10,0,0,0,0,0,527,0
38,0,151.268,151.513,37.3228,1,3.28323,46.0277,24.6071,0.246394,691,393820,38534,0,0,0,0,0,0,0,527,0
39,0,3.48191,31.9603,153.046,3,6.43573,25.8592,6.26583,0.128536,1347,772138,53881,0,2,0,0,0,0,0,527,0
40,0,151.674,145.784,33.8152,1,5.45102,44.8937,23.5795,0.246414,1141,653994,38462,0,0,0,0,0,0,0,527,0
41,0,110.552,71.2879,55.6214,1,3.41283,53.7598,17.8862,0.250196,718,409372,37593,0,0,0,0,0,0,0,527,0
42,0,44.2269,31.6602,123.437,2,0.008448,41.4984,14.3366,0.186145,12,768,50015,0,0,0,0,0,0,0,527,0
43,0,51.0938,216.897,117.928,2,7.07523,43.8146,8.52805,0.19806,1481,848860,48285,0,49,0,0,0,0,0,527,0
44,0,100.627,7.74493,119.761,2,4.45443,39.3563,14.3163,0.193757,935,534364,49493,0,13,0,0,0,0,0,527,0
45,0,81.1482,155.854,53.6186,1,3.84963,49.2948,23.3722,0.255055,809,461788,38992,0,0,0,0,0,0,0,527,0
46,0,46.3212,111.909,79.7605,1,0.008448,49.3817,24.5476,0.246459,12,768,42155,0,0,0,0,0,0,0,527,0
47,0,71.4237,176.814,74.5325,1,2.29624,48.3036,16.1773,0.22259,487,275342,42303,0,19,0,0,0,0,0,527,0
48,0,157.478,119.805,32.8912,1,5.52302,49.9073,20.006,0.251454,1156,662634,37416,0,0,0,0,0,0,0,527,0
49,0,203.567,29.6379,123.559,2,2.17144,39.0325,10.7704,0.173248,461,260366,50255,0,7,0,0,0,0,0,527,0
50,1,125,125,0,0,3.05395,53.2641,19.2685,0.251955,9988,142032,37335,0,0,0,0,0,0,0,0,0
