timestamp,protocol,nodes,trafficLevel,seed,simTime,txPkts,rxPkts,pdr,throughputKbps,avgDelaySec,avgJitterSec,unreachableSensors,routingOverheadPkts,total_phy_rx_drops,total_mac_queue_drops,total_max_retry_drops,total_ip_drop_no_route,total_ip_drop_ttl,total_ip_drop_route_error,total_ip_drop_queue,total_ip_drop_other,gw_airtime_busy_frac,ring1_airtime_busy_frac_mean,rest_airtime_busy_frac_mean,ring1_node_count
1788967027,static,50,medium,20,300,26350,8819,33.4687,141.104,0.0890891,0.0392811,0,0,1888061,0,365,0,0,0,0,0,0.223749,0.212074,0.168859,19
1788967039,static,50,medium,25,300,26350,8457,32.0949,135.312,0.0830287,0.0374407,0,0,1945540,0,244,0,0,0,0,0,0.202504,0.197654,0.147775,25
1788967053,static,50,medium,30,300,26350,9876,37.4801,158.016,0.0961321,0.0433621,0,0,2270301,0,308,0,0,0,0,0,0.251955,0.242392,0.179894,22
1788967079,static,50,high,20,300,52700,20549,38.9924,328.784,0.136117,0.0522881,0,0,4228270,1315,1085,0,0,0,0,0,0.528926,0.492972,0.405337,19
1788967105,static,50,high,25,300,52700,20108,38.1556,321.728,0.113286,0.0558131,0,0,4152358,845,970,0,0,0,0,0,0.503486,0.49199,0.366318,25
1788967137,static,50,high,30,300,52700,22343,42.3966,357.488,0.185533,0.0788096,0,0,5360157,8978,1754,0,0,0,0,0,0.652581,0.642289,0.520163,22
1788967164,static,75,medium,20,300,39525,13026,32.9564,208.416,0.138743,0.0585358,0,0,4693341,0,692,0,0,0,0,0,0.357156,0.33703,0.258399,28
1788967187,static,75,medium,25,300,39525,10935,27.666,174.96,0.0991816,0.0435279,0,0,3259914,0,238,0,0,0,0,0,0.255339,0.243097,0.17678,38
1788967203,static,75,medium,30,300,39525,8657,21.9026,138.512,0.0932073,0.0431256,0,0,2711906,0,328,0,0,0,0,0,0.204992,0.195484,0.140855,30
1788967258,static,75,high,20,300,79050,24808,31.3827,396.928,0.186316,0.077446,0,0,9556918,7688,1886,0,0,0,0,0,0.699762,0.689697,0.574511,28
1788967306,static,75,high,25,300,79050,25904,32.7691,414.464,0.139247,0.0700438,0,0,7636726,2323,784,0,0,0,0,0,0.635677,0.616675,0.451642,38
1788967339,static,75,high,30,300,79050,17916,22.6641,286.656,0.132001,0.0564294,0,0,5703767,2425,944,0,0,0,0,0,0.449375,0.434188,0.320966,30
1788967375,static,100,medium,20,300,52700,12711,24.1195,203.376,0.139305,0.0545182,0,0,6422279,0,671,0,0,0,0,0,0.32466,0.30829,0.247073,33
1788967429,static,100,medium,25,300,52700,18915,35.8918,302.64,0.210074,0.0851087,0,0,8473531,1296,1667,0,0,0,0,0,0.499057,0.47882,0.372705,49
1788967466,static,100,medium,30,300,52700,12893,24.4649,206.288,0.163971,0.0697282,0,0,6293046,145,1209,0,0,0,0,0,0.350078,0.33288,0.260935,43
