node_id,is_gateway,x,y,dist_to_gw_m,hop_to_gw,airtime_tx_s,airtime_rx_s,airtime_ccabusy_s,airtime_busy_frac,phy_tx_pkts,phy_tx_bytes,phy_rx_drops,mac_queue_drops,ip_drop_no_route,ip_drop_ttl,ip_drop_route_error,ip_drop_queue,ip_drop_other,app_pkts_originated,l3_unicast_forwarded
0,0,175.491,182.627,76.6169,1,5.32442,92.1503,31.1194,0.428647,1278,634880,63172,1,0,0,0,0,0,527,32
1,0,159.37,195.009,77.9902,1,5.10678,91.1828,33.9414,0.434103,1222,609020,62949,1,0,0,0,0,0,527,48
2,0,211.677,223.328,131.077,2,7.06528,86.2515,20.1607,0.378258,1622,844232,72073,0,0,0,0,0,0,527,6
3,0,58.6594,2.84915,139.003,2,3.06298,36.0827,17.9745,0.1904,812,363384,86147,0,0,0,0,0,0,527,18
4,0,116.013,200.553,76.0853,1,6.73795,76.1078,38.3254,0.403904,1738,800532,65737,0,0,0,0,0,0,527,166
5,0,38.4124,27.8273,130.154,2,5.48246,40.042,10.4752,0.186666,1316,653724,84512,0,0,0,0,0,0,527,13
6,0,22.2425,217.286,138.115,2,6.88965,50.3082,14.8314,0.240097,1601,822782,80897,0,0,0,0,0,0,527,20
7,0,110.518,32.2312,93.8923,2,2.4103,59.3395,30.1055,0.306184,805,281968,71897,0,0,0,0,0,0,527,98
8,0,85.4024,101.698,45.9449,1,6.48994,57.467,46.962,0.36973,1613,772530,66633,0,0,0,0,0,0,527,113
9,0,0.0664454,220.201,157.072,3,4.49125,42.264,9.60839,0.187879,1078,535534,83896,0,0,0,0,0,0,527,7
10,0,236.442,233.763,155.72,2,10.1667,68.5522,18.3927,0.323705,2249,1216862,76729,0,0,0,0,0,0,527,0
11,0,13.9683,24.0889,150.037,3,5.25154,37.0515,5.29793,0.15867,1246,626538,85584,0,0,0,0,0,0,527,11
12,0,221.601,99.6123,99.881,2,11.918,72.9209,33.3653,0.394014,2996,1417840,68425,5,0,0,0,0,0,527,339
13,0,238.556,186.099,128.949,2,7.89995,86.3684,22.2162,0.388282,1849,943118,71895,2,0,0,0,0,0,527,15
14,0,194.393,232.08,127.599,2,5.87413,85.3343,20.9764,0.373949,1362,701578,72735,0,0,0,0,0,0,527,0
15,0,235.072,136.889,110.712,2,4.91611,79.8946,35.9945,0.402684,1343,582282,68880,4,0,0,0,0,0,527,189
16,0,136.673,161.451,38.2749,1,5.70235,81.6262,44.5068,0.439451,1348,680442,60327,0,0,0,0,0,0,527,40
17,0,33.8345,234.684,142.624,2,7.08755,56.6889,13.2698,0.256821,1639,846608,79272,0,0,0,0,0,0,527,25
18,0,81.9086,182.175,71.5947,1,10.863,65.2839,29.9213,0.353561,2605,1295354,66891,0,0,0,0,0,0,527,207
19,0,47.8466,175.45,92.1837,2,11.8151,62.103,21.2043,0.317075,2978,1405414,68073,1,0,0,0,0,0,527,346
20,0,232.876,126.146,107.882,2,11.4275,72.6222,38.2189,0.407562,2798,1361290,69094,6,0,0,0,0,0,527,251
21,0,196.44,123.341,71.4592,1,8.32264,81.8476,41.1848,0.43785,2015,991970,63965,2,0,0,0,0,0,527,163
22,0,125.719,172.163,47.1688,1,3.80376,79.0939,43.736,0.422112,940,452910,62126,0,0,0,0,0,0,527,22
23,0,115.097,164.373,40.5995,1,6.76376,76.7526,40.6397,0.413854,1757,803302,61911,0,0,0,0,0,0,527,230
24,0,203.637,171.567,91.391,2,7.56106,90.2901,28.8169,0.422227,1824,901356,63593,3,0,0,0,0,0,527,129
25,0,61.8097,125.166,63.1905,1,6.31162,56.2087,41.1307,0.345503,1685,748512,68278,0,0,0,0,0,0,527,199
26,0,166.655,5.40813,126.639,2,3.58442,66.4884,16.9533,0.290087,941,425468,78356,0,0,0,0,0,0,527,0
27,0,195.865,223.59,121.416,2,9.20731,85.113,21.2109,0.385104,2109,1100298,71848,1,0,0,0,0,0,527,1
28,0,100.609,210.821,89.2196,1,1.12888,78.2839,33.5768,0.376632,638,125798,67245,0,0,0,0,0,0,527,217
29,0,181.071,26.0928,113.695,2,15.3797,68.7851,16.6443,0.33603,3429,1840166,68198,1,0,0,0,0,0,527,87
30,0,194.252,91.4308,76.9591,1,6.7977,84.4092,31.6582,0.40955,1679,809416,64419,0,0,0,0,0,0,527,117
31,0,177.454,207.336,97.6253,2,4.00115,92.7074,28.1744,0.416276,1484,464528,64480,0,0,0,0,0,0,527,498
32,0,155.046,84.8708,50.1308,1,6.03224,80.329,35.284,0.405484,1437,719542,63416,0,0,0,0,0,0,527,36
33,0,141.756,216.907,93.4216,2,10.9877,75.187,33.9974,0.400574,2655,1309738,67264,6,0,0,0,0,0,527,205
34,0,135.457,100.375,26.7532,1,5.58384,72.2325,48.8813,0.422326,1304,666684,62713,0,0,0,0,0,0,527,20
35,0,169.349,104.804,48.7313,1,6.30158,78.5752,45.0194,0.432988,1556,750354,62077,0,0,0,0,0,0,527,126
36,0,205.934,28.5419,125.915,2,7.08174,77.9701,12.56,0.325373,1635,845978,74682,2,0,0,0,0,0,527,16
37,0,7.16018,241.604,165.779,3,8.22938,40.4067,5.38342,0.180065,1854,984176,83532,0,0,0,0,0,0,527,8
38,0,236.413,36.222,142.459,2,8.98907,67.1454,16.1842,0.307729,2047,1074506,77363,0,0,0,0,0,0,527,3
39,0,37.7645,202.28,116.543,2,4.24726,67.432,16.1864,0.292886,1763,488596,70023,3,0,0,0,0,0,527,677
40,0,108.756,45.4837,81.1585,1,5.59378,55.3154,34.6332,0.318475,1574,661446,71275,0,0,0,0,0,0,527,269
41,0,115.572,129.672,10.5219,1,3.20955,72.109,48.0358,0.411181,804,381898,63240,0,0,0,0,0,0,527,41
42,0,29.6869,22.1526,140.222,2,5.63126,37.6218,6.76463,0.166726,1347,671580,85184,0,0,0,0,0,0,527,25
43,0,131.294,98.1593,27.5688,1,5.63411,71.7252,48.0998,0.418197,1335,672224,62980,0,0,0,0,0,0,527,31
44,0,30.5242,38.1451,128.333,2,6.64688,36.9506,11.7641,0.184539,1559,793444,85150,0,0,0,0,0,0,527,31
45,0,155.794,242.959,121.913,2,7.45168,74.3332,24.6855,0.354901,1672,891332,75138,0,0,0,0,0,0,527,0
46,0,214.027,201.953,117.676,2,7.80581,90.5473,22.4745,0.402759,1769,933270,70343,1,0,0,0,0,0,527,0
47,0,126.847,34.0686,90.9502,2,7.59675,63.7994,29.7954,0.337305,2166,897610,69384,5,0,0,0,0,0,527,401
48,0,142.487,189.338,66.672,1,6.62494,85.6802,37.354,0.432197,1606,789574,62240,0,0,0,0,0,0,527,108
49,0,188.378,111.23,64.8566,1,7.31187,81.0255,43.4515,0.439296,1822,870256,63628,0,0,0,0,0,0,527,164
50,1,125,125,0,0,4.46994,75.9643,46.0086,0.421476,13097,244414,62277,0,0,0,0,0,0,0,0
