node_id,is_gateway,x,y,dist_to_gw_m,hop_to_gw,airtime_tx_s,airtime_rx_s,airtime_ccabusy_s,airtime_busy_frac,phy_tx_pkts,phy_tx_bytes,phy_rx_drops,mac_queue_drops,ip_drop_no_route,ip_drop_ttl,ip_drop_route_error,ip_drop_queue,ip_drop_other,app_pkts_originated,l3_unicast_forwarded
0,0,167.274,46.2471,89.3819,1,11.4812,157.918,79.9167,0.831052,3886,1341886,176721,611,0,0,0,0,0,1054,1378
1,0,195.42,143.477,72.8036,1,10.4005,140.935,106.243,0.858596,4006,1203918,178590,1880,0,0,0,0,0,1028,1786
2,0,110.478,45.9988,80.3248,1,6.2352,136.102,114.652,0.856633,3063,705888,183169,1033,0,0,0,0,0,1054,1667
3,0,24.955,54.9132,122.152,2,11.8486,165.322,58.5647,0.785785,2811,1413612,186570,222,0,0,0,0,0,1054,153
4,0,208.335,106.691,85.3223,1,9.60512,128.924,114.103,0.842105,3882,1107472,185608,576,0,0,0,0,0,1054,1721
5,0,188.643,249.216,139.571,2,14.406,137.999,53.5428,0.686493,3207,1723780,194627,51,0,0,0,0,0,1054,49
6,0,0.0207735,243.989,172.563,2,14.8476,86.6407,37.5943,0.463608,3237,1778258,211784,0,0,0,0,0,0,1053,0
7,0,104.78,170.389,49.6893,1,9.35419,153.413,97.8707,0.868792,2597,1106946,170181,183,0,0,0,0,0,1054,482
8,0,188.157,144.715,66.1629,1,9.84048,145.867,103.825,0.865108,4100,1131660,175269,1829,0,0,0,0,0,1049,1999
9,0,98.7352,119.893,26.7566,1,8.53222,111.577,144.996,0.883685,2455,1007608,180899,266,0,0,0,0,0,1054,560
10,0,97.7351,166.79,49.8981,1,10.0071,149.742,100.957,0.869021,2951,1180058,171316,310,0,0,0,0,0,1054,755
11,0,189.032,208.42,105.162,2,10.5024,166.961,64.2418,0.805684,2777,1246156,175706,239,0,0,0,0,0,1054,406
12,0,43.046,53.0384,109.064,2,11.1177,169.853,64.3578,0.817761,3322,1309988,177808,557,0,0,0,0,0,1054,833
