node_id,is_gateway,x,y,dist_to_gw_m,hop_to_gw,airtime_tx_s,airtime_rx_s,airtime_ccabusy_s,airtime_busy_frac,phy_tx_pkts,phy_tx_bytes,phy_rx_drops,mac_queue_drops,ip_drop_no_route,ip_drop_ttl,ip_drop_route_error,ip_drop_queue,ip_drop_other,app_pkts_originated,l3_unicast_forwarded
0,0,221.853,238.603,149.285,2,14.0085,71.6126,11.4591,0.323601,2928,1680796,93744,0,0,0,0,0,0,1054,0
1,0,238.069,155.372,117.078,2,7.57174,70.8876,24.1196,0.34193,1587,908380,97211,0,0,0,0,0,0,1054,0
2,0,160.089,237.613,117.953,2,10.5541,95.2276,19.0076,0.415965,2205,1266346,87255,0,0,0,0,0,0,1054,0
3,0,168.216,10.2933,122.578,2,18.6229,46.3672,34.6338,0.33208,3886,2234602,100891,0,0,0,0,0,0,1054,0
4,0,210.394,204.139,116.426,2,9.41045,91.577,18.0245,0.396706,1971,1129002,77487,0,0,0,0,0,0,1054,0
5,0,195.628,183.817,91.9114,2,11.4798,92.8673,18.9344,0.410938,2397,1377450,75882,0,0,0,0,0,0,1054,0
6,0,119.347,216.551,91.7249,2,10.179,97.0592,23.3085,0.435156,2126,1221354,74147,0,0,0,0,0,0,1054,0
7,0,78.8811,226.633,111.608,2,13.0501,95.3004,18.3287,0.422264,2725,1565866,76432,0,0,0,0,0,0,1054,0
8,0,0.342743,143.872,126.078,3,12.243,55.6071,34.5829,0.341443,2556,1469034,101083,0,0,0,0,0,0,1054,0
9,0,118.631,68.0128,57.342,1,25.5433,67.3133,25.4198,0.394255,9210,2971874,76231,0,0,0,0,0,0,1054,4027
10,0,67.0997,246.779,134.842,2,12.5988,91.8843,13.5372,0.393401,2636,1511580,89485,0,0,0,0,0,0,1054,0
11,0,232.429,46.2307,133.213,2,5.10904,48.8673,15.8413,0.232726,1073,612878,104180,0,0,0,0,0,0,1054,0
12,0,113.361,111.836,17.5717,1,5.06702,101.292,46.5109,0.509567,1061,607914,70144,0,0,0,0,0,0,1054,0
13,0,63.2435,218.549,112.095,2,0.008448,103.457,22.4038,0.419563,12,768,78602,0,0,0,0,0,0,1054,0
14,0,72.2154,79.865,69.4506,1,40.071,63.6978,17.7224,0.404971,11323,4737124,73519,0,0,0,0,0,0,1054,3162
15,0,143.985,202.009,79.3147,1,47.6754,58.426,24.1524,0.43418,17284,5544610,74977,0,0,0,0,0,0,1054,7738
16,0,60.3712,208.728,105.77,2,0.008448,100.897,27.3737,0.427599,12,768,79292,0,0,0,0,0,0,1054,0
17,0,186.783,110.327,63.5013,1,10.8922,71.6829,59.6896,0.474216,3074,1287754,80069,0,0,0,0,0,0,1054,834
18,0,22.2629,95.8373,106.796,2,16.1707,75.0964,20.1836,0.371502,4365,1916572,79453,0,0,0,0,0,0,1054,1054
19,0,104.514,191.243,69.3386,1,20.3607,89.4685,33.9615,0.479302,5440,2414530,72736,0,0,0,0,0,0,1054,1261
20,0,49.8195,12.2605,135.508,2,4.35134,83.7466,20.1665,0.360881,916,521934,93205,0,0,0,0,0,0,1054,0
21,0,168.51,4.95508,127.687,2,12.7872,52.0619,27.3596,0.307363,2671,1534300,100892,0,0,0,0,0,0,1054,0
22,0,199.142,178.877,91.6501,2,7.88643,95.8256,18.7934,0.408352,1650,946204,75699,0,0,0,0,0,0,1054,0
23,0,73.8338,82.2056,66.7034,1,12.6366,89.6612,20.9765,0.410914,2638,1516266,73413,0,0,0,0,0,0,1054,0
24,0,67.0335,34.1387,107.777,2,11.3886,86.9341,17.4966,0.386064,2378,1366506,76773,0,0,0,0,0,0,1054,0
25,0,92.9887,3.93546,125.225,2,11.8302,84.4795,14.898,0.370692,2470,1419498,92278,0,0,0,0,0,0,1054,0
26,0,86.1819,240.905,122.233,2,13.2709,94.7503,14.6168,0.408793,2771,1592362,87911,0,0,0,0,0,0,1054,0
27,0,48.9636,241.969,139.511,2,9.63125,94.6114,13.3955,0.392127,2017,1155498,90811,0,0,0,0,0,0,1054,0
28,0,20.9459,57.5367,124.01,2,10.7598,86.1254,9.42178,0.354357,2247,1291050,90939,0,0,0,0,0,0,1054,0
29,0,40.1187,232.428,136.914,2,9.96355,90.2817,17.82,0.393551,2087,1195356,92450,0,0,0,0,0,0,1054,0
30,1,125,125,0,0,5.72938,93.1019,49.9962,0.496092,18819,264516,74125,0,0,0,0,0,0,0,0
