node_id,is_gateway,x,y,dist_to_gw_m,hop_to_gw,airtime_tx_s,airtime_rx_s,airtime_ccabusy_s,airtime_busy_frac,phy_tx_pkts,phy_tx_bytes,phy_rx_drops,mac_queue_drops,ip_drop_no_route,ip_drop_ttl,ip_drop_route_error,ip_drop_queue,ip_drop_other,app_pkts_originated,l3_unicast_forwarded
0,0,174.016,108.312,51.7793,1,4.63992,41.6778,17.5452,0.212877,3077,506142,34375,0,0,0,0,0,0,527,2177
1,0,24.7061,45.2061,128.164,2,2.58904,21.0661,8.69291,0.107827,548,310478,47612,0,0,0,0,0,0,527,0
2,0,37.6545,64.7946,106.085,2,3.68194,24.5468,12.9699,0.137329,775,441642,41009,0,0,0,0,0,0,527,0
3,0,155.227,43.7977,86.6459,1,4.962,35.3477,17.8714,0.193937,2133,569058,37288,0,0,0,0,0,0,527,1157
4,0,67.8888,190.314,86.7616,1,0.630976,37.597,10.9674,0.163984,2044,29816,36811,0,0,0,0,0,0,527,2020
5,0,236.627,4.68248,164.124,2,5.80024,26.3447,7.32625,0.131571,1217,695822,45504,0,0,0,0,0,0,527,0
6,0,132.985,101.702,24.6287,1,5.20213,42.75,15.3747,0.211089,1090,624106,32346,0,0,0,0,0,0,527,0
7,0,151.978,164.836,48.1116,1,5.59502,40.2383,14.2527,0.200287,1171,671274,33626,0,0,0,0,0,0,527,0
8,0,90.5151,76.4426,59.557,1,7.23248,34.4423,15.8846,0.191865,2227,850612,35256,0,0,0,0,0,0,527,751
9,0,226.782,64.1468,118.586,2,9.31022,36.1226,12.6259,0.193529,1945,1117098,41130,0,0,0,0,0,0,527,0
10,0,57.8787,235.812,129.555,2,6.12782,20.8871,4.84285,0.106192,1282,735210,45893,0,0,0,0,0,0,527,0
11,0,119.386,157.943,33.4182,1,5.27342,39.7801,13.9133,0.196556,1104,632682,33602,0,0,0,0,0,0,527,0
12,0,212.419,77.832,99.3324,2,3.70563,42.1648,15.1596,0.203433,779,444508,36450,0,0,0,0,0,0,527,0
13,0,151.415,114.501,28.4249,1,3.20163,46.2743,14.8203,0.21432,674,384028,32106,0,0,0,0,0,0,527,0
14,0,159.946,200.03,82.7693,1,3.23224,36.3888,15.9529,0.185247,682,387662,37255,0,0,0,0,0,0,527,0
15,0,37.3611,57.669,110.517,2,1.54264,27.0375,11.48,0.133534,330,184910,40933,0,0,0,0,0,0,527,0
16,0,152.113,125.592,27.1197,1,5.26862,44.1512,14.7151,0.213783,1103,632106,32321,0,0,0,0,0,0,527,0
17,0,179.965,153.887,62.0934,1,4.05603,44.3464,13.4114,0.206046,852,486556,33974,0,0,0,0,0,0,527,0
18,0,224.194,154.178,103.396,2,3.36664,41.1468,12.7568,0.190901,710,403790,36882,0,0,0,0,0,0,527,0
19,0,37.9802,225.896,133.239,2,0.008448,23.7172,5.18291,0.0963619,12,768,46553,0,0,0,0,0,0,527,0
20,0,117.845,239.301,114.525,2,1.32184,28.0192,11.0653,0.134688,284,158414,39638,0,0,0,0,0,0,527,0
