timestamp,protocol,nodes,trafficLevel,seed,simTime,txPkts,rxPkts,pdr,throughputKbps,avgDelaySec,avgJitterSec,unreachableSensors,routingOverheadPkts,total_phy_rx_drops,total_mac_queue_drops,total_ip_drop_no_route,total_ip_drop_ttl,total_ip_drop_route_error,total_ip_drop_queue,total_ip_drop_other,gw_airtime_busy_frac,ring1_airtime_busy_frac_mean,rest_airtime_busy_frac_mean,ring1_node_count
1788885950,static,30,medium,20,300,15810,5184,32.7894,82.944,0.0609598,0.0210357,0,0,778097,0,0,0,0,0,0,0.139466,0.124354,0.101473,7
1788885955,static,30,medium,21,300,15810,5612,35.4965,89.792,0.0656217,0.0288536,0,0,656698,0,0,0,0,0,0,0.158116,0.140498,0.111896,16
1788885962,static,30,medium,22,300,15810,7898,49.9557,126.368,0.0793169,0.0301241,0,0,1123409,0,0,0,0,0,0,0.201183,0.199094,0.146772,11
1788885969,static,30,medium,23,300,15810,8821,55.7938,141.136,0.0987602,0.0360996,0,0,1312083,0,0,0,0,0,0,0.252533,0.223884,0.162895,11
1788885975,static,30,medium,24,300,15810,8432,53.3333,134.912,0.0692846,0.0332641,0,0,919506,0,0,0,0,0,0,0.192552,0.183911,0.12881,17
1788885981,static,30,medium,25,300,15810,6987,44.1935,111.792,0.0628782,0.0277835,0,0,842077,0,0,0,0,0,0,0.16179,0.158564,0.115839,15
1788885986,static,30,medium,26,300,15810,5155,32.6059,82.48,0.0614067,0.0256333,0,0,669708,0,0,0,0,0,0,0.139145,0.127172,0.0966369,12
1788885989,static,30,medium,27,300,15810,5077,32.1126,81.232,0.0417382,0.0179217,0,0,461998,0,0,0,0,0,0,0.109081,0.1085,0.0712113,12
1788885994,static,30,medium,28,300,15810,5306,33.561,84.896,0.0886872,0.0371774,1,0,833200,0,0,0,0,0,0,0.168456,0.146686,0.132277,13
1788885999,static,30,medium,29,300,15810,6278,39.709,100.448,0.0655918,0.027065,0,0,857742,0,0,0,0,0,0,0.156098,0.138265,0.109618,12
1788886006,static,30,medium,30,300,15810,7534,47.6534,120.544,0.0802939,0.0358772,0,0,1081332,0,0,0,0,0,0,0.210347,0.197366,0.150312,12
1788886021,static,30,high,20,300,31620,18718,59.1967,299.488,0.106608,0.0373582,0,0,2611316,0,0,0,0,0,0,0.496092,0.443915,0.375959,7
1788886030,static,30,high,21,300,31620,10788,34.1176,172.608,0.0590126,0.0277957,0,0,1223692,0,0,0,0,0,0,0.295067,0.258371,0.200866,16
1788886045,static,30,high,22,300,31620,17312,54.7502,276.992,0.0989201,0.0382713,0,0,2447511,17,0,0,0,0,0,0.443634,0.442255,0.332503,11
1788886060,static,30,high,23,300,31620,16858,53.3144,269.728,0.0967345,0.0358455,0,0,2602886,0,0,0,0,0,0,0.51173,0.45379,0.309349,11
1788886072,static,30,high,24,300,31620,16618,52.5553,265.888,0.0728806,0.0352411,0,0,1768576,0,0,0,0,0,0,0.386276,0.371263,0.252466,17
1788886084,static,30,high,25,300,31620,14978,47.3688,239.648,0.0745642,0.031092,0,0,1899613,0,0,0,0,0,0,0.355039,0.348739,0.2605,15
