protocol,N,traffic,n_seeds,PDR_mean,throughput_kbps,gw_airtime,ring1_airtime,mac_queue_drops_mean,phy_rx_drops_mean,NO_ROUTE_mean,ROUTE_ERROR_mean,frac_nodes_hop_le1,frac_phyrx_hop_le1,frac_macq_hop_le1,macq_concentration_ratio,note
olsr,30,high,11,42.525,215.009,0.4375,0.4137,573.3,2206936,3.0,0.0,0.418,0.384,0.279,0.668,
olsr,30,medium,11,38.230,96.704,0.1850,0.1745,0.0,941572,0.0,0.0,0.418,0.375,nan,nan,
olsr,50,high,11,38.699,326.036,0.7353,0.7197,10135.0,6451845,15.3,0.0,0.444,0.418,0.671,1.512,
olsr,50,medium,11,37.898,159.776,0.3630,0.3423,15.2,3130330,0.0,0.0,0.444,0.411,0.165,0.373,
olsr,75,high,11,25.206,315.719,0.8638,0.8549,28190.6,12997211,228.7,0.0,0.430,0.412,0.758,1.760,near-saturation region (gw airtime 0.86-0.89 begins here)
olsr,75,medium,11,34.830,220.260,0.5807,0.5482,1704.2,7581263,0.4,0.0,0.430,0.405,0.594,1.380,
olsr,100,high,11,14.732,235.667,0.8893,0.8809,43475.9,19597269,1335.8,0.0,0.417,0.405,0.781,1.871,deepest saturation tested
olsr,100,medium,11,28.546,239.811,0.7433,0.7168,9542.0,13971261,65.6,0.0,0.417,0.399,0.758,1.816,
static,30,high,11,44.212,223.676,0.3653,0.3403,1.5,1861048,0.0,0.0,0.418,0.372,1.000,2.391,
static,30,medium,11,41.564,105.140,0.1717,0.1589,0.0,866895,0.0,0.0,0.418,0.369,nan,nan,
static,50,high,11,39.110,329.775,0.5622,0.5353,3256.9,4556620,0.0,0.0,0.444,0.402,0.924,2.084,
static,50,medium,11,36.444,153.649,0.2424,0.2271,0.0,2084300,0.0,0.0,0.444,0.398,nan,nan,
static,75,high,11,28.926,365.860,0.6219,0.6027,6550.3,7968847,0.0,0.0,0.430,0.391,0.948,2.203,near-saturation region (gw airtime 0.86-0.89 begins here)
static,75,medium,11,30.674,193.985,0.3041,0.2830,1.3,3970639,0.0,0.0,0.430,0.386,1.000,2.324,
static,100,high,11,22.055,371.939,0.6559,0.6416,12463.7,12394912,0.0,0.0,0.417,0.387,0.864,2.072,deepest saturation tested
static,100,medium,11,27.802,234.429,0.3849,0.3570,284.2,6809568,0.0,0.0,0.417,0.378,0.984,2.358,
