protocol,N,rate_kbps,n_seeds,pdr_mean,pdr_sd,pdr_min,pdr_max,throughput_mean,throughput_sd,delay_mean,delay_sd,jitter_mean,jitter_sd,packet_loss_mean,gw_airtime_mean,ring1_airtime_mean,mac_queue_drops_mean,max_retry_drops_mean,delta_pdr_pp_vs_16kbps,pct_change_throughput_vs_16kbps,pct_change_gw_airtime_vs_16kbps,pct_change_macq_vs_16kbps,pct_change_retry_vs_16kbps
olsr,50,16,3,41.89,5.60,34.24,47.49,352.72,47.01,0.20074,0.00668,0.10012,0.00381,30584.3,0.7662,0.7552,9913.7,3172.3,+0.00,+0.00,+0.00,+0.00,+0.00
olsr,50,12,3,45.98,2.58,42.33,47.91,290.97,16.33,0.17748,0.01295,0.09268,0.00705,21364.3,0.6471,0.6272,3457.0,3749.0,+4.09,-17.51,-15.54,-65.13,+18.18
olsr,50,8,3,41.08,8.73,32.31,52.99,173.21,36.80,0.14144,0.01457,0.07104,0.00474,15524.3,0.3902,0.3703,29.0,2644.0,-0.81,-50.89,-49.08,-99.71,-16.65
olsr,50,4,3,39.18,6.59,33.36,48.39,82.43,13.86,0.12232,0.01375,0.06368,0.00631,7998.0,0.1928,0.1816,0.0,747.0,-2.71,-76.63,-74.83,-100.00,-76.45
olsr,75,16,3,26.28,1.63,24.12,28.08,329.98,20.07,0.30038,0.00588,0.13980,0.00869,57873.0,0.8701,0.8631,29747.0,2462.7,+0.00,+0.00,+0.00,+0.00,+0.00
olsr,75,12,3,32.29,1.66,29.98,33.83,304.58,14.20,0.25855,0.02136,0.13948,0.01087,39942.3,0.7854,0.7696,15134.7,3057.0,+6.01,-7.70,-9.73,-49.12,+24.13
olsr,75,8,3,37.77,1.54,36.54,39.94,238.83,9.77,0.24195,0.01779,0.12711,0.00478,24598.0,0.6168,0.5853,2009.0,3319.7,+11.49,-27.62,-29.11,-93.25,+34.80
olsr,75,4,3,40.95,1.97,38.85,43.57,129.23,6.20,0.24666,0.02952,0.14729,0.01118,11648.3,0.3588,0.3347,188.7,2001.7,+14.67,-60.84,-58.77,-99.37,-18.72
olsr,100,16,3,14.53,1.39,12.74,16.12,230.60,26.73,0.36337,0.00490,0.16603,0.00868,84568.0,0.8896,0.8794,44776.0,1757.3,+0.00,+0.00,+0.00,+0.00,+0.00
olsr,100,12,3,22.73,1.98,20.60,25.36,286.73,24.83,0.32418,0.01097,0.16229,0.00593,60916.0,0.8738,0.8617,28474.0,2441.3,+8.20,+24.34,-1.77,-36.41,+38.92
olsr,100,8,3,29.29,3.59,24.51,33.17,245.29,32.14,0.31736,0.01573,0.16946,0.00441,36951.7,0.7584,0.7283,9432.7,3305.7,+14.76,+6.37,-14.75,-78.93,+88.11
olsr,100,4,3,39.74,3.61,35.53,44.34,167.22,15.18,0.34575,0.00850,0.20135,0.00922,15848.7,0.5297,0.4884,1934.0,2666.0,+25.21,-27.49,-40.46,-95.68,+51.71
static,50,16,3,39.85,1.83,38.16,42.40,336.00,15.46,0.14498,0.03015,0.06230,0.01176,31700.0,0.5617,0.5424,3712.7,1269.7,+0.00,+0.00,+0.00,+0.00,+0.00
static,50,12,3,27.42,2.84,24.48,31.25,173.50,17.96,0.07374,0.00937,0.03326,0.00205,28706.3,0.2921,0.2802,0.0,227.3,-12.43,-48.36,-48.00,-100.00,-82.10
static,50,8,3,34.35,2.28,32.09,37.48,144.81,9.63,0.08942,0.00535,0.04003,0.00247,17299.3,0.2261,0.2174,0.0,305.7,-5.50,-56.90,-59.75,-100.00,-75.93
static,50,4,3,32.24,0.60,31.41,32.78,67.83,1.26,0.08121,0.00290,0.03742,0.00130,8910.3,0.1062,0.1026,0.0,94.0,-7.61,-79.81,-81.09,-100.00,-92.60
static,75,16,3,28.94,4.47,22.66,32.77,366.02,56.57,0.15252,0.02408,0.06797,0.00870,56174.0,0.5949,0.5802,4145.3,1204.7,+0.00,+0.00,+0.00,+0.00,+0.00
static,75,12,3,23.59,3.24,20.50,28.07,223.88,30.78,0.08907,0.00211,0.04304,0.00275,45332.7,0.3499,0.3373,0.0,491.7,-5.35,-38.83,-41.18,-100.00,-59.19
static,75,8,3,27.51,4.51,21.90,32.96,173.96,28.55,0.11038,0.02021,0.04840,0.00717,28652.3,0.2725,0.2585,0.0,419.3,-1.43,-52.47,-54.20,-100.00,-65.19
static,75,4,3,25.87,0.83,25.07,27.02,81.66,2.63,0.09760,0.00519,0.04525,0.00145,14621.3,0.1246,0.1198,0.0,167.0,-3.06,-77.69,-79.06,-100.00,-86.14
static,100,16,3,21.79,1.91,19.86,24.38,367.39,32.15,0.20347,0.04221,0.07819,0.00994,82438.3,0.6491,0.6432,11057.0,1738.0,+0.00,+0.00,+0.00,+0.00,+0.00
static,100,12,3,24.55,2.28,21.32,26.17,310.66,28.91,0.17349,0.03379,0.07447,0.01233,59683.7,0.5339,0.5217,5181.0,1111.7,+2.76,-15.44,-17.73,-53.14,-36.04
static,100,8,3,28.16,5.47,24.12,35.89,237.43,46.12,0.17112,0.02933,0.06979,0.01249,37860.3,0.3913,0.3733,480.3,1182.3,+6.37,-35.37,-39.72,-95.66,-31.97
static,100,4,3,20.77,5.87,16.14,29.06,87.41,24.72,0.11087,0.02138,0.05178,0.00919,20836.7,0.1402,0.1348,0.0,183.7,-1.01,-76.21,-78.40,-100.00,-89.43
