rate_kbps,seed,PDR,txPkts,rxPkts,total_packet_loss,mac_queue_drops,max_retry_drops,ip_drop_no_route,ip_drop_ttl,ip_drop_route_error,ip_drop_other,attributable_loss,attributable_pct,residual_loss,residual_pct
16,20,38.9924,52700,20549,32151,1315,1085,0,0,0,0,2400,7.46,29751,92.54
16,25,38.1556,52700,20108,32592,845,970,0,0,0,0,1815,5.57,30777,94.43
16,30,42.3966,52700,22343,30357,8978,1754,0,0,0,0,10732,35.35,19625,64.65
12,20,31.2541,39550,12361,27189,0,248,0,0,0,0,248,0.91,26941,99.09
12,25,24.4753,39550,9680,29870,0,128,0,0,0,0,128,0.43,29742,99.57
12,30,26.5234,39550,10490,29060,0,306,0,0,0,0,306,1.05,28754,98.95
8,20,33.4687,26350,8819,17531,0,365,0,0,0,0,365,2.08,17166,97.92
8,25,32.0949,26350,8457,17893,0,244,0,0,0,0,244,1.36,17649,98.64
8,30,37.4801,26350,9876,16474,0,308,0,0,0,0,308,1.87,16166,98.13
4,20,32.5399,13150,4279,8871,0,63,0,0,0,0,63,0.71,8808,99.29
4,25,31.4068,13150,4130,9020,0,71,0,0,0,0,71,0.79,8949,99.21
4,30,32.7757,13150,4310,8840,0,148,0,0,0,0,148,1.67,8692,98.33
