section,condition,N,seeds_or_configs,PDR_v4,PDR_static,PDR_diff_pct,hop_v4,hop_static,hop_diff_pct,PathChanges,route_tree_differs_from_static_pct,ACTIVATED,delay_diff_pct,notes
V4-matched,pooled(low/med/high traffic x static/low/med mobility),10,99 rows,48.05,46.69,+2.9%,1.448,1.448,0.0%,0 (always),not measured in this dataset,n/a,n/a,"PathChanges=0 for all 594 V4-matched rows (fixed single-tree-per-run design, not real-time adaptation)"
V4-matched,pooled,20,99 rows,32.08,32.11,-0.1%,1.665,1.656,+0.5%,0,not measured,n/a,n/a,
V4-matched,pooled,30,99 rows,29.28,29.84,-1.9%,1.662,1.647,+0.9%,0,not measured,n/a,n/a,
V4-matched,pooled,50,99 rows,24.68,25.42,-2.9%,1.580,1.578,+0.1%,0,not measured,n/a,n/a,Matches independently-derived Stage-2 finding: V4 approx = Static (this dataset's fixed sigmoid config barely deviates from shortest-path)
V4-matched,pooled,75,99 rows,20.89,20.19,+3.5%,1.579,1.579,0.0%,0,not measured,n/a,n/a,
V4-matched,pooled,100,99 rows,17.14,17.20,-0.3%,1.592,1.592,0.0%,0,not measured,n/a,n/a,
V4-sensitivity,"N=50/medium/static, 27 sigmoid configs (kRisk,kLoad in {0.5,2,5}; weights in {0.25/0.75,0.5/0.5,0.75/0.25}; x0Risk=x0Load=0.5 fixed)",50,11 seeds x 27 configs = 297 rows,31.04-34.84 (range across configs),"28.57 (V3 Static/N=50/pooled traffic+mobility, for context)","n/a - different traffic/mobility pooling, not directly matched",1.578 (all configs),1.578,0.0%,0 (all 297 rows),0% (x0Risk=0.5 never triggers activation at this midpoint),False (all 27 configs),n/a,"Sensitivity sweep never activates (x0Risk/x0Load held at the non-activating 0.5 midpoint in every config) -- this dataset demonstrates V4 CAN be tuned to compute different sigmoid weights without changing the resulting route in this specific condition, motivating the Tier-1 screen below"
V4-Tier1,"Config1: x0R=0.50,x0L=0.02,kR=10,kL=10,wR=0.5",50,11 seeds,34.95,36.44,-4.09%,1.578,1.578,0.0%,0,0/11 (0%),False,+3.99%,
V4-Tier1,"Config2: x0R=0.50,x0L=0.05,kR=10,kL=10,wR=0.5",50,11 seeds,35.15,36.44,-3.55%,1.580,1.578,+0.1%,0,1/11 (9.1%),False,+4.04%,
V4-Tier1,"Config3: x0R=0.50,x0L=0.50,kR=10,kL=10,wR=0.5",50,11 seeds,32.40,36.44,-11.10%,1.616,1.578,+2.4%,0,8/11 (72.7%),True (ACTIVATED),-6.86%,"PDR significantly worse (sign-test p=0.227, Cohen's d=-0.61); delay improves(-6.86%) but delivery drops"
V4-Tier1,"Config4: x0R=0.80,x0L=0.02,kR=10,kL=10,wR=0.5",50,11 seeds,34.89,36.44,-4.27%,1.589,1.578,+0.7%,0,3/11 (27.3%),False,+1.24%,
V4-Tier1,"Config5: x0R=0.80,x0L=0.05,kR=10,kL=10,wR=0.5",50,11 seeds,34.51,36.44,-5.32%,1.595,1.578,+1.0%,0,5/11 (45.5%),True (ACTIVATED),-0.28%,"Weak activation, PDR worse, not significant (p=1.0)"
V4-Tier1,"Config6: x0R=0.80,x0L=0.50,kR=10,kL=10,wR=0.5",50,11 seeds,37.72,36.44,+3.51%,2.018,1.578,+27.9%,0,11/11 (100%),True (ACTIVATED),+21.58%,"Strongest activation (every seed re-routes, mean hop +27.9%); PDR change +3.5% is NOT significant (sign-test p=1.0, Cohen's d=+0.15, negative at median -2.55); delay WORSENS +21.6% (d=+0.69); MaxLinkUtil +42.8%. This is the single strongest-activation config in the entire V4 research chain and it does not produce a credible improvement."
