node_id,is_gateway,x,y,dist_to_gw_m,hop_to_gw,airtime_tx_s,airtime_rx_s,airtime_ccabusy_s,airtime_busy_frac,phy_tx_pkts,phy_tx_bytes,phy_rx_drops,mac_queue_drops,max_retry_drops,ip_drop_no_route,ip_drop_ttl,ip_drop_route_error,ip_drop_queue,ip_drop_other,app_pkts_originated,l3_unicast_forwarded
0,0,221.853,238.603,149.285,2,15.0145,142.585,42.2937,0.666311,3356,1796264,189550,60,116,0,0,0,0,0,1054,95
1,0,238.069,155.372,117.078,2,14.101,137.033,72.8936,0.74676,3579,1676724,188636,198,47,0,0,0,0,0,1054,463
2,0,160.089,237.613,117.953,2,10.2433,136.703,98.0173,0.816546,2462,1221324,189818,207,22,0,0,0,0,0,1054,121
3,0,168.216,10.2933,122.578,2,17.3847,137.612,59.7804,0.715922,3907,2079324,191929,179,136,0,0,0,0,0,1054,144
4,0,210.394,204.139,116.426,2,9.75019,162.982,59.8814,0.775378,2350,1162374,178088,41,22,0,0,0,0,0,1054,152
5,0,195.628,183.817,91.9114,2,7.20712,170.536,71.415,0.830526,2541,839906,173013,322,8,0,0,0,0,0,1054,855
6,0,119.347,216.551,91.7249,2,9.88776,148.098,98.8332,0.856065,2964,1164834,177933,697,4,0,0,0,0,0,1041,758
7,0,78.8811,226.633,111.608,2,8.95331,174.459,65.6352,0.830159,2268,1064732,174021,281,5,0,0,0,0,0,1054,207
8,0,0.342743,143.872,126.078,2,10.6498,127.313,99.2232,0.79062,2467,1272018,196104,182,50,0,0,0,0,0,1054,46
9,0,118.631,68.0128,57.342,1,4.31726,131.67,112.333,0.827734,3100,465258,176473,163,1,0,0,0,0,0,1046,2107
10,0,67.0997,246.779,134.842,2,11.6731,159.908,63.192,0.782577,2619,1396278,183752,91,44,0,0,0,0,0,1051,37
11,0,232.429,46.2307,133.213,2,16.0985,131.547,52.1019,0.665824,3569,1926660,193427,42,151,0,0,0,0,0,1054,51
12,0,113.361,111.836,17.5717,1,7.04557,118.881,135.59,0.871724,1799,837520,174566,81,0,0,0,0,0,0,1054,182
