node_id,is_gateway,x,y,dist_to_gw_m,hop_to_gw,airtime_tx_s,airtime_rx_s,airtime_ccabusy_s,airtime_busy_frac,phy_tx_pkts,phy_tx_bytes,phy_rx_drops,mac_queue_drops,max_retry_drops,ip_drop_no_route,ip_drop_ttl,ip_drop_route_error,ip_drop_queue,ip_drop_other,app_pkts_originated,l3_unicast_forwarded
0,0,221.853,238.603,149.285,2,4.23821,54.333,14.014,0.241951,1016,505392,69947,0,60,0,0,0,0,0,263,0
1,0,238.069,155.372,117.078,2,2.63211,54.7008,23.323,0.268853,714,311878,69374,0,13,0,0,0,0,0,263,0
2,0,160.089,237.613,117.953,2,3.94298,66.8013,26.9824,0.325755,988,469160,66459,3,26,0,0,0,0,0,263,5
3,0,168.216,10.2933,122.578,2,2.35702,54.9368,14.8705,0.240548,641,279244,70464,0,21,0,0,0,0,0,263,2
4,0,210.394,204.139,116.426,2,1.44018,67.4165,19.8183,0.295583,661,164158,63364,0,7,0,0,0,0,0,263,223
5,0,195.628,183.817,91.9114,2,1.34891,73.6525,24.3419,0.331144,756,150470,60621,3,3,0,0,0,0,0,263,352
6,0,119.347,216.551,91.7249,2,2.99973,75.1423,27.9839,0.353753,938,352454,60358,22,16,0,0,0,0,0,263,125
7,0,78.8811,226.633,111.608,2,5.29846,75.7764,20.615,0.338966,1449,627532,60078,12,56,0,0,0,0,0,263,213
8,0,0.342743,143.872,126.078,2,4.58218,57.4363,27.4008,0.298064,1105,546252,68667,1,62,0,0,0,0,0,263,2
9,0,118.631,68.0128,57.342,1,4.11952,60.1553,34.2256,0.328335,1041,489956,60625,0,2,0,0,0,0,0,263,56
10,0,67.0997,246.779,134.842,2,2.87029,72.2097,19.5957,0.315586,761,340522,65462,2,6,0,0,0,0,0,263,11
11,0,232.429,46.2307,133.213,2,3.44837,49.6301,17.2936,0.234574,870,410166,71405,0,31,0,0,0,0,0,263,6
12,0,113.361,111.836,17.5717,1,3.11917,63.2532,47.1493,0.378405,777,371248,58628,1,0,0,0,0,0,0,263,28
13,0,63.2435,218.549,112.095,2,5.53517,78.3028,17.9851,0.33941,1432,657528,59176,49,47,0,0,0,0,0,263,154
14,0,72.2154,79.865,69.4506,1,2.18923,64.8714,28.4285,0.318297,646,258150,60806,0,7,0,0,0,0,0,263,62
15,0,143.985,202.009,79.3147,1,2.31798,72.9185,35.2679,0.368348,767,271340,60600,3,4,0,0,0,0,0,263,117
16,0,60.3712,208.728,105.77,2,5.72819,80.56,17.9804,0.347562,1632,676856,58073,18,38,0,0,0,0,0,263,300
17,0,186.783,110.327,63.5013,1,2.66286,65.6246,32.8862,0.337246,741,315074,60031,0,2,0,0,0,0,0,263,56
18,0,22.2629,95.8373,106.796,2,1.3711,59.4467,25.5688,0.287955,609,156772,64393,0,7,0,0,0,0,0,263,163
19,0,104.514,191.243,69.3386,1,4.01838,79.379,29.8925,0.377633,945,479618,57137,1,0,0,0,0,0,0,263,22
