node_id,is_gateway,x,y,dist_to_gw_m,hop_to_gw,airtime_tx_s,airtime_rx_s,airtime_ccabusy_s,airtime_busy_frac,phy_tx_pkts,phy_tx_bytes,phy_rx_drops,mac_queue_drops,max_retry_drops,ip_drop_no_route,ip_drop_ttl,ip_drop_route_error,ip_drop_queue,ip_drop_other,app_pkts_originated,l3_unicast_forwarded
0,0,221.853,238.603,149.285,2,0.008448,9.49802,4.79504,0.0476717,12,768,23856,0,0,0,0,0,0,0,263,0
1,0,238.069,155.372,117.078,2,0.83224,10.1128,6.86151,0.0593551,182,99662,24172,0,0,0,0,0,0,0,263,0
2,0,160.089,237.613,117.953,2,1.75203,18.8634,6.25185,0.0895576,372,210076,20942,0,0,0,0,0,0,0,263,0
3,0,168.216,10.2933,122.578,2,1.80664,14.9119,8.0439,0.0825415,385,216590,23192,0,0,0,0,0,0,0,263,0
4,0,210.394,204.139,116.426,2,0.84184,15.4795,6.76124,0.076942,184,100814,20038,0,0,0,0,0,0,0,263,0
5,0,195.628,183.817,91.9114,2,3.06062,19.5661,6.14618,0.0959098,643,367146,18113,0,0,0,0,0,0,0,263,0
6,0,119.347,216.551,91.7249,2,2.57653,21.8271,6.73534,0.103797,543,309034,17827,0,0,0,0,0,0,0,263,0
7,0,78.8811,226.633,111.608,2,0.008448,23.6446,5.93105,0.0986138,12,768,18501,0,0,0,0,0,0,0,263,0
8,0,0.342743,143.872,126.078,2,1.63864,16.2652,11.2483,0.0971741,350,196430,22943,0,7,0,0,0,0,0,263,0
9,0,118.631,68.0128,57.342,1,7.74363,17.864,5.53281,0.103802,2182,915586,17113,0,1,0,0,0,0,0,263,591
10,0,67.0997,246.779,134.842,2,0.008448,23.0029,4.16315,0.0905818,12,768,20729,0,0,0,0,0,0,0,263,0
11,0,232.429,46.2307,133.213,2,0.008448,13.6772,4.28061,0.0598875,12,768,23865,0,0,0,0,0,0,0,263,0
12,0,113.361,111.836,17.5717,1,2.53742,22.3597,9.05901,0.113187,534,304362,16640,0,0,0,0,0,0,0,263,0
13,0,63.2435,218.549,112.095,2,1.91704,22.9652,4.64814,0.0984345,408,229838,18384,0,0,0,0,0,0,0,263,0
14,0,72.2154,79.865,69.4506,1,4.50115,21.1134,6.84279,0.108191,1347,530316,17317,0,1,0,0,0,0,0,263,424
15,0,143.985,202.009,79.3147,1,0.47672,22.6914,7.80442,0.103242,1530,22870,17993,0,0,0,0,0,0,0,263,1465
16,0,60.3712,208.728,105.77,2,1.65784,24.1153,5.24592,0.103397,354,198734,18248,0,0,0,0,0,0,0,263,0
17,0,186.783,110.327,63.5013,1,3.65973,18.3191,7.49316,0.0982401,979,433970,18165,0,0,0,0,0,0,0,263,220
18,0,22.2629,95.8373,106.796,2,2.68622,18.9053,8.73765,0.101097,565,322218,19656,0,0,0,0,0,0,0,263,0
19,0,104.514,191.243,69.3386,1,4.87144,19.414,8.91997,0.110685,1398,575378,17728,0,0,0,0,0,0,0,263,397
20,0,49.8195,12.2605,135.508,2,2.77144,16.6553,3.60322,0.0767665,586,332366,22195,0,26,0,0,0,0,0,263,0
21,0,168.51,4.95508,127.687,2,0.008448,15.5653,7.82578,0.0779985,12,768,23443,0,0,0,0,0,0,0,263,0
22,0,199.142,178.877,91.6501,2,1.75203,20.8676,6.00515,0.095416,372,210076,18084,0,0,0,0,0,0,0,263,0
23,0,73.8338,82.2056,66.7034,1,1.56664,24.0327,7.23019,0.109432,335,187790,17243,0,0,0,0,0,0,0,263,0
24,0,67.0335,34.1387,107.777,2,3.08533,20.4588,4.19568,0.0924659,649,370090,18353,0,0,0,0,0,0,0,263,0
25,0,92.9887,3.93546,125.225,2,1.69144,19.5642,3.34157,0.0819908,361,202766,21824,0,1,0,0,0,0,0,263,0
26,0,86.1819,240.905,122.233,2,2.25123,21.588,4.80307,0.0954742,476,269980,20451,0,0,0,0,0,0,0,263,0
27,0,48.9636,241.969,139.511,2,1.95064,21.6396,3.54132,0.0904386,415,233870,20784,0,0,0,0,0,0,0,263,0
28,0,20.9459,57.5367,124.01,2,1.80963,19.4838,4.33896,0.0854412,384,216988,21951,0,0,0,0,0,0,0,263,0
29,0,40.1187,232.428,136.914,2,1.99384,21.315,3.80196,0.0903693,424,239054,20966,0,0,0,0,0,0,0,263,0
30,0,231.438,211.776,137.329,2,0.008448,10.8024,7.234,0.0601496,12,768,23741,0,0,0,0,0,0,0,263,0
31,0,113.874,135.701,15.4371,1,2.53742,19.8142,12.0108,0.114542,534,304362,17450,0,0,0,0,0,0,0,263,0
32,0,83.8339,175.238,64.9501,1,4.77147,20.1954,9.29974,0.114222,1268,566002,18016,0,0,0,0,0,0,0,263,274
33,0,158.488,95.4735,44.6462,1,1.64643,23.1029,8.21063,0.109867,350,197404,17096,0,0,0,0,0,0,0,263,0
34,0,224.757,100.035,102.834,2,1.69443,15.9834,6.44815,0.0804198,360,203164,19929,0,0,0,0,0,0,0,263,0
35,0,90.1404,206.131,88.3029,1,0.008448,23.7498,7.59226,0.104502,12,768,18237,0,0,0,0,0,0,0,263,0
36,0,11.9831,179.055,125.279,2,1.66264,22.0485,6.66668,0.101259,355,199310,21560,0,0,0,0,0,0,0,263,0
37,0,25.2956,241.566,153.39,2,3.05944,20.1767,2.96845,0.0873486,646,366926,21661,0,14,0,0,0,0,0,263,0
38,0,49.1196,202.475,108.445,2,1.75683,23.5643,5.60072,0.103073,373,210652,18726,0,0,0,0,0,0,0,263,0
39,0,73.8882,138.18,52.7837,1,1.63234,20.34,12.6118,0.115281,348,195690,18145,0,0,0,0,0,0,0,263,0
40,0,197.454,161.52,81.1379,1,0.008448,20.2727,9.46223,0.0991445,12,768,18589,0,0,0,0,0,0,0,263,0
41,0,118.165,213.886,89.1485,1,2.86264,21.4806,6.82467,0.103893,605,343310,17797,0,4,0,0,0,0,0,263,0
42,0,131.735,81.7919,43.7298,1,1.66083,23.4205,8.02876,0.110367,353,199132,16980,0,0,0,0,0,0,0,263,0
43,0,188.16,247.449,137.779,2,2.16963,12.9951,5.36611,0.0684362,459,260188,22390,0,0,0,0,0,0,0,263,0
44,0,150.803,193.153,72.8737,1,0.89944,21.5566,8.86689,0.10441,196,107726,17889,0,1,0,0,0,0,0,263,0
45,0,220.187,52.7098,119.526,2,0.008448,13.8259,6.39971,0.067447,12,768,23792,0,0,0,0,0,0,0,263,0
