dataset,protocol,nodes,traffic_or_rate,seed,metric,reference_value,rerun_value,absolute_difference,relative_difference_percent,tolerance,status
V3-CaseA,aodv,10,medium,20,PacketsSent,5270,5270,0,0,exact (0),PASS
V3-CaseA,aodv,10,medium,20,PacketsReceived,4987,4987,0,0,exact (0),PASS
V3-CaseA,aodv,10,medium,20,PacketLoss,283,283,0,0,exact (0),PASS
V3-CaseA,aodv,10,medium,20,RoutingOverheadPackets,3125,3125,0,0,exact (0),PASS
V3-CaseA,aodv,10,medium,20,PathChanges,107,107,0,0,exact (0),PASS
V3-CaseA,aodv,10,medium,20,UnreachableSensors,0,0,0,0,exact (0),PASS
V3-CaseA,aodv,10,medium,20,PDR,94.63,94.63,0,0,0.01% relative,PASS
V3-CaseA,aodv,10,medium,20,ThroughputKbps,79.792,79.792,0,0,0.01% relative,PASS
V3-CaseA,aodv,10,medium,20,AverageDelaySec,0.103189,0.103189,0,0,0.01% relative,PASS
V3-CaseA,aodv,10,medium,20,AverageJitterSec,0.0649169,0.0649169,0,0,0.01% relative,PASS
V3-CaseA,aodv,10,medium,20,AverageHopCount,1.6521,1.6521,0,0,0.01% relative,PASS
V3-CaseA,aodv,10,medium,20,AverageLinkUtilization,0.0071536,0.0071536,0,0,0.01% relative,PASS
V3-CaseA,aodv,10,medium,20,MaximumLinkUtilization,0.0489806,0.0489806,0,0,0.01% relative,PASS
V3-CaseA,aodv,10,medium,25,PacketsSent,5270,5270,0,0,exact (0),PASS
V3-CaseA,aodv,10,medium,25,PacketsReceived,4010,4010,0,0,exact (0),PASS
V3-CaseA,aodv,10,medium,25,PacketLoss,1260,1260,0,0,exact (0),PASS
V3-CaseA,aodv,10,medium,25,RoutingOverheadPackets,314,314,0,0,exact (0),PASS
V3-CaseA,aodv,10,medium,25,PathChanges,21,21,0,0,exact (0),PASS
V3-CaseA,aodv,10,medium,25,UnreachableSensors,0,0,0,0,exact (0),PASS
V3-CaseA,aodv,10,medium,25,PDR,76.0911,76.0911,0,0,0.01% relative,PASS
V3-CaseA,aodv,10,medium,25,ThroughputKbps,64.16,64.16,0,0,0.01% relative,PASS
V3-CaseA,aodv,10,medium,25,AverageDelaySec,0.0337346,0.0337346,0,0,0.01% relative,PASS
V3-CaseA,aodv,10,medium,25,AverageJitterSec,0.0137334,0.0137334,0,0,0.01% relative,PASS
V3-CaseA,aodv,10,medium,25,AverageHopCount,1.43167,1.43167,0,0,0.01% relative,PASS
V3-CaseA,aodv,10,medium,25,AverageLinkUtilization,0.00451158,0.00451158,0,0,0.01% relative,PASS
V3-CaseA,aodv,10,medium,25,MaximumLinkUtilization,0.0330819,0.0330819,0,0,0.01% relative,PASS
V3-CaseA,aodv,10,medium,30,PacketsSent,5270,5270,0,0,exact (0),PASS
V3-CaseA,aodv,10,medium,30,PacketsReceived,5150,5150,0,0,exact (0),PASS
V3-CaseA,aodv,10,medium,30,PacketLoss,120,120,0,0,exact (0),PASS
V3-CaseA,aodv,10,medium,30,RoutingOverheadPackets,1178,1178,0,0,exact (0),PASS
V3-CaseA,aodv,10,medium,30,PathChanges,48,48,0,0,exact (0),PASS
V3-CaseA,aodv,10,medium,30,UnreachableSensors,0,0,0,0,exact (0),PASS
V3-CaseA,aodv,10,medium,30,PDR,97.723,97.723,0,0,0.01% relative,PASS
V3-CaseA,aodv,10,medium,30,ThroughputKbps,82.4,82.4,0,0,0.01% relative,PASS
V3-CaseA,aodv,10,medium,30,AverageDelaySec,0.055481,0.055481,0,0,0.01% relative,PASS
V3-CaseA,aodv,10,medium,30,AverageJitterSec,0.0314152,0.0314152,0,0,0.01% relative,PASS
V3-CaseA,aodv,10,medium,30,AverageHopCount,1.63165,1.63165,0,0,0.01% relative,PASS
V3-CaseA,aodv,10,medium,30,AverageLinkUtilization,0.00762687,0.00762687,0,0,0.01% relative,PASS
V3-CaseA,aodv,10,medium,30,MaximumLinkUtilization,0.0433121,0.0433121,0,0,0.01% relative,PASS
V3-CaseA,aodv,50,medium,20,PacketsSent,26350,26350,0,0,exact (0),PASS
V3-CaseA,aodv,50,medium,20,PacketsReceived,5102,5102,0,0,exact (0),PASS
V3-CaseA,aodv,50,medium,20,PacketLoss,21248,21248,0,0,exact (0),PASS
V3-CaseA,aodv,50,medium,20,RoutingOverheadPackets,232689,232689,0,0,exact (0),PASS
V3-CaseA,aodv,50,medium,20,PathChanges,1843,1843,0,0,exact (0),PASS
V3-CaseA,aodv,50,medium,20,UnreachableSensors,0,0,0,0,exact (0),PASS
V3-CaseA,aodv,50,medium,20,PDR,19.3624,19.3624,0,0,0.01% relative,PASS
V3-CaseA,aodv,50,medium,20,ThroughputKbps,81.632,81.632,0,0,0.01% relative,PASS
V3-CaseA,aodv,50,medium,20,AverageDelaySec,0.294003,0.294003,0,0,0.01% relative,PASS
V3-CaseA,aodv,50,medium,20,AverageJitterSec,0.204756,0.204756,0,0,0.01% relative,PASS
V3-CaseA,aodv,50,medium,20,AverageHopCount,1.5835,1.5835,0,0,0.01% relative,PASS
V3-CaseA,aodv,50,medium,20,AverageLinkUtilization,0.00130668,0.00130668,0,0,0.01% relative,PASS
V3-CaseA,aodv,50,medium,20,MaximumLinkUtilization,0.0173198,0.0173198,0,0,0.01% relative,PASS
V3-CaseA,aodv,50,medium,25,PacketsSent,26350,26350,0,0,exact (0),PASS
V3-CaseA,aodv,50,medium,25,PacketsReceived,6739,6739,0,0,exact (0),PASS
V3-CaseA,aodv,50,medium,25,PacketLoss,19611,19611,0,0,exact (0),PASS
V3-CaseA,aodv,50,medium,25,RoutingOverheadPackets,192251,192251,0,0,exact (0),PASS
V3-CaseA,aodv,50,medium,25,PathChanges,1536,1536,0,0,exact (0),PASS
V3-CaseA,aodv,50,medium,25,UnreachableSensors,0,0,0,0,exact (0),PASS
V3-CaseA,aodv,50,medium,25,PDR,25.575,25.575,0,0,0.01% relative,PASS
V3-CaseA,aodv,50,medium,25,ThroughputKbps,107.824,107.824,0,0,0.01% relative,PASS
V3-CaseA,aodv,50,medium,25,AverageDelaySec,0.23767,0.23767,0,0,0.01% relative,PASS
V3-CaseA,aodv,50,medium,25,AverageJitterSec,0.166755,0.166755,0,0,0.01% relative,PASS
V3-CaseA,aodv,50,medium,25,AverageHopCount,1.32349,1.32349,0,0,0.01% relative,PASS
V3-CaseA,aodv,50,medium,25,AverageLinkUtilization,0.00100897,0.00100897,0,0,0.01% relative,PASS
V3-CaseA,aodv,50,medium,25,MaximumLinkUtilization,0.022378,0.022378,0,0,0.01% relative,PASS
V3-CaseA,aodv,50,medium,30,PacketsSent,26350,26350,0,0,exact (0),PASS
V3-CaseA,aodv,50,medium,30,PacketsReceived,5566,5566,0,0,exact (0),PASS
V3-CaseA,aodv,50,medium,30,PacketLoss,20784,20784,0,0,exact (0),PASS
V3-CaseA,aodv,50,medium,30,RoutingOverheadPackets,238325,238325,0,0,exact (0),PASS
V3-CaseA,aodv,50,medium,30,PathChanges,1808,1808,0,0,exact (0),PASS
V3-CaseA,aodv,50,medium,30,UnreachableSensors,0,0,0,0,exact (0),PASS
V3-CaseA,aodv,50,medium,30,PDR,21.1233,21.1233,0,0,0.01% relative,PASS
V3-CaseA,aodv,50,medium,30,ThroughputKbps,89.056,89.056,0,0,0.01% relative,PASS
