case,protocol,nodes,traffic_or_rate,seed,binary,output_dir,output_file,status
A,aodv,10,medium,20,ns3-dev-iot-network-v3-ext-default,analysis/final-reproducibility-check/data,aodv_10_medium_static.csv,OK
A,aodv,10,medium,25,ns3-dev-iot-network-v3-ext-default,analysis/final-reproducibility-check/data,aodv_10_medium_static.csv,OK
A,aodv,10,medium,30,ns3-dev-iot-network-v3-ext-default,analysis/final-reproducibility-check/data,aodv_10_medium_static.csv,OK
A,aodv,50,medium,20,ns3-dev-iot-network-v3-ext-default,analysis/final-reproducibility-check/data,aodv_50_medium_static.csv,OK
A,aodv,50,medium,25,ns3-dev-iot-network-v3-ext-default,analysis/final-reproducibility-check/data,aodv_50_medium_static.csv,OK
A,aodv,50,medium,30,ns3-dev-iot-network-v3-ext-default,analysis/final-reproducibility-check/data,aodv_50_medium_static.csv,OK
A,aodv,100,medium,20,ns3-dev-iot-network-v3-ext-default,analysis/final-reproducibility-check/data,aodv_100_medium_static.csv,OK
A,aodv,100,medium,25,ns3-dev-iot-network-v3-ext-default,analysis/final-reproducibility-check/data,aodv_100_medium_static.csv,OK
A,aodv,100,medium,30,ns3-dev-iot-network-v3-ext-default,analysis/final-reproducibility-check/data,aodv_100_medium_static.csv,OK
A,olsr,10,medium,20,ns3-dev-iot-network-v3-ext-default,analysis/final-reproducibility-check/data,olsr_10_medium_static.csv,OK
A,olsr,10,medium,25,ns3-dev-iot-network-v3-ext-default,analysis/final-reproducibility-check/data,olsr_10_medium_static.csv,OK
A,olsr,10,medium,30,ns3-dev-iot-network-v3-ext-default,analysis/final-reproducibility-check/data,olsr_10_medium_static.csv,OK
A,olsr,50,medium,20,ns3-dev-iot-network-v3-ext-default,analysis/final-reproducibility-check/data,olsr_50_medium_static.csv,OK
A,olsr,50,medium,25,ns3-dev-iot-network-v3-ext-default,analysis/final-reproducibility-check/data,olsr_50_medium_static.csv,OK
A,olsr,50,medium,30,ns3-dev-iot-network-v3-ext-default,analysis/final-reproducibility-check/data,olsr_50_medium_static.csv,OK
A,olsr,100,medium,20,ns3-dev-iot-network-v3-ext-default,analysis/final-reproducibility-check/data,olsr_100_medium_static.csv,OK
A,olsr,100,medium,25,ns3-dev-iot-network-v3-ext-default,analysis/final-reproducibility-check/data,olsr_100_medium_static.csv,OK
A,olsr,100,medium,30,ns3-dev-iot-network-v3-ext-default,analysis/final-reproducibility-check/data,olsr_100_medium_static.csv,OK
A,static,10,medium,20,ns3-dev-iot-network-v3-ext-default,analysis/final-reproducibility-check/data,static_10_medium_static.csv,OK
A,static,10,medium,25,ns3-dev-iot-network-v3-ext-default,analysis/final-reproducibility-check/data,static_10_medium_static.csv,OK
A,static,10,medium,30,ns3-dev-iot-network-v3-ext-default,analysis/final-reproducibility-check/data,static_10_medium_static.csv,OK
A,static,50,medium,20,ns3-dev-iot-network-v3-ext-default,analysis/final-reproducibility-check/data,static_50_medium_static.csv,OK
A,static,50,medium,25,ns3-dev-iot-network-v3-ext-default,analysis/final-reproducibility-check/data,static_50_medium_static.csv,OK
A,static,50,medium,30,ns3-dev-iot-network-v3-ext-default,analysis/final-reproducibility-check/data,static_50_medium_static.csv,OK
A,static,100,medium,20,ns3-dev-iot-network-v3-ext-default,analysis/final-reproducibility-check/data,static_100_medium_static.csv,OK
A,static,100,medium,25,ns3-dev-iot-network-v3-ext-default,analysis/final-reproducibility-check/data,static_100_medium_static.csv,OK
A,static,100,medium,30,ns3-dev-iot-network-v3-ext-default,analysis/final-reproducibility-check/data,static_100_medium_static.csv,OK
B,olsr,75,high,20,ns3-dev-iot-network-bottleneck-probe-default,analysis/final-reproducibility-check/data-caseB,probe_aggregate.csv,OK
B,olsr,75,high,25,ns3-dev-iot-network-bottleneck-probe-default,analysis/final-reproducibility-check/data-caseB,probe_aggregate.csv,OK
B,olsr,75,high,30,ns3-dev-iot-network-bottleneck-probe-default,analysis/final-reproducibility-check/data-caseB,probe_aggregate.csv,OK
B,olsr,100,high,20,ns3-dev-iot-network-bottleneck-probe-default,analysis/final-reproducibility-check/data-caseB,probe_aggregate.csv,OK
B,olsr,100,high,25,ns3-dev-iot-network-bottleneck-probe-default,analysis/final-reproducibility-check/data-caseB,probe_aggregate.csv,OK
