Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors,SigmoidKRisk,SigmoidX0Risk,SigmoidKLoad,SigmoidX0Load,WeightRisk,WeightLoad
1788835994,v4,v4,50,medium,8kbps,static,0,20,300,26350,9982,16368,37.8824,159.712,0.125701,0.0490664,0,1.62,exact,0,0.00776535,0.0701491,0,10,0.5,10,0.02,0.5,0.5
1788836018,v4,v4,50,medium,8kbps,static,0,21,300,26350,7349,19001,27.8899,117.584,0.10584,0.0469892,0,1.44,exact,0,0.00692574,0.027817,0,10,0.5,10,0.02,0.5,0.5
1788836048,v4,v4,50,medium,8kbps,static,0,22,300,26350,9720,16630,36.888,155.52,0.0941016,0.0351761,0,1.66,exact,0,0.00802019,0.0499661,0,10,0.5,10,0.02,0.5,0.5
1788836070,v4,v4,50,medium,8kbps,static,0,23,300,26350,9529,16821,36.1632,152.464,0.0996481,0.0387691,0,1.62,exact,0,0.00867884,0.0682906,0,10,0.5,10,0.02,0.5,0.5
1788836095,v4,v4,50,medium,8kbps,static,0,24,300,26350,11353,14997,43.0854,181.648,0.105717,0.043606,0,1.54,exact,0,0.0088595,0.053929,0,10,0.5,10,0.02,0.5,0.5
1788836117,v4,v4,50,medium,8kbps,static,0,25,300,26350,8608,17742,32.6679,137.728,0.0675264,0.029724,0,1.5,exact,0,0.00683954,0.0404122,0,10,0.5,10,0.02,0.5,0.5
1788836140,v4,v4,50,medium,8kbps,static,0,26,300,26350,9318,17032,35.3624,149.088,0.0903389,0.0361502,0,1.52,exact,0,0.00676777,0.0534835,0,10,0.5,10,0.02,0.5,0.5
1788836162,v4,v4,50,medium,8kbps,static,0,27,300,26350,7701,18649,29.2258,123.216,0.112838,0.0445374,0,1.62,exact,0,0.00818035,0.0641741,0,10,0.5,10,0.02,0.5,0.5
1788836190,v4,v4,50,medium,8kbps,static,0,28,300,26350,9432,16918,35.7951,150.912,0.122686,0.046816,0,1.6,exact,0,0.0090716,0.0687206,0,10,0.5,10,0.02,0.5,0.5
1788836218,v4,v4,50,medium,8kbps,static,0,29,300,26350,8968,17382,34.0342,143.488,0.0976431,0.0377251,0,1.6,exact,0,0.00795145,0.05376,0,10,0.5,10,0.02,0.5,0.5
1788836243,v4,v4,50,medium,8kbps,static,0,30,300,26350,9353,16997,35.4953,149.648,0.0902279,0.0391254,0,1.64,exact,0,0.00752713,0.0507955,0,10,0.5,10,0.02,0.5,0.5
1788836270,v4,v4,50,medium,8kbps,static,0,20,300,26350,11057,15293,41.962,176.912,0.109046,0.0464222,0,1.62,exact,0,0.00847469,0.0834048,0,10,0.8,10,0.02,0.5,0.5
1788836292,v4,v4,50,medium,8kbps,static,0,21,300,26350,6575,19775,24.9526,105.2,0.067084,0.0328567,0,1.44,exact,0,0.00621646,0.0342989,0,10,0.8,10,0.02,0.5,0.5
1788836322,v4,v4,50,medium,8kbps,static,0,22,300,26350,9433,16917,35.7989,150.928,0.089542,0.0358399,0,1.66,exact,0,0.00812079,0.0585062,0,10,0.8,10,0.02,0.5,0.5
1788836349,v4,v4,50,medium,8kbps,static,0,23,300,26350,10063,16287,38.1898,161.008,0.111904,0.0453416,0,1.66,exact,0,0.00836277,0.0527309,0,10,0.8,10,0.02,0.5,0.5
1788836374,v4,v4,50,medium,8kbps,static,0,24,300,26350,10966,15384,41.6167,175.456,0.106855,0.048759,0,1.58,exact,0,0.00886802,0.0625613,0,10,0.8,10,0.02,0.5,0.5
1788836395,v4,v4,50,medium,8kbps,static,0,25,300,26350,8608,17742,32.6679,137.728,0.0675264,0.029724,0,1.5,exact,0,0.00683954,0.0404122,0,10,0.8,10,0.02,0.5,0.5
1788836418,v4,v4,50,medium,8kbps,static,0,26,300,26350,7413,18937,28.1328,118.608,0.0974243,0.0364311,0,1.52,exact,0,0.00705958,0.0388762,0,10,0.8,10,0.02,0.5,0.5
1788836442,v4,v4,50,medium,8kbps,static,0,27,300,26350,9043,17307,34.3188,144.688,0.124469,0.0469646,0,1.66,exact,0,0.00856695,0.0534835,0,10,0.8,10,0.02,0.5,0.5
1788836473,v4,v4,50,medium,8kbps,static,0,28,300,26350,8669,17681,32.8994,138.704,0.122131,0.0479848,0,1.6,exact,0,0.00977906,0.0760934,0,10,0.8,10,0.02,0.5,0.5
1788836496,v4,v4,50,medium,8kbps,static,0,29,300,26350,8804,17546,33.4118,140.864,0.0853531,0.0300278,0,1.6,exact,0,0.00779686,0.0548966,0,10,0.8,10,0.02,0.5,0.5
