Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors
1788695068,v3,aodv,100,high,16kbps,low,1,20,300,105400,1610,103790,1.52751,25.76,0.372795,0.172704,425773,1.10311,approx_timesForwarded,3204,0.000190729,0.00911141,0
1788695388,v3,aodv,100,high,16kbps,low,1,21,300,105400,2828,102572,2.68311,45.248,0.380654,0.182125,425912,1.0732,approx_timesForwarded,3177,0.000209187,0.0122308,0
1788695701,v3,aodv,100,high,16kbps,low,1,22,300,105400,4039,101361,3.83207,64.624,0.352916,0.18601,425576,1.08765,approx_timesForwarded,3213,0.000219113,0.0171651,0
1788696016,v3,aodv,100,high,16kbps,low,1,23,300,105400,2457,102943,2.33112,39.312,0.362026,0.180769,421400,1.09727,approx_timesForwarded,3452,0.000173155,0.0132708,0
1788696338,v3,aodv,100,high,16kbps,low,1,24,300,105400,3152,102248,2.99051,50.432,0.358072,0.166884,486635,1.07963,approx_timesForwarded,3445,0.000224973,0.0096144,0
1788696658,v3,aodv,100,high,16kbps,low,1,25,300,105400,2049,103351,1.94402,32.784,0.356389,0.175149,428934,1.09614,approx_timesForwarded,3129,0.000173788,0.0115943,0
1788696975,v3,aodv,100,high,16kbps,low,1,26,300,105400,4279,101121,4.05977,68.464,0.323317,0.151901,438829,1.0839,approx_timesForwarded,3335,0.000215335,0.0145347,0
1788697300,v3,aodv,100,high,16kbps,low,1,27,300,105400,1952,103448,1.85199,31.232,0.358563,0.172693,429559,1.09939,approx_timesForwarded,3346,0.000189914,0.0148748,0
1788697597,v3,aodv,100,high,16kbps,low,1,28,300,105400,6215,99185,5.89658,99.44,0.347111,0.162353,413576,1.04972,approx_timesForwarded,3110,0.000221933,0.0165114,0
1788697907,v3,aodv,100,high,16kbps,low,1,29,300,105400,3058,102342,2.90133,48.928,0.402637,0.160898,433666,1.07652,approx_timesForwarded,3252,0.000193846,0.0174315,0
1788698234,v3,aodv,100,high,16kbps,low,1,30,300,105400,1763,103637,1.67268,28.208,0.400418,0.200182,474033,1.08508,approx_timesForwarded,3510,0.000207964,0.00971371,0
