Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors
1788419900,v3,aodv,10,high,16kbps,static,0,20,300,10540,9874,666,93.6812,157.984,0.160833,0.0627222,4564,1.72949,approx_timesForwarded,133,0.0131939,0.0904146,0
1788419903,v3,aodv,10,high,16kbps,static,0,21,300,10540,7078,3462,67.1537,113.248,0.0490247,0.0298033,1546,1.26787,approx_timesForwarded,44,0.00793111,0.0634444,0
1788419905,v3,aodv,10,high,16kbps,static,0,22,300,10540,5504,5036,52.2201,88.064,0.0333599,0.00987829,38,1.6915,approx_timesForwarded,0,0.0147938,0.0827847,0
1788419907,v3,aodv,10,high,16kbps,static,0,23,300,10540,8642,1898,81.9924,138.272,0.0367528,0.0194552,179,1.24855,approx_timesForwarded,14,0.0100904,0.0719025,0
1788419909,v3,aodv,10,high,16kbps,static,0,24,300,10540,7341,3199,69.649,117.456,0.0345146,0.0164919,372,1.21251,approx_timesForwarded,24,0.0079249,0.0459457,0
1788419912,v3,aodv,10,high,16kbps,static,0,25,300,10540,8038,2502,76.2619,128.608,0.0331613,0.0136894,503,1.35208,approx_timesForwarded,21,0.00721048,0.068966,0
1788419915,v3,aodv,10,high,16kbps,static,0,26,300,10540,5513,5027,52.3055,88.208,0.0551551,0.0268353,1214,1.33249,approx_timesForwarded,36,0.00854756,0.0849235,0
1788419918,v3,aodv,10,high,16kbps,static,0,27,300,10540,8339,2201,79.1176,133.424,0.0745939,0.0498178,2072,1.52584,approx_timesForwarded,53,0.0087629,0.057051,0
1788419921,v3,aodv,10,high,16kbps,static,0,28,300,10540,5910,4630,56.0721,94.56,0.0437672,0.0285049,2031,1.20694,approx_timesForwarded,64,0.00819683,0.084256,0
1788419924,v3,aodv,10,high,16kbps,static,0,29,300,10540,9035,1505,85.7211,144.56,0.0611967,0.0359391,1492,1.72097,approx_timesForwarded,67,0.0160591,0.0861983,0
1788419927,v3,aodv,10,high,16kbps,static,0,30,300,10540,10347,193,98.1689,165.552,0.0707994,0.031085,1637,1.66454,approx_timesForwarded,61,0.013099,0.0760492,0
