Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors
1788419688,v3,aodv,10,low,4kbps,static,0,20,300,2630,2196,434,83.4981,35.136,0.0900639,0.0560462,928,1.59836,approx_timesForwarded,58,0.00360143,0.0287739,0
1788419689,v3,aodv,10,low,4kbps,static,0,21,300,2630,1896,734,72.0913,30.336,0.0445265,0.0231949,106,1.25158,approx_timesForwarded,9,0.00245098,0.0218847,0
1788419690,v3,aodv,10,low,4kbps,static,0,22,300,2630,1462,1168,55.5894,23.392,0.0484668,0.0281672,153,1.64979,approx_timesForwarded,11,0.0029012,0.0183153,0
1788419691,v3,aodv,10,low,4kbps,static,0,23,300,2630,1762,868,66.9962,28.192,0.0291339,0.0143608,28,1.19012,approx_timesForwarded,1,0.00312384,0.0132272,0
1788419692,v3,aodv,10,low,4kbps,static,0,24,300,2630,1826,804,69.4297,29.216,0.0340378,0.0156969,49,1.17963,approx_timesForwarded,10,0.00276331,0.014377,0
1788419692,v3,aodv,10,low,4kbps,static,0,25,300,2630,1288,1342,48.9734,20.608,0.0239736,0.00755632,25,1.26242,approx_timesForwarded,1,0.00268631,0.0150323,0
1788419693,v3,aodv,10,low,4kbps,static,0,26,300,2630,1475,1155,56.0837,23.6,0.0449546,0.0197311,29,1.24136,approx_timesForwarded,11,0.0046074,0.0235263,0
1788419694,v3,aodv,10,low,4kbps,static,0,27,300,2630,2211,419,84.0684,35.376,0.0841684,0.0655351,731,1.50113,approx_timesForwarded,52,0.00361569,0.0159747,0
1788419695,v3,aodv,10,low,4kbps,static,0,28,300,2630,1217,1413,46.2738,19.472,0.0394825,0.0213558,84,1.11011,approx_timesForwarded,19,0.00208495,0.02272,0
1788419696,v3,aodv,10,low,4kbps,static,0,29,300,2630,1790,840,68.0608,28.64,0.0453175,0.0195531,147,1.54078,approx_timesForwarded,12,0.003368,0.0181431,0
1788419697,v3,aodv,10,low,4kbps,static,0,30,300,2630,2090,540,79.4677,33.44,0.058735,0.0323046,619,1.52727,approx_timesForwarded,34,0.00414537,0.0149302,0
