Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors
1788419851,v3,aodv,10,medium,8kbps,medium,5,20,300,5270,5059,211,95.9962,80.944,0.0507142,0.030754,901,1.15042,approx_timesForwarded,87,0.00268299,0.0254378,0
1788419853,v3,aodv,10,medium,8kbps,medium,5,21,300,5270,3977,1293,75.4649,63.632,0.0533558,0.0305634,754,1.16143,approx_timesForwarded,91,0.00199199,0.0284163,0
1788419855,v3,aodv,10,medium,8kbps,medium,5,22,300,5270,4526,744,85.8824,72.416,0.0594141,0.038583,893,1.17786,approx_timesForwarded,89,0.00238371,0.0255949,0
1788419857,v3,aodv,10,medium,8kbps,medium,5,23,300,5270,4098,1172,77.7609,65.568,0.0494368,0.0296045,512,1.12567,approx_timesForwarded,74,0.00216039,0.0263435,0
1788419858,v3,aodv,10,medium,8kbps,medium,5,24,300,5270,3999,1271,75.8824,63.984,0.0758316,0.0443615,1249,1.21005,approx_timesForwarded,95,0.00208805,0.0254373,0
1788419860,v3,aodv,10,medium,8kbps,medium,5,25,300,5270,4473,797,84.8767,71.568,0.0494162,0.0316413,874,1.12542,approx_timesForwarded,78,0.00226299,0.0275561,0
1788419862,v3,aodv,10,medium,8kbps,medium,5,26,300,5270,3926,1344,74.4972,62.816,0.0558555,0.0337063,870,1.15181,approx_timesForwarded,91,0.0022788,0.0296567,0
1788419863,v3,aodv,10,medium,8kbps,medium,5,27,300,5270,3218,2052,61.0626,51.488,0.0415242,0.0249475,592,1.12648,approx_timesForwarded,66,0.00161513,0.0240541,0
1788419865,v3,aodv,10,medium,8kbps,medium,5,28,300,5270,5047,223,95.7685,80.752,0.062602,0.0357617,1144,1.16941,approx_timesForwarded,107,0.0025234,0.0266206,0
1788419867,v3,aodv,10,medium,8kbps,medium,5,29,300,5270,4679,591,88.7856,74.864,0.0451858,0.0263818,683,1.1152,approx_timesForwarded,76,0.00234139,0.0239845,0
1788419869,v3,aodv,10,medium,8kbps,medium,5,30,300,5270,4178,1092,79.2789,66.848,0.0512537,0.0322332,667,1.1247,approx_timesForwarded,85,0.0021437,0.0275605,0
