Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors
1788421638,v3,aodv,20,high,16kbps,medium,5,20,300,21080,10333,10747,49.018,165.328,0.0569009,0.0319995,8073,1.11149,approx_timesForwarded,185,0.00153656,0.0489583,0
1788421649,v3,aodv,20,high,16kbps,medium,5,21,300,21080,10132,10948,48.0645,162.112,0.0700495,0.0401913,12285,1.15644,approx_timesForwarded,221,0.00165128,0.0526935,0
1788421661,v3,aodv,20,high,16kbps,medium,5,22,300,21080,12135,8945,57.5664,194.16,0.089204,0.0492009,14542,1.22522,approx_timesForwarded,226,0.00180743,0.0445173,0
1788421681,v3,aodv,20,high,16kbps,medium,5,23,300,21080,13666,7414,64.8292,218.656,0.12772,0.0833011,33095,1.35021,approx_timesForwarded,322,0.00216756,0.0453747,0
1788421694,v3,aodv,20,high,16kbps,medium,5,24,300,21080,11823,9257,56.0863,189.168,0.0934157,0.0459937,15880,1.1525,approx_timesForwarded,199,0.00181212,0.049751,0
1788421711,v3,aodv,20,high,16kbps,medium,5,25,300,21080,13827,7253,65.593,221.232,0.0894149,0.0545421,23971,1.22507,approx_timesForwarded,288,0.00216789,0.0509881,0
1788421722,v3,aodv,20,high,16kbps,medium,5,26,300,21080,11209,9871,53.1736,179.344,0.0693819,0.0390924,11668,1.15309,approx_timesForwarded,183,0.00170674,0.0542149,0
1788421739,v3,aodv,20,high,16kbps,medium,5,27,300,21080,13903,7177,65.9535,222.448,0.116218,0.0698086,24862,1.29986,approx_timesForwarded,266,0.00209436,0.0485348,0
1788421754,v3,aodv,20,high,16kbps,medium,5,28,300,21080,13381,7699,63.4772,214.096,0.0855617,0.0525209,18906,1.17495,approx_timesForwarded,238,0.00201551,0.047017,0
1788421768,v3,aodv,20,high,16kbps,medium,5,29,300,21080,12556,8524,59.5636,200.896,0.0914541,0.052864,18257,1.17633,approx_timesForwarded,219,0.00179484,0.0445177,0
1788421780,v3,aodv,20,high,16kbps,medium,5,30,300,21080,10918,10162,51.7932,174.688,0.07256,0.0416995,14127,1.17357,approx_timesForwarded,192,0.00172586,0.0470973,0
