Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors
1788420606,v3,aodv,20,medium,8kbps,low,1,20,300,10540,7570,2970,71.8216,121.12,0.0885198,0.0533061,11540,1.21902,approx_timesForwarded,134,0.00114197,0.0264149,0
1788420612,v3,aodv,20,medium,8kbps,low,1,21,300,10540,6005,4535,56.9734,96.08,0.0658044,0.0346509,6762,1.14771,approx_timesForwarded,121,0.000954395,0.0308934,0
1788420623,v3,aodv,20,medium,8kbps,low,1,22,300,10540,8805,1735,83.5389,140.88,0.0998514,0.0567843,13321,1.24202,approx_timesForwarded,198,0.00141371,0.0323709,0
1788420635,v3,aodv,20,medium,8kbps,low,1,23,300,10540,7903,2637,74.981,126.448,0.0968707,0.0612305,16178,1.2432,approx_timesForwarded,215,0.00130682,0.0312088,0
1788420643,v3,aodv,20,medium,8kbps,low,1,24,300,10540,7021,3519,66.6129,112.336,0.0897486,0.0538875,11756,1.23757,approx_timesForwarded,210,0.0013077,0.0336912,0
1788420651,v3,aodv,20,medium,8kbps,low,1,25,300,10540,7278,3262,69.0512,116.448,0.0725107,0.0434385,8336,1.14455,approx_timesForwarded,100,0.00102351,0.0290896,0
1788420657,v3,aodv,20,medium,8kbps,low,1,26,300,10540,6902,3638,65.4839,110.432,0.0679537,0.0361112,2486,1.09418,approx_timesForwarded,63,0.00121203,0.0309537,0
1788420662,v3,aodv,20,medium,8kbps,low,1,27,300,10540,6173,4367,58.5674,98.768,0.0628336,0.035263,3717,1.1019,approx_timesForwarded,100,0.00104875,0.0297046,0
1788420668,v3,aodv,20,medium,8kbps,low,1,28,300,10540,5316,5224,50.4364,85.056,0.0646872,0.0381183,6052,1.14767,approx_timesForwarded,114,0.00110814,0.0279531,0
1788420677,v3,aodv,20,medium,8kbps,low,1,29,300,10540,7431,3109,70.5028,118.896,0.083067,0.04914,9396,1.16579,approx_timesForwarded,155,0.0011223,0.0311815,0
1788420685,v3,aodv,20,medium,8kbps,low,1,30,300,10540,8464,2076,80.3036,135.424,0.0883452,0.0508701,8858,1.21042,approx_timesForwarded,170,0.00136509,0.0302938,0
