Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors
1788553694,v3,aodv,75,low,4kbps,low,1,20,300,19725,3845,15880,19.493,61.52,0.287184,0.227098,213138,1.17919,approx_timesForwarded,1842,0.00016556,0.0134425,0
1788553951,v3,aodv,75,low,4kbps,low,1,21,300,19725,3647,16078,18.4892,58.352,0.279117,0.216594,222187,1.1467,approx_timesForwarded,2129,0.000193386,0.0117975,0
1788554233,v3,aodv,75,low,4kbps,low,1,22,300,19725,3151,16574,15.9747,50.416,0.256321,0.203701,236281,1.17169,approx_timesForwarded,2084,0.000169521,0.0123468,0
1788554533,v3,aodv,75,low,4kbps,low,1,23,300,19725,4331,15394,21.9569,69.296,0.302314,0.254334,234971,1.18033,approx_timesForwarded,1739,0.00018067,0.0105044,0
1788554825,v3,aodv,75,low,4kbps,low,1,24,300,19725,2830,16895,14.3473,45.28,0.310326,0.255443,232920,1.22721,approx_timesForwarded,2058,0.000185009,0.0110918,0
1788555081,v3,aodv,75,low,4kbps,low,1,25,300,19725,4033,15692,20.4461,64.528,0.263462,0.205709,194029,1.16539,approx_timesForwarded,1630,0.000164197,0.0124075,0
1788555353,v3,aodv,75,low,4kbps,low,1,26,300,19725,4260,15465,21.597,68.16,0.258103,0.213253,212765,1.15986,approx_timesForwarded,1733,0.000180869,0.0129346,0
1788555626,v3,aodv,75,low,4kbps,low,1,27,300,19725,2946,16779,14.9354,47.136,0.30168,0.238242,217252,1.22471,approx_timesForwarded,2038,0.000176603,0.0118269,0
1788555904,v3,aodv,75,low,4kbps,low,1,28,300,19725,3946,15779,20.0051,63.136,0.261125,0.211762,225541,1.13685,approx_timesForwarded,2042,0.000185579,0.0112457,0
1788556179,v3,aodv,75,low,4kbps,low,1,29,300,19725,4286,15439,21.7288,68.576,0.274841,0.219892,207275,1.17406,approx_timesForwarded,1861,0.000173796,0.0123963,0
1788556459,v3,aodv,75,low,4kbps,low,1,30,300,19725,4553,15172,23.0824,72.848,0.280937,0.225957,230655,1.16341,approx_timesForwarded,2030,0.000187648,0.0102767,0
