Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors
1788562642,v3,aodv,75,low,4kbps,medium,5,20,300,19725,2573,17152,13.0444,41.168,0.293128,0.231054,232776,1.21531,approx_timesForwarded,1985,0.000153905,0.00820939,0
1788562954,v3,aodv,75,low,4kbps,medium,5,21,300,19725,2481,17244,12.5779,39.696,0.292293,0.242521,230607,1.20355,approx_timesForwarded,2152,0.000161781,0.00867808,0
1788563292,v3,aodv,75,low,4kbps,medium,5,22,300,19725,2644,17081,13.4043,42.304,0.314767,0.259526,244014,1.22012,approx_timesForwarded,2283,0.000165328,0.00961856,0
1788563617,v3,aodv,75,low,4kbps,medium,5,23,300,19725,3246,16479,16.4563,51.936,0.286635,0.234298,236904,1.21627,approx_timesForwarded,2369,0.000177549,0.00877248,0
1788563943,v3,aodv,75,low,4kbps,medium,5,24,300,19725,2076,17649,10.5247,33.216,0.28465,0.235389,235483,1.17245,approx_timesForwarded,2446,0.000158444,0.0100896,0
1788564256,v3,aodv,75,low,4kbps,medium,5,25,300,19725,3394,16331,17.2066,54.304,0.28641,0.233759,215903,1.22245,approx_timesForwarded,1876,0.000168678,0.00986944,0
1788564582,v3,aodv,75,low,4kbps,medium,5,26,300,19725,3096,16629,15.6958,49.536,0.279457,0.225175,232816,1.2135,approx_timesForwarded,2206,0.000176447,0.0109105,0
1788564901,v3,aodv,75,low,4kbps,medium,5,27,300,19725,2576,17149,13.0596,41.216,0.27623,0.222466,218478,1.18245,approx_timesForwarded,2003,0.000155887,0.010054,0
1788565219,v3,aodv,75,low,4kbps,medium,5,28,300,19725,3396,16329,17.2167,54.336,0.29824,0.247231,237622,1.24735,approx_timesForwarded,2262,0.000172899,0.0108763,0
1788565534,v3,aodv,75,low,4kbps,medium,5,29,300,19725,3070,16655,15.564,49.12,0.311746,0.264687,245151,1.23974,approx_timesForwarded,2304,0.000174716,0.00909963,0
1788565861,v3,aodv,75,low,4kbps,medium,5,30,300,19725,3248,16477,16.4664,51.968,0.293229,0.248745,240573,1.19674,approx_timesForwarded,2279,0.000179194,0.0108585,0
