Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors
1787727655,v3,aodv,75,medium,8kbps,static,0,1,300,39525,2622,36903,6.63378,41.952,0.460274,0.277501,428715,1.39359,approx_timesForwarded,3138,0.000649367,0.0131098,0
1788571365,v3,aodv,75,medium,8kbps,static,0,20,300,39525,1526,37999,3.86085,24.416,0.416413,0.250712,441938,1.18545,approx_timesForwarded,3097,0.000816976,0.00994491,0
1788571634,v3,aodv,75,medium,8kbps,static,0,21,300,39525,2111,37414,5.34092,33.776,0.388676,0.232926,388853,1.18854,approx_timesForwarded,2844,0.000571807,0.0148042,0
1788571923,v3,aodv,75,medium,8kbps,static,0,22,300,39525,1953,37572,4.94118,31.248,0.413314,0.243301,444595,1.21352,approx_timesForwarded,3087,0.000798397,0.00971605,0
1788572221,v3,aodv,75,medium,8kbps,static,0,23,300,39525,1619,37906,4.09614,25.904,0.394309,0.248576,428777,1.25695,approx_timesForwarded,3086,0.000787347,0.0129321,0
1788572530,v3,aodv,75,medium,8kbps,static,0,24,300,39525,3087,36438,7.81025,49.392,0.41337,0.236959,434705,1.26498,approx_timesForwarded,3055,0.000711421,0.010079,0
1788572838,v3,aodv,75,medium,8kbps,static,0,25,300,39525,3229,36296,8.16951,51.664,0.370484,0.212408,402968,1.27346,approx_timesForwarded,2908,0.000687049,0.00895195,0
1788573153,v3,aodv,75,medium,8kbps,static,0,26,300,39525,1499,38026,3.79254,23.984,0.402709,0.224941,404996,1.31154,approx_timesForwarded,2996,0.000674878,0.00941184,0
1788573474,v3,aodv,75,medium,8kbps,static,0,27,300,39525,1809,37716,4.57685,28.944,0.434228,0.262312,415335,1.2576,approx_timesForwarded,3060,0.000806459,0.00984304,0
1788573780,v3,aodv,75,medium,8kbps,static,0,28,300,39525,2409,37116,6.09488,38.544,0.338264,0.212811,382791,1.22167,approx_timesForwarded,2926,0.000603429,0.0119618,0
1788574112,v3,aodv,75,medium,8kbps,static,0,29,300,39525,2270,37255,5.7432,36.32,0.483751,0.269814,431547,1.38238,approx_timesForwarded,3045,0.000737725,0.00795173,0
1788574451,v3,aodv,75,medium,8kbps,static,0,30,300,39525,2874,36651,7.27135,45.984,0.449362,0.250562,445066,1.37648,approx_timesForwarded,3107,0.000844648,0.0145343,0
