Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors
1788420083,v3,olsr,10,high,16kbps,medium,5,20,300,10508,9511,997,90.512,152.176,0.0498609,0.0284264,0,1.08201,approx_timesForwarded,59,0.00593947,0.0561101,0
1788420085,v3,olsr,10,high,16kbps,medium,5,21,300,10508,6757,3751,64.3034,108.112,0.038658,0.019806,0,1.11248,approx_timesForwarded,69,0.00456777,0.0540979,0
1788420088,v3,olsr,10,high,16kbps,medium,5,22,300,10457,8400,2057,80.329,134.4,0.0478178,0.0278015,0,1.11048,approx_timesForwarded,74,0.00581247,0.0539597,0
1788420090,v3,olsr,10,high,16kbps,medium,5,23,300,10540,6933,3607,65.778,110.928,0.0451721,0.0245848,0,1.0639,approx_timesForwarded,44,0.00471017,0.0484762,0
1788420093,v3,olsr,10,high,16kbps,medium,5,24,300,10485,7100,3385,67.7158,113.6,0.0420293,0.0229542,0,1.1031,approx_timesForwarded,73,0.00522663,0.0540518,0
1788420096,v3,olsr,10,high,16kbps,medium,5,25,300,10503,7761,2742,73.8932,124.176,0.0453901,0.0257599,0,1.06314,approx_timesForwarded,51,0.00533036,0.0577229,0
1788420098,v3,olsr,10,high,16kbps,medium,5,26,300,10458,7065,3393,67.5559,113.04,0.0449792,0.0248094,0,1.07558,approx_timesForwarded,59,0.00543682,0.0654182,0
1788420100,v3,olsr,10,high,16kbps,medium,5,27,300,10479,5724,4755,54.6235,91.584,0.034952,0.0184524,0,1.10552,approx_timesForwarded,52,0.00429868,0.0527616,0
1788420103,v3,olsr,10,high,16kbps,medium,5,28,300,10464,8029,2435,76.7297,128.464,0.0484852,0.0267023,0,1.09478,approx_timesForwarded,72,0.00489468,0.0547277,0
1788420106,v3,olsr,10,high,16kbps,medium,5,29,300,10507,8068,2439,76.7869,129.088,0.0453438,0.0251698,0,1.0823,approx_timesForwarded,46,0.00575502,0.0492442,0
1788420110,v3,olsr,10,high,16kbps,medium,5,30,300,10491,7774,2717,74.1016,124.384,0.0433227,0.0240879,0,1.07229,approx_timesForwarded,54,0.00534124,0.0560179,0
