Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors
1788419930,v3,olsr,10,high,16kbps,static,0,20,300,10532,5565,4967,52.839,89.04,0.0493548,0.0201502,0,1.36712,approx_timesForwarded,10,0.0140353,0.0633446,0
1788419932,v3,olsr,10,high,16kbps,static,0,21,300,10540,5551,4989,52.666,88.816,0.0352074,0.0173418,0,1.08629,approx_timesForwarded,0,0.0167887,0.0637133,0
1788419933,v3,olsr,10,high,16kbps,static,0,22,300,10526,4450,6076,42.2763,71.2,0.0267462,0.00966499,0,1.14539,approx_timesForwarded,1,0.0164169,0.0436378,0
1788419936,v3,olsr,10,high,16kbps,static,0,23,300,9486,9435,51,99.4624,150.96,0.0401565,0.0210991,0,1.22024,approx_timesForwarded,0,0.026508,0.0872294,0
1788419937,v3,olsr,10,high,16kbps,static,0,24,300,9486,5272,4214,55.5766,84.352,0.0178571,0.00737366,0,1.00057,approx_timesForwarded,0,0.014414,0.0453274,0
1788419940,v3,olsr,10,high,16kbps,static,0,25,300,10540,7644,2896,72.5237,122.304,0.0307754,0.0128192,0,1.30625,approx_timesForwarded,1,0.0156576,0.0630067,0
1788419942,v3,olsr,10,high,16kbps,static,0,26,300,10540,7384,3156,70.0569,118.144,0.052539,0.0254079,0,1.31744,approx_timesForwarded,6,0.0158351,0.0834048,0
1788419944,v3,olsr,10,high,16kbps,static,0,27,300,10540,5496,5044,52.1442,87.936,0.0335993,0.0103374,0,1.504,approx_timesForwarded,6,0.0130046,0.0662323,0
1788419945,v3,olsr,10,high,16kbps,static,0,28,300,10540,3235,7305,30.6926,51.76,0.0146911,0.00540155,0,1.07419,approx_timesForwarded,0,0.0136114,0.0428698,0
1788419948,v3,olsr,10,high,16kbps,static,0,29,300,10540,7608,2932,72.1822,121.728,0.0458294,0.0198262,0,1.42731,approx_timesForwarded,5,0.0175885,0.0987341,0
1788419950,v3,olsr,10,high,16kbps,static,0,30,300,10540,6505,4035,61.7173,104.08,0.0301781,0.011102,0,1.38893,approx_timesForwarded,1,0.0177664,0.0570778,0
