Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors
1788420383,v3,olsr,20,low,4kbps,medium,5,20,300,5260,3501,1759,66.5589,56.016,0.0844532,0.0606542,0,1.08398,approx_timesForwarded,121,0.0011026,0.0163277,0
1788420388,v3,olsr,20,low,4kbps,medium,5,21,300,5256,3027,2229,57.5913,48.432,0.0767467,0.0562038,0,1.09779,approx_timesForwarded,145,0.000868995,0.0146995,0
1788420394,v3,olsr,20,low,4kbps,medium,5,22,300,5260,3312,1948,62.9658,52.992,0.0824782,0.0635232,0,1.10839,approx_timesForwarded,148,0.000838926,0.0143923,0
1788420399,v3,olsr,20,low,4kbps,medium,5,23,300,5260,3725,1535,70.8175,59.6,0.096375,0.0703914,0,1.08456,approx_timesForwarded,128,0.00110142,0.0157286,0
1788420404,v3,olsr,20,low,4kbps,medium,5,24,300,5260,2382,2878,45.2852,38.112,0.067537,0.0528146,0,1.10202,approx_timesForwarded,140,0.000685319,0.0144077,0
1788420410,v3,olsr,20,low,4kbps,medium,5,25,300,5260,3739,1521,71.0837,59.824,0.0935724,0.066831,0,1.07997,approx_timesForwarded,118,0.00125321,0.0158669,0
1788420415,v3,olsr,20,low,4kbps,medium,5,26,300,5250,3465,1785,66,55.44,0.0936277,0.0653395,0,1.09293,approx_timesForwarded,123,0.00107825,0.0164659,0
1788420420,v3,olsr,20,low,4kbps,medium,5,27,300,5260,2898,2362,55.0951,46.368,0.0678516,0.0444084,0,1.05521,approx_timesForwarded,107,0.00101249,0.0157901,0
1788420425,v3,olsr,20,low,4kbps,medium,5,28,300,5260,2651,2609,50.3992,42.416,0.0680617,0.0489786,0,1.06526,approx_timesForwarded,101,0.000850409,0.0140083,0
1788420431,v3,olsr,20,low,4kbps,medium,5,29,300,5260,3315,1945,63.0228,53.04,0.0800734,0.0574718,0,1.07481,approx_timesForwarded,112,0.00095337,0.0140083,0
1788420436,v3,olsr,20,low,4kbps,medium,5,30,300,5260,3415,1845,64.924,54.64,0.0875869,0.0628523,0,1.09253,approx_timesForwarded,146,0.000980955,0.0152832,0
