Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors
1788420891,v3,olsr,20,medium,8kbps,medium,5,20,300,10540,6819,3721,64.6964,109.104,0.0760128,0.0463183,0,1.08755,approx_timesForwarded,123,0.0021323,0.0330701,0
1788420897,v3,olsr,20,medium,8kbps,medium,5,21,300,10533,5039,5494,47.8401,80.624,0.0651303,0.0394628,0,1.10081,approx_timesForwarded,145,0.00136418,0.0289536,0
1788420904,v3,olsr,20,medium,8kbps,medium,5,22,300,10540,6002,4538,56.945,96.032,0.074189,0.0468962,0,1.10713,approx_timesForwarded,161,0.00164358,0.027479,0
1788420911,v3,olsr,20,medium,8kbps,medium,5,23,300,10540,6287,4253,59.649,100.592,0.0792525,0.0504614,0,1.09528,approx_timesForwarded,148,0.00160401,0.0287539,0
1788420917,v3,olsr,20,medium,8kbps,medium,5,24,300,10540,5723,4817,54.2979,91.568,0.0705164,0.0427237,0,1.09208,approx_timesForwarded,146,0.00161464,0.0329626,0
1788420925,v3,olsr,20,medium,8kbps,medium,5,25,300,10540,7182,3358,68.1404,114.912,0.0802029,0.0479002,0,1.07296,approx_timesForwarded,119,0.00222993,0.031703,0
1788420932,v3,olsr,20,medium,8kbps,medium,5,26,300,10521,6742,3779,64.0814,107.872,0.0838719,0.0504125,0,1.09404,approx_timesForwarded,132,0.00204662,0.0321178,0
1788420939,v3,olsr,20,medium,8kbps,medium,5,27,300,10540,5850,4690,55.5028,93.6,0.0688052,0.0413542,0,1.06581,approx_timesForwarded,107,0.00183573,0.0269722,0
1788420945,v3,olsr,20,medium,8kbps,medium,5,28,300,10540,6356,4184,60.3036,101.696,0.0768441,0.0477127,0,1.07237,approx_timesForwarded,113,0.0019278,0.029783,0
1788420952,v3,olsr,20,medium,8kbps,medium,5,29,300,10540,5159,5381,48.9469,82.544,0.0594719,0.035873,0,1.07463,approx_timesForwarded,113,0.00138384,0.0267725,0
1788420959,v3,olsr,20,medium,8kbps,medium,5,30,300,10537,6847,3690,64.9805,109.552,0.0805648,0.0481738,0,1.09873,approx_timesForwarded,145,0.00189872,0.031273,0
