Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors
1788426565,v3,olsr,30,high,16kbps,low,1,20,300,31605,14143,17462,44.7492,226.288,0.106384,0.0584613,0,1.14629,approx_timesForwarded,227,0.00238439,0.0642202,0
1788426591,v3,olsr,30,high,16kbps,low,1,21,300,31543,16473,15070,52.2239,263.568,0.120823,0.0634409,0,1.21132,approx_timesForwarded,325,0.0022538,0.0680909,0
1788426621,v3,olsr,30,high,16kbps,low,1,22,300,31591,20988,10603,66.4366,335.808,0.126315,0.0692953,0,1.16667,approx_timesForwarded,318,0.00237353,0.0608256,0
1788426651,v3,olsr,30,high,16kbps,low,1,23,300,31561,19510,12051,61.8168,312.16,0.115393,0.0639109,0,1.13926,approx_timesForwarded,260,0.00275922,0.0555878,0
1788426684,v3,olsr,30,high,16kbps,low,1,24,300,31557,16894,14663,53.5349,270.304,0.1335,0.0727301,0,1.2328,approx_timesForwarded,485,0.00242081,0.0748339,0
1788426718,v3,olsr,30,high,16kbps,low,1,25,300,31558,20260,11298,64.1993,324.16,0.139646,0.0821946,0,1.1773,approx_timesForwarded,317,0.00215659,0.0586138,0
1788426751,v3,olsr,30,high,16kbps,low,1,26,300,31596,19933,11663,63.0871,318.928,0.127561,0.0728035,0,1.13861,approx_timesForwarded,280,0.00232366,0.061993,0
1788426782,v3,olsr,30,high,16kbps,low,1,27,300,31530,19923,11607,63.1874,318.768,0.114112,0.0627245,0,1.1051,approx_timesForwarded,252,0.00280757,0.0742349,0
1788426811,v3,olsr,30,high,16kbps,low,1,28,300,31620,19194,12426,60.7021,307.104,0.148451,0.0783969,0,1.23315,approx_timesForwarded,511,0.0025175,0.0767232,0
1788492935,v3,olsr,30,high,16kbps,low,1,29,300,31620,19559,12061,61.8564,312.944,0.105109,0.0579931,0,1.09914,approx_timesForwarded,260,0.00256811,0.0644966,0
1788492965,v3,olsr,30,high,16kbps,low,1,30,300,31620,18999,12621,60.0854,303.984,0.1185,0.0650114,0,1.17122,approx_timesForwarded,259,0.00282668,0.0782899,0
