Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors
1788422471,v3,olsr,30,low,4kbps,low,1,20,300,7890,4271,3619,54.1318,68.336,0.12546,0.0756919,0,1.09506,approx_timesForwarded,100,0.00141111,0.0173414,0
1788422488,v3,olsr,30,low,4kbps,low,1,21,300,7887,4329,3558,54.8878,69.264,0.109467,0.0626855,0,1.11088,approx_timesForwarded,97,0.00138281,0.0189696,0
1788422506,v3,olsr,30,low,4kbps,low,1,22,300,7890,5060,2830,64.1318,80.96,0.112476,0.065291,0,1.06818,approx_timesForwarded,94,0.0015134,0.0197683,0
1788422523,v3,olsr,30,low,4kbps,low,1,23,300,7889,5196,2693,65.8639,83.136,0.118592,0.0712854,0,1.06197,approx_timesForwarded,80,0.00159373,0.0190925,0
1788422540,v3,olsr,30,low,4kbps,low,1,24,300,7888,4435,3453,56.2246,70.96,0.127374,0.0805879,0,1.1168,approx_timesForwarded,133,0.0014057,0.0227328,0
1788422560,v3,olsr,30,low,4kbps,low,1,25,300,7890,4282,3608,54.2712,68.512,0.0902812,0.0536314,0,1.06165,approx_timesForwarded,84,0.00133517,0.015529,0
1788422579,v3,olsr,30,low,4kbps,low,1,26,300,7888,4900,2988,62.1197,78.4,0.0988842,0.0575279,0,1.03714,approx_timesForwarded,68,0.00182965,0.0201523,0
1788422598,v3,olsr,30,low,4kbps,low,1,27,300,7889,4481,3408,56.8006,71.696,0.0988534,0.0536424,0,1.06226,approx_timesForwarded,60,0.0017552,0.0196301,0
1788422614,v3,olsr,30,low,4kbps,low,1,28,300,7890,4925,2965,62.4208,78.8,0.12932,0.0776408,0,1.10802,approx_timesForwarded,135,0.00144327,0.0255437,0
1788422632,v3,olsr,30,low,4kbps,low,1,29,300,7890,4799,3091,60.8238,76.784,0.103064,0.0595208,0,1.0573,approx_timesForwarded,76,0.00141157,0.0203674,0
1788422649,v3,olsr,30,low,4kbps,low,1,30,300,7890,4282,3608,54.2712,68.512,0.102321,0.0657375,0,1.06609,approx_timesForwarded,90,0.0013976,0.0173722,0
