Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors
1788422076,v3,olsr,30,low,4kbps,static,0,20,300,7890,2636,5254,33.4094,42.176,0.0462736,0.019281,0,1.28376,approx_timesForwarded,25,0.00231898,0.0155136,0
1788422087,v3,olsr,30,low,4kbps,static,0,21,300,7890,3842,4048,48.6946,61.472,0.0893885,0.0476733,0,1.05466,approx_timesForwarded,47,0.00259089,0.0245146,0
1788422095,v3,olsr,30,low,4kbps,static,0,22,300,7890,2249,5641,28.5044,35.984,0.0491874,0.0222092,0,1.31836,approx_timesForwarded,9,0.00253407,0.0289997,0
1788422103,v3,olsr,30,low,4kbps,static,0,23,300,7890,3015,4875,38.2129,48.24,0.0703759,0.0337596,0,1.18872,approx_timesForwarded,38,0.00238879,0.0180634,0
1788422116,v3,olsr,30,low,4kbps,static,0,24,300,7890,4106,3784,52.0406,65.696,0.0661907,0.0344725,0,1.03483,approx_timesForwarded,16,0.00309027,0.0246528,0
1788422128,v3,olsr,30,low,4kbps,static,0,25,300,7890,3614,4276,45.8048,57.824,0.0853303,0.040022,0,1.12147,approx_timesForwarded,47,0.00234662,0.0209357,0
1788422137,v3,olsr,30,low,4kbps,static,0,26,300,7890,3273,4617,41.4829,52.368,0.0947693,0.0440747,0,1.27773,approx_timesForwarded,19,0.00276623,0.0280013,0
1788422145,v3,olsr,30,low,4kbps,static,0,27,300,7890,2991,4899,37.9087,47.856,0.0635928,0.0301496,0,1.23303,approx_timesForwarded,20,0.00205564,0.0138086,0
1788422153,v3,olsr,30,low,4kbps,static,0,28,300,7890,1851,6039,23.4601,29.616,0.035842,0.0177996,0,1.03079,approx_timesForwarded,15,0.00248822,0.0204595,0
1788422159,v3,olsr,30,low,4kbps,static,0,29,300,7890,2943,4947,37.3004,47.088,0.0596756,0.0282528,0,1.11723,approx_timesForwarded,14,0.00411883,0.0243149,0
1788422169,v3,olsr,30,low,4kbps,static,0,30,300,7890,3575,4315,45.3105,57.2,0.063097,0.0320426,0,1.1435,approx_timesForwarded,44,0.00275226,0.0213043,0
