Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors
1788580938,v3,olsr,75,medium,8kbps,low,1,20,300,39525,18276,21249,46.2391,292.416,0.263799,0.157723,0,1.26735,approx_timesForwarded,1393,0.000452814,0.0247757,0
1788581267,v3,olsr,75,medium,8kbps,low,1,21,300,39517,17962,21555,45.4539,287.392,0.296596,0.183525,0,1.29596,approx_timesForwarded,1891,0.000442154,0.0291226,0
1788581614,v3,olsr,75,medium,8kbps,low,1,22,300,39507,17077,22430,43.2253,273.232,0.279316,0.167369,0,1.28899,approx_timesForwarded,1455,0.000455929,0.0256973,0
1788581966,v3,olsr,75,medium,8kbps,low,1,23,300,39525,18055,21470,45.6799,288.88,0.282962,0.173251,0,1.28435,approx_timesForwarded,1612,0.000455925,0.0321792,0
1788582280,v3,olsr,75,medium,8kbps,low,1,24,300,39513,18676,20837,47.2655,298.816,0.301603,0.185288,0,1.32555,approx_timesForwarded,1845,0.000449933,0.0246374,0
1788582664,v3,olsr,75,medium,8kbps,low,1,25,300,39521,17061,22460,43.1695,272.976,0.294619,0.187379,0,1.29635,approx_timesForwarded,1583,0.000395201,0.0260506,0
1788583008,v3,olsr,75,medium,8kbps,low,1,26,300,39519,17269,22250,43.698,276.304,0.285301,0.17662,0,1.27616,approx_timesForwarded,1636,0.000437375,0.0244378,0
1788583361,v3,olsr,75,medium,8kbps,low,1,27,300,39525,13029,26496,32.9639,208.464,0.258694,0.154454,0,1.26963,approx_timesForwarded,1421,0.000416744,0.0354509,0
1788583687,v3,olsr,75,medium,8kbps,low,1,28,300,39521,16334,23187,41.3299,261.344,0.270677,0.16031,0,1.28064,approx_timesForwarded,1570,0.000459434,0.027049,0
1788584041,v3,olsr,75,medium,8kbps,low,1,29,300,39505,18908,20597,47.8623,302.528,0.277828,0.17333,0,1.2701,approx_timesForwarded,1649,0.000436189,0.0246221,0
1788584392,v3,olsr,75,medium,8kbps,low,1,30,300,39518,16539,22979,41.8518,264.624,0.27352,0.169585,0,1.29391,approx_timesForwarded,1499,0.000454276,0.0252365,0
