Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors
1788574650,v3,olsr,75,medium,8kbps,static,0,20,300,39525,14444,25081,36.544,231.104,0.242232,0.126108,0,1.37794,approx_timesForwarded,2011,0.000930935,0.0483994,0
1788574929,v3,olsr,75,medium,8kbps,static,0,21,300,39525,12436,27089,31.4636,198.976,0.261037,0.147907,0,1.3563,approx_timesForwarded,1728,0.000617864,0.0427008,0
1788575149,v3,olsr,75,medium,8kbps,static,0,22,300,39521,12067,27454,30.5331,193.072,0.217953,0.114373,0,1.30496,approx_timesForwarded,1791,0.000779707,0.0296294,0
1788575345,v3,olsr,75,medium,8kbps,static,0,23,300,39525,12792,26733,32.3643,204.672,0.220662,0.121242,0,1.29034,approx_timesForwarded,2055,0.000886447,0.0475546,0
1788575617,v3,olsr,75,medium,8kbps,static,0,24,300,39525,15463,24062,39.1221,247.408,0.208779,0.110465,0,1.25791,approx_timesForwarded,1813,0.000848251,0.0434995,0
1788575884,v3,olsr,75,medium,8kbps,static,0,25,300,39525,15788,23737,39.9443,252.608,0.220027,0.121806,0,1.27743,approx_timesForwarded,1768,0.000811348,0.0369408,0
1788576135,v3,olsr,75,medium,8kbps,static,0,26,300,39525,14051,25474,35.5497,224.816,0.229236,0.117894,0,1.30895,approx_timesForwarded,1799,0.000748465,0.0415334,0
1788576343,v3,olsr,75,medium,8kbps,static,0,27,300,39525,11870,27655,30.0316,189.92,0.216029,0.110081,0,1.27186,approx_timesForwarded,1831,0.000851352,0.043177,0
1788576578,v3,olsr,75,medium,8kbps,static,0,28,300,39525,14586,24939,36.9032,233.376,0.247861,0.127707,0,1.38825,approx_timesForwarded,2030,0.000803437,0.0385075,0
1788576807,v3,olsr,75,medium,8kbps,static,0,29,300,39525,13383,26142,33.8596,214.128,0.225546,0.117328,0,1.38138,approx_timesForwarded,1853,0.000829247,0.0367104,0
1788577013,v3,olsr,75,medium,8kbps,static,0,30,300,39525,14549,24976,36.8096,232.784,0.263599,0.13338,0,1.44402,approx_timesForwarded,1989,0.000889922,0.0409037,0
