Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors
1788420027,v3,static,10,high,16kbps,low,1,20,300,10540,6546,3994,62.1063,104.736,0.0379597,0.0192374,0,1.5,exact,0,0.0165451,0.0603341,8
1788420029,v3,static,10,high,16kbps,low,1,21,300,10540,4126,6414,39.1461,66.016,0.0346765,0.014266,0,1.5,exact,0,0.015807,0.0730675,2
1788420031,v3,static,10,high,16kbps,low,1,22,300,10540,3076,7464,29.1841,49.216,0.0268561,0.0101405,0,1.625,exact,0,0.0122929,0.0755712,2
1788420033,v3,static,10,high,16kbps,low,1,23,300,10540,7091,3449,67.277,113.456,0.0329993,0.0141821,0,1.125,exact,0,0.0172517,0.0578611,2
1788420034,v3,static,10,high,16kbps,low,1,24,300,10540,3412,7128,32.3719,54.592,0.030833,0.0130606,0,1.44444,exact,0,0.0190135,0.0563558,1
1788420036,v3,static,10,high,16kbps,low,1,25,300,10540,6726,3814,63.814,107.616,0.0470308,0.0223047,0,1.5,exact,0,0.0233295,0.0840192,0
1788420038,v3,static,10,high,16kbps,low,1,26,300,10540,5587,4953,53.0076,89.392,0.0319439,0.0161738,0,1.25,exact,0,0.0154371,0.0565555,6
1788420040,v3,static,10,high,16kbps,low,1,27,300,10540,5958,4582,56.5275,95.328,0.0377709,0.01725,0,1.57143,exact,0,0.0192858,0.0580147,3
1788420041,v3,static,10,high,16kbps,low,1,28,300,10540,2253,8287,21.3757,36.048,0.0246373,0.0122036,0,1.55556,exact,0,0.0164841,0.0613786,1
1788420043,v3,static,10,high,16kbps,low,1,29,300,10540,4471,6069,42.4194,71.536,0.0311488,0.0129775,0,1.42857,exact,0,0.0144841,0.055849,3
1788420045,v3,static,10,high,16kbps,low,1,30,300,10540,5876,4664,55.7495,94.016,0.0290391,0.0137279,0,1.42857,exact,0,0.0145514,0.0436224,3
