Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors
1788419732,v3,static,10,low,4kbps,low,1,20,300,2630,1680,950,63.8783,26.88,0.040322,0.0240105,0,1.5,exact,0,0.00432631,0.0150528,8
1788419733,v3,static,10,low,4kbps,low,1,21,300,2630,918,1712,34.9049,14.688,0.0309652,0.0123905,0,1.5,exact,0,0.0031709,0.0156672,2
1788419733,v3,static,10,low,4kbps,low,1,22,300,2630,763,1867,29.0114,12.208,0.0296796,0.0146506,0,1.625,exact,0,0.00374878,0.0303053,2
1788419734,v3,static,10,low,4kbps,low,1,23,300,2630,1796,834,68.289,28.736,0.033106,0.0159661,0,1.125,exact,0,0.00431718,0.0146534,2
1788419734,v3,static,10,low,4kbps,low,1,24,300,2630,797,1833,30.3042,12.752,0.0310092,0.0137781,0,1.44444,exact,0,0.00380405,0.011305,1
1788419735,v3,static,10,low,4kbps,low,1,25,300,2630,1517,1113,57.6806,24.272,0.0461375,0.0246244,0,1.5,exact,0,0.00528546,0.0159283,0
1788419735,v3,static,10,low,4kbps,low,1,26,300,2630,1394,1236,53.0038,22.304,0.0338188,0.0199056,0,1.25,exact,0,0.00383249,0.013993,6
1788419736,v3,static,10,low,4kbps,low,1,27,300,2630,1395,1235,53.0418,22.32,0.0363941,0.0161331,0,1.57143,exact,0,0.00421973,0.0145613,3
1788419737,v3,static,10,low,4kbps,low,1,28,300,2630,523,2107,19.8859,8.368,0.0273553,0.0151366,0,1.55556,exact,0,0.00396629,0.0153139,1
1788419737,v3,static,10,low,4kbps,low,1,29,300,2630,1004,1626,38.1749,16.064,0.03543,0.021882,0,1.42857,exact,0,0.00384293,0.0145152,3
1788419738,v3,static,10,low,4kbps,low,1,30,300,2630,1402,1228,53.308,22.432,0.0292627,0.0142115,0,1.42857,exact,0,0.00356352,0.0114893,3
