Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors
1788421904,v3,static,20,high,16kbps,medium,5,20,300,21080,3643,17437,17.2818,58.288,0.0422159,0.0216588,0,1.75,exact,0,0.015575,0.0545126,0
1788421907,v3,static,20,high,16kbps,medium,5,21,300,21080,3661,17419,17.3672,58.576,0.033406,0.0170361,0,1.47368,exact,0,0.0173315,0.0653414,1
1788421913,v3,static,20,high,16kbps,medium,5,22,300,21080,2792,18288,13.2448,44.672,0.0651434,0.0277296,0,1.9,exact,0,0.0190821,0.0881357,0
1788421917,v3,static,20,high,16kbps,medium,5,23,300,21080,4174,16906,19.8008,66.784,0.0342629,0.0174498,0,1.6,exact,0,0.015017,0.0569242,0
1788421920,v3,static,20,high,16kbps,medium,5,24,300,21080,3769,17311,17.8795,60.304,0.0318203,0.0153503,0,1.42105,exact,0,0.0117291,0.0521472,1
1788421924,v3,static,20,high,16kbps,medium,5,25,300,21080,4669,16411,22.149,74.704,0.0354819,0.0181023,0,1.5,exact,0,0.0144684,0.0494592,0
1788421929,v3,static,20,high,16kbps,medium,5,26,300,21080,5989,15091,28.4108,95.824,0.0536494,0.0253079,0,1.52941,exact,0,0.0210021,0.0820378,3
1788421935,v3,static,20,high,16kbps,medium,5,27,300,21080,4622,16458,21.926,73.952,0.0531469,0.0248737,0,1.9,exact,0,0.0201664,0.0763853,0
1788421939,v3,static,20,high,16kbps,medium,5,28,300,21080,3759,17321,17.8321,60.144,0.05539,0.0286844,0,1.75,exact,0,0.0181195,0.0749261,0
1788421944,v3,static,20,high,16kbps,medium,5,29,300,21080,4683,16397,22.2154,74.928,0.0533672,0.0259848,0,1.5,exact,0,0.0180995,0.0668774,0
1788421949,v3,static,20,high,16kbps,medium,5,30,300,21080,3907,17173,18.5342,62.512,0.0437072,0.0206552,0,1.88889,exact,0,0.0163948,0.0689818,2
