Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors
1788421193,v3,static,20,high,16kbps,static,0,20,300,21080,5403,15677,25.6309,86.448,0.0345454,0.015116,0,1.75,exact,0,0.015566,0.0536525,0
1788421199,v3,static,20,high,16kbps,static,0,21,300,21080,10272,10808,48.7287,164.352,0.0650143,0.0299123,0,1.47368,exact,0,0.019654,0.0843264,1
1788421206,v3,static,20,high,16kbps,static,0,22,300,21080,12887,8193,61.1338,206.192,0.0757545,0.0302167,0,1.9,exact,0,0.0232062,0.091223,0
1788421212,v3,static,20,high,16kbps,static,0,23,300,21080,9112,11968,43.2258,145.792,0.0642395,0.0265266,0,1.6,exact,0,0.0194292,0.0865075,0
1788421217,v3,static,20,high,16kbps,static,0,24,300,21080,9776,11304,46.3757,156.416,0.0425768,0.0175766,0,1.42105,exact,0,0.0182893,0.108303,1
1788421222,v3,static,20,high,16kbps,static,0,25,300,21080,8870,12210,42.0778,141.92,0.041309,0.0189077,0,1.5,exact,0,0.0153759,0.0486912,0
1788421224,v3,static,20,high,16kbps,static,0,26,300,21080,4162,16918,19.7438,66.592,0.0199965,0.00707118,0,1.52941,exact,0,0.0106218,0.0369408,3
1788421230,v3,static,20,high,16kbps,static,0,27,300,21080,11242,9838,53.3302,179.872,0.0545088,0.0205791,0,1.9,exact,0,0.0161194,0.0622541,0
1788421238,v3,static,20,high,16kbps,static,0,28,300,21080,11915,9165,56.5228,190.64,0.0930665,0.0331407,0,1.75,exact,0,0.0255229,0.142295,0
1788421243,v3,static,20,high,16kbps,static,0,29,300,21080,8348,12732,39.6015,133.568,0.0453644,0.0211911,0,1.5,exact,0,0.0133441,0.0552806,0
1788421249,v3,static,20,high,16kbps,static,0,30,300,21080,12041,9039,57.1205,192.656,0.0647968,0.0239856,0,1.88889,exact,0,0.0199492,0.0922982,2
