Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors
1788420199,v3,static,20,low,4kbps,static,0,20,300,5260,1191,4069,22.6426,19.056,0.0286411,0.0135217,0,1.75,exact,0,0.00398279,0.0133632,0
1788420201,v3,static,20,low,4kbps,static,0,21,300,5260,2265,2995,43.0608,36.24,0.0565913,0.0261162,0,1.47368,exact,0,0.00433378,0.0160205,1
1788420202,v3,static,20,low,4kbps,static,0,22,300,5260,2453,2807,46.635,39.248,0.0659579,0.0309691,0,1.9,exact,0,0.00472209,0.0196147,0
1788420204,v3,static,20,low,4kbps,static,0,23,300,5260,1807,3453,34.3536,28.912,0.0506047,0.0232035,0,1.6,exact,0,0.00433692,0.0150835,0
1788420205,v3,static,20,low,4kbps,static,0,24,300,5260,3117,2143,59.2586,49.872,0.062609,0.0308277,0,1.42105,exact,0,0.00472881,0.0341299,1
1788420207,v3,static,20,low,4kbps,static,0,25,300,5260,2905,2355,55.2281,46.48,0.0573276,0.0248309,0,1.5,exact,0,0.00394249,0.0178176,0
1788420208,v3,static,20,low,4kbps,static,0,26,300,5260,2093,3167,39.7909,33.488,0.049404,0.0242237,0,1.52941,exact,0,0.00375626,0.0130253,3
1788420209,v3,static,20,low,4kbps,static,0,27,300,5260,2609,2651,49.6008,41.744,0.058128,0.0224533,0,1.9,exact,0,0.00415991,0.0183706,0
1788420210,v3,static,20,low,4kbps,static,0,28,300,5260,746,4514,14.1825,11.936,0.030404,0.0162117,0,1.75,exact,0,0.00376274,0.0181402,0
1788420212,v3,static,20,low,4kbps,static,0,29,300,5260,1804,3456,34.2966,28.864,0.0406705,0.0205701,0,1.5,exact,0,0.00362621,0.0147456,0
1788420213,v3,static,20,low,4kbps,static,0,30,300,5260,2092,3168,39.7719,33.472,0.0505783,0.0215753,0,1.88889,exact,0,0.00411743,0.015145,2
