Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors
1788420961,v3,static,20,medium,8kbps,medium,5,20,300,10540,1396,9144,13.2448,22.336,0.0371064,0.0180813,0,1.75,exact,0,0.00706816,0.0241459,0
1788420963,v3,static,20,medium,8kbps,medium,5,21,300,10540,1727,8813,16.3852,27.632,0.0349897,0.0172649,0,1.47368,exact,0,0.00798598,0.033961,1
1788420965,v3,static,20,medium,8kbps,medium,5,22,300,10540,1494,9046,14.1746,23.904,0.0595901,0.023377,0,1.9,exact,0,0.00924787,0.0383386,0
1788420967,v3,static,20,medium,8kbps,medium,5,23,300,10540,2025,8515,19.2125,32.4,0.029593,0.0154447,0,1.6,exact,0,0.00707079,0.0272179,0
1788420968,v3,static,20,medium,8kbps,medium,5,24,300,10540,2068,8472,19.6205,33.088,0.0283468,0.0150638,0,1.42105,exact,0,0.00648759,0.0262656,1
1788420970,v3,static,20,medium,8kbps,medium,5,25,300,10540,2357,8183,22.3624,37.712,0.0372139,0.0203084,0,1.5,exact,0,0.00785975,0.0274176,0
1788420973,v3,static,20,medium,8kbps,medium,5,26,300,10540,3508,7032,33.2827,56.128,0.0591881,0.028797,0,1.52941,exact,0,0.00904893,0.0344678,3
1788420975,v3,static,20,medium,8kbps,medium,5,27,300,10540,1732,8808,16.4326,27.712,0.0399352,0.0185025,0,1.9,exact,0,0.00948968,0.0385997,0
1788420977,v3,static,20,medium,8kbps,medium,5,28,300,10540,1318,9222,12.5047,21.088,0.0413416,0.0225896,0,1.75,exact,0,0.008578,0.029015,0
1788420979,v3,static,20,medium,8kbps,medium,5,29,300,10540,2250,8290,21.3472,36,0.0449527,0.0215575,0,1.5,exact,0,0.00954768,0.0331469,0
1788420982,v3,static,20,medium,8kbps,medium,5,30,300,10540,2308,8232,21.8975,36.928,0.0639491,0.0294028,0,1.88889,exact,0,0.010786,0.0415949,2
