Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors
1788424309,v3,static,30,medium,8kbps,low,1,20,300,15810,4330,11480,27.3877,69.28,0.0959277,0.0375247,0,1.8,exact,0,0.00996383,0.0494438,0
1788424312,v3,static,30,medium,8kbps,low,1,21,300,15810,2347,13463,14.845,37.552,0.0415277,0.0201261,0,1.46667,exact,0,0.00654935,0.0298291,0
1788424319,v3,static,30,medium,8kbps,low,1,22,300,15810,4838,10972,30.6009,77.408,0.0901667,0.0371362,0,1.8,exact,0,0.0097451,0.121728,0
1788424325,v3,static,30,medium,8kbps,low,1,23,300,15810,5443,10367,34.4276,87.088,0.0849972,0.0354059,0,1.8,exact,0,0.00845003,0.0576768,0
1788424329,v3,static,30,medium,8kbps,low,1,24,300,15810,3427,12383,21.6762,54.832,0.0477549,0.0264235,0,1.43333,exact,0,0.00744726,0.0364646,0
1788424335,v3,static,30,medium,8kbps,low,1,25,300,15810,5851,9959,37.0082,93.616,0.0983249,0.0407512,0,1.56667,exact,0,0.0087826,0.0505805,0
1788424343,v3,static,30,medium,8kbps,low,1,26,300,15810,6126,9684,38.7476,98.016,0.0994828,0.0396907,0,1.66667,exact,0,0.00880657,0.0594125,0
1788424350,v3,static,30,medium,8kbps,low,1,27,300,15810,6327,9483,40.019,101.232,0.087872,0.036016,0,1.73333,exact,0,0.0089569,0.029184,0
1788424353,v3,static,30,medium,8kbps,low,1,28,300,15810,2859,12951,18.0835,45.744,0.050134,0.0204523,0,1.55172,exact,0,0.00686029,0.0340531,1
1788424359,v3,static,30,medium,8kbps,low,1,29,300,15810,5048,10762,31.9292,80.768,0.0818374,0.0300567,0,1.6,exact,0,0.00764044,0.0474163,0
1788424362,v3,static,30,medium,8kbps,low,1,30,300,15810,2426,13384,15.3447,38.816,0.0425842,0.0181424,0,1.7,exact,0,0.00616542,0.0272486,0
