Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors
1788423568,v3,static,30,medium,8kbps,static,0,20,300,15810,5184,10626,32.7894,82.944,0.0609598,0.0210317,0,1.8,exact,0,0.00748153,0.0367258,0
1788423573,v3,static,30,medium,8kbps,static,0,21,300,15810,5612,10198,35.4965,89.792,0.0656217,0.0288485,0,1.46667,exact,0,0.00760045,0.0373555,0
1788423579,v3,static,30,medium,8kbps,static,0,22,300,15810,7898,7912,49.9557,126.368,0.0793169,0.0301203,0,1.8,exact,0,0.00896509,0.0356813,0
1788423586,v3,static,30,medium,8kbps,static,0,23,300,15810,8821,6989,55.7938,141.136,0.0987602,0.0360955,0,1.8,exact,0,0.0105004,0.0655565,0
1788423592,v3,static,30,medium,8kbps,static,0,24,300,15810,8432,7378,53.3333,134.912,0.0692846,0.0332602,0,1.43333,exact,0,0.00916962,0.0542822,0
1788423597,v3,static,30,medium,8kbps,static,0,25,300,15810,6987,8823,44.1935,111.792,0.0628782,0.0277795,0,1.56667,exact,0,0.00760847,0.0459878,0
1788423602,v3,static,30,medium,8kbps,static,0,26,300,15810,5155,10655,32.6059,82.48,0.0614067,0.0256283,0,1.66667,exact,0,0.00688402,0.0421018,0
1788423605,v3,static,30,medium,8kbps,static,0,27,300,15810,5077,10733,32.1126,81.232,0.0417382,0.0179182,0,1.73333,exact,0,0.0054324,0.0287232,0
1788423610,v3,static,30,medium,8kbps,static,0,28,300,15810,5306,10504,33.561,84.896,0.0886872,0.0371704,0,1.55172,exact,0,0.00873696,0.0493056,1
1788423615,v3,static,30,medium,8kbps,static,0,29,300,15810,6278,9532,39.709,100.448,0.0655918,0.0270607,0,1.6,exact,0,0.00812742,0.0470938,0
1788423621,v3,static,30,medium,8kbps,static,0,30,300,15810,7534,8276,47.6534,120.544,0.0802939,0.0358724,0,1.7,exact,0,0.00877335,0.0528691,0
