Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors
1788570991,v3,static,75,low,4kbps,medium,5,20,300,19725,1615,18110,8.18758,25.84,0.12805,0.0485696,0,1.62667,exact,0,0.00455738,0.032256,0
1788570998,v3,static,75,low,4kbps,medium,5,21,300,19725,1922,17803,9.74398,30.752,0.134806,0.0589552,0,1.45333,exact,0,0.00317067,0.0133632,0
1788571010,v3,static,75,low,4kbps,medium,5,22,300,19725,2648,17077,13.4246,42.368,0.12321,0.0512857,0,1.65333,exact,0,0.0046788,0.022441,0
1788571019,v3,static,75,low,4kbps,medium,5,23,300,19725,1485,18240,7.52852,23.76,0.0970809,0.0478255,0,1.65333,exact,0,0.00431379,0.0173107,0
1788571027,v3,static,75,low,4kbps,medium,5,24,300,19725,2022,17703,10.251,32.352,0.115225,0.0569185,0,1.52,exact,0,0.00393993,0.0207514,0
1788571035,v3,static,75,low,4kbps,medium,5,25,300,19725,1883,17842,9.54626,30.128,0.0857945,0.0466574,0,1.49333,exact,0,0.00346032,0.0137165,0
1788571041,v3,static,75,low,4kbps,medium,5,26,300,19725,1798,17927,9.11534,28.768,0.101746,0.0506298,0,1.57333,exact,0,0.00314478,0.0118118,0
1788571050,v3,static,75,low,4kbps,medium,5,27,300,19725,2194,17531,11.1229,35.104,0.0906909,0.0454244,0,1.61333,exact,0,0.00440804,0.0188006,0
1788571059,v3,static,75,low,4kbps,medium,5,28,300,19725,2075,17650,10.5196,33.2,0.0984326,0.0498394,0,1.57333,exact,0,0.00406593,0.0159744,0
1788571069,v3,static,75,low,4kbps,medium,5,29,300,19725,1911,17814,9.68821,30.576,0.114444,0.0540637,0,1.6,exact,0,0.00410858,0.0195533,0
1788571074,v3,static,75,low,4kbps,medium,5,30,300,19725,799,18926,4.0507,12.784,0.0750007,0.0406371,0,1.61333,exact,0,0.00284331,0.0110438,0
