Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors,SigmoidKRisk,SigmoidX0Risk,SigmoidKLoad,SigmoidX0Load,WeightRisk,WeightLoad
1788370685,v4,v4,100,medium,8kbps,static,0,20,300,52700,14175,38525,26.8975,226.8,0.175368,0.0568842,0,1.67,exact,0,0.0082405,0.116183,0,5,0.5,5,0.5,0.75,0.25
1788370768,v4,v4,100,medium,8kbps,static,0,21,300,52700,16762,35938,31.8065,268.192,0.234872,0.0956378,0,1.49,exact,0,0.00843835,0.0828365,0,5,0.5,5,0.5,0.75,0.25
1788370858,v4,v4,100,medium,8kbps,static,0,22,300,52700,15521,37179,29.4516,248.336,0.255101,0.0890158,0,1.68,exact,0,0.00800372,0.122342,0,5,0.5,5,0.5,0.75,0.25
1788370955,v4,v4,100,medium,8kbps,static,0,23,300,52700,16571,36129,31.444,265.136,0.24968,0.0891769,0,1.59,exact,0,0.00843381,0.0882893,0,5,0.5,5,0.5,0.75,0.25
1788371022,v4,v4,100,medium,8kbps,static,0,24,300,52700,13104,39596,24.8653,209.664,0.128261,0.0454437,0,1.57,exact,0,0.00656936,0.0783053,0,5,0.5,5,0.5,0.75,0.25
1788371113,v4,v4,100,medium,8kbps,static,0,25,300,52700,17019,35681,32.2941,272.304,0.174172,0.0601631,0,1.51,exact,0,0.00696328,0.0776755,0,5,0.5,5,0.5,0.75,0.25
1788371197,v4,v4,100,medium,8kbps,static,0,26,300,52700,14557,38143,27.6224,232.912,0.164749,0.054419,0,1.57,exact,0,0.00768661,0.122803,0,5,0.5,5,0.5,0.75,0.25
1788371263,v4,v4,100,medium,8kbps,static,0,27,300,52700,13747,38953,26.0854,219.952,0.196728,0.0613071,0,1.62,exact,0,0.0074194,0.150682,0,5,0.5,5,0.5,0.75,0.25
1788371356,v4,v4,100,medium,8kbps,static,0,28,300,52700,14722,37978,27.9355,235.552,0.160991,0.0578987,0,1.62,exact,0,0.00748904,0.0865997,0,5,0.5,5,0.5,0.75,0.25
1788371433,v4,v4,100,medium,8kbps,static,0,29,300,52700,13723,38977,26.0398,219.568,0.144558,0.0549585,0,1.61,exact,0,0.00679097,0.039936,0,5,0.5,5,0.5,0.75,0.25
1788371506,v4,v4,100,medium,8kbps,static,0,30,300,52700,13675,39025,25.9488,218.8,0.18829,0.0686942,0,1.58,exact,0,0.00692537,0.0797952,0,5,0.5,5,0.5,0.75,0.25
