Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors,SigmoidKRisk,SigmoidX0Risk,SigmoidKLoad,SigmoidX0Load,WeightRisk,WeightLoad
1788320603,v4,v4,10,high,16kbps,low,1,20,300,10540,6943,3597,65.8729,111.088,0.037261,0.0177565,0,1.5,exact,0,0.0164224,0.0600422,8,5,0.5,5,0.5,0.75,0.25
1788320606,v4,v4,10,high,16kbps,low,1,21,300,10540,4374,6166,41.4991,69.984,0.0292751,0.0128368,0,1.5,exact,0,0.0133878,0.0447744,2,5,0.5,5,0.5,0.75,0.25
1788320609,v4,v4,10,high,16kbps,low,1,22,300,10540,3329,7211,31.5844,53.264,0.0267291,0.0120093,0,1.625,exact,0,0.0155964,0.0709325,2,5,0.5,5,0.5,0.75,0.25
1788320613,v4,v4,10,high,16kbps,low,1,23,300,10540,6768,3772,64.2125,108.288,0.0346271,0.0170566,0,1.125,exact,0,0.0185952,0.056448,2,5,0.5,5,0.5,0.75,0.25
1788320615,v4,v4,10,high,16kbps,low,1,24,300,10540,3782,6758,35.8824,60.512,0.0318565,0.0142161,0,1.44444,exact,0,0.0157449,0.0416563,1,5,0.5,5,0.5,0.75,0.25
1788320620,v4,v4,10,high,16kbps,low,1,25,300,10540,5759,4781,54.6395,92.144,0.0395785,0.0173272,0,1.5,exact,0,0.0210872,0.0845261,0,5,0.5,5,0.5,0.75,0.25
1788320623,v4,v4,10,high,16kbps,low,1,26,300,10540,4620,5920,43.833,73.92,0.0281763,0.0120026,0,1.25,exact,0,0.012927,0.0568934,6,5,0.5,5,0.5,0.75,0.25
1788320627,v4,v4,10,high,16kbps,low,1,27,300,10540,7541,2999,71.5465,120.656,0.0446445,0.0215327,0,1.57143,exact,0,0.0230232,0.0755558,3,5,0.5,5,0.5,0.75,0.25
1788320630,v4,v4,10,high,16kbps,low,1,28,300,10540,4146,6394,39.3359,66.336,0.032251,0.0122454,0,1.55556,exact,0,0.0123022,0.0419328,1,5,0.5,5,0.5,0.75,0.25
1788320633,v4,v4,10,high,16kbps,low,1,29,300,10540,4807,5733,45.6072,76.912,0.0245788,0.0115398,0,1.42857,exact,0,0.0162876,0.0453581,3,5,0.5,5,0.5,0.75,0.25
1788320637,v4,v4,10,high,16kbps,low,1,30,300,10540,4159,6381,39.4592,66.544,0.0353305,0.0160103,0,1.42857,exact,0,0.0182007,0.069289,3,5,0.5,5,0.5,0.75,0.25
