Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors,SigmoidKRisk,SigmoidX0Risk,SigmoidKLoad,SigmoidX0Load,WeightRisk,WeightLoad
1788320824,v4,v4,20,medium,8kbps,low,1,20,300,10540,3134,7406,29.7343,50.144,0.0559834,0.0229275,0,1.85,exact,0,0.00880361,0.0356045,0,5,0.5,5,0.5,0.75,0.25
1788320829,v4,v4,20,medium,8kbps,low,1,21,300,10540,2432,8108,23.074,38.912,0.0405878,0.0179512,0,1.47368,exact,0,0.00579413,0.02304,1,5,0.5,5,0.5,0.75,0.25
1788320836,v4,v4,20,medium,8kbps,low,1,22,300,10540,3638,6902,34.5161,58.208,0.0554198,0.0199273,0,1.9,exact,0,0.00823461,0.037417,0,5,0.5,5,0.5,0.75,0.25
1788320843,v4,v4,20,medium,8kbps,low,1,23,300,10540,2869,7671,27.2201,45.904,0.0395489,0.0182965,0,1.6,exact,0,0.00787019,0.0400282,0,5,0.5,5,0.5,0.75,0.25
1788320848,v4,v4,20,medium,8kbps,low,1,24,300,10540,3617,6923,34.3169,57.872,0.0530429,0.0227028,0,1.42105,exact,0,0.00704296,0.0262349,1,5,0.5,5,0.5,0.75,0.25
1788320853,v4,v4,20,medium,8kbps,low,1,25,300,10540,1854,8686,17.5901,29.664,0.0334357,0.0191536,0,1.5,exact,0,0.0069699,0.0254208,0,5,0.5,5,0.5,0.75,0.25
1788320859,v4,v4,20,medium,8kbps,low,1,26,300,10540,3549,6991,33.6717,56.784,0.0411782,0.0200151,0,1.52941,exact,0,0.0081742,0.0314266,3,5,0.5,5,0.5,0.75,0.25
1788320865,v4,v4,20,medium,8kbps,low,1,27,300,10540,3093,7447,29.3454,49.488,0.0618061,0.0301583,0,1.9,exact,0,0.00739503,0.026327,0,5,0.5,5,0.5,0.75,0.25
1788320871,v4,v4,20,medium,8kbps,low,1,28,300,10540,3273,7267,31.0531,52.368,0.0615455,0.0285453,0,1.75,exact,0,0.00891203,0.0295834,0,5,0.5,5,0.5,0.75,0.25
1788320878,v4,v4,20,medium,8kbps,low,1,29,300,10540,3940,6600,37.3814,63.04,0.0494585,0.0213974,0,1.5,exact,0,0.00740754,0.0331315,0,5,0.5,5,0.5,0.75,0.25
1788320885,v4,v4,20,medium,8kbps,low,1,30,300,10540,3174,7366,30.1139,50.784,0.0542929,0.0230248,0,1.88889,exact,0,0.00781653,0.0657408,2,5,0.5,5,0.5,0.75,0.25
