Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors,SigmoidKRisk,SigmoidX0Risk,SigmoidKLoad,SigmoidX0Load,WeightRisk,WeightLoad
1788320889,v4,v4,20,medium,8kbps,medium,5,20,300,10540,1814,8726,17.2106,29.024,0.0460108,0.0216117,0,1.85,exact,0,0.0092387,0.0375552,0,5,0.5,5,0.5,0.75,0.25
1788320894,v4,v4,20,medium,8kbps,medium,5,21,300,10540,3432,7108,32.5617,54.912,0.0631926,0.0350179,0,1.47368,exact,0,0.0108003,0.035497,1,5,0.5,5,0.5,0.75,0.25
1788320900,v4,v4,20,medium,8kbps,medium,5,22,300,10540,1382,9158,13.112,22.112,0.0661273,0.0287276,0,1.9,exact,0,0.00877683,0.0398899,0,5,0.5,5,0.5,0.75,0.25
1788320904,v4,v4,20,medium,8kbps,medium,5,23,300,10540,2884,7656,27.3624,46.144,0.034547,0.0177909,0,1.6,exact,0,0.00728296,0.0296141,0,5,0.5,5,0.5,0.75,0.25
1788320908,v4,v4,20,medium,8kbps,medium,5,24,300,10540,2778,7762,26.3567,44.448,0.0469199,0.0242491,0,1.42105,exact,0,0.00874254,0.032855,1,5,0.5,5,0.5,0.75,0.25
1788320912,v4,v4,20,medium,8kbps,medium,5,25,300,10540,1899,8641,18.0171,30.384,0.0525866,0.0297935,0,1.5,exact,0,0.0095331,0.0389683,0,5,0.5,5,0.5,0.75,0.25
1788320916,v4,v4,20,medium,8kbps,medium,5,26,300,10540,1226,9314,11.6319,19.616,0.0334765,0.0195306,0,1.52941,exact,0,0.00946843,0.0310886,3,5,0.5,5,0.5,0.75,0.25
1788320921,v4,v4,20,medium,8kbps,medium,5,27,300,10540,611,9929,5.79696,9.776,0.0447818,0.0221205,0,1.9,exact,0,0.00833634,0.0358349,0,5,0.5,5,0.5,0.75,0.25
1788320925,v4,v4,20,medium,8kbps,medium,5,28,300,10540,2154,8386,20.4364,34.464,0.0316773,0.0159832,0,1.75,exact,0,0.00813897,0.0346675,0,5,0.5,5,0.5,0.75,0.25
1788320930,v4,v4,20,medium,8kbps,medium,5,29,300,10540,3234,7306,30.6831,51.744,0.0556797,0.0283902,0,1.5,exact,0,0.00971802,0.0299366,0,5,0.5,5,0.5,0.75,0.25
1788320937,v4,v4,20,medium,8kbps,medium,5,30,300,10540,3376,7164,32.0304,54.016,0.060583,0.0299116,0,1.88889,exact,0,0.0115823,0.0442829,2,5,0.5,5,0.5,0.75,0.25
