Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors,SigmoidKRisk,SigmoidX0Risk,SigmoidKLoad,SigmoidX0Load,WeightRisk,WeightLoad
1788322585,v4,v4,30,high,16kbps,static,0,20,300,31620,20469,11151,64.7343,327.504,0.0892137,0.0312205,0,1.93333,exact,0,0.0194479,0.156964,0,5,0.5,5,0.5,0.75,0.25
1788322607,v4,v4,30,high,16kbps,static,0,21,300,31620,16881,14739,53.3871,270.096,0.108329,0.0531456,0,1.46667,exact,0,0.0254004,0.163046,0,5,0.5,5,0.5,0.75,0.25
1788322635,v4,v4,30,high,16kbps,static,0,22,300,31620,19177,12443,60.6483,306.832,0.101544,0.042566,0,1.8,exact,0,0.0215604,0.14228,0,5,0.5,5,0.5,0.75,0.25
1788322661,v4,v4,30,high,16kbps,static,0,23,300,31620,13692,17928,43.3017,219.072,0.090807,0.0358424,0,1.8,exact,0,0.0195706,0.105462,0,5,0.5,5,0.5,0.75,0.25
1788322684,v4,v4,30,high,16kbps,static,0,24,300,31620,16237,15383,51.3504,259.792,0.0885664,0.0403043,0,1.43333,exact,0,0.0168311,0.102743,0,5,0.5,5,0.5,0.75,0.25
1788322708,v4,v4,30,high,16kbps,static,0,25,300,31620,17613,14007,55.7021,281.808,0.0936294,0.0413535,0,1.56667,exact,0,0.0172923,0.0994253,0,5,0.5,5,0.5,0.75,0.25
1788323203,v4,v4,30,high,16kbps,static,0,26,300,31620,12327,19293,38.9848,197.232,0.0552198,0.0250621,0,1.7,exact,0,0.0181274,0.0994406,0,5,0.5,5,0.5,0.75,0.25
1788323222,v4,v4,30,high,16kbps,static,0,27,300,31620,11363,20257,35.9361,181.808,0.0594329,0.0208641,0,1.73333,exact,0,0.0154839,0.0915763,0,5,0.5,5,0.5,0.75,0.25
1788323239,v4,v4,30,high,16kbps,static,0,28,300,31620,9938,21682,31.4295,159.008,0.0534296,0.020688,0,1.55172,exact,0,0.0149925,0.0894106,1,5,0.5,5,0.5,0.75,0.25
1788323255,v4,v4,30,high,16kbps,static,0,29,300,31620,11282,20338,35.6799,180.512,0.0570043,0.0252678,0,1.6,exact,0,0.016379,0.0722074,0,5,0.5,5,0.5,0.75,0.25
1788323278,v4,v4,30,high,16kbps,static,0,30,300,31620,14025,17595,44.3548,224.4,0.061122,0.0282963,0,1.7,exact,0,0.0168751,0.0679987,0,5,0.5,5,0.5,0.75,0.25
