Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors,SigmoidKRisk,SigmoidX0Risk,SigmoidKLoad,SigmoidX0Load,WeightRisk,WeightLoad
1788345980,v4,v4,50,low,4kbps,low,1,20,300,13150,2977,10173,22.6388,47.632,0.112385,0.0458369,0,1.62,exact,0,0.00435712,0.0229325,0,5,0.5,5,0.5,0.75,0.25
1788345991,v4,v4,50,low,4kbps,low,1,21,300,13150,3476,9674,26.4335,55.616,0.0944076,0.0461407,0,1.44,exact,0,0.00399557,0.0186624,0,5,0.5,5,0.5,0.75,0.25
1788346005,v4,v4,50,low,4kbps,low,1,22,300,13150,2777,10373,21.1179,44.432,0.0918819,0.0419388,0,1.66,exact,0,0.00384698,0.0180326,0,5,0.5,5,0.5,0.75,0.25
1788346017,v4,v4,50,low,4kbps,low,1,23,300,13150,3205,9945,24.3726,51.28,0.10889,0.0492871,0,1.62,exact,0,0.00409563,0.0267571,0,5,0.5,5,0.5,0.75,0.25
1788346030,v4,v4,50,low,4kbps,low,1,24,300,13150,2946,10204,22.403,47.136,0.0979478,0.0401579,0,1.54,exact,0,0.00427985,0.0326246,0,5,0.5,5,0.5,0.75,0.25
1788346043,v4,v4,50,low,4kbps,low,1,25,300,13150,2606,10544,19.8175,41.696,0.0857541,0.0393785,0,1.5,exact,0,0.00399543,0.0163891,0,5,0.5,5,0.5,0.75,0.25
1788346055,v4,v4,50,low,4kbps,low,1,26,300,13150,3079,10071,23.4144,49.264,0.0890847,0.0408843,0,1.52,exact,0,0.00395812,0.0199526,0,5,0.5,5,0.5,0.75,0.25
1788346067,v4,v4,50,low,4kbps,low,1,27,300,13150,2762,10388,21.0038,44.192,0.0981593,0.0462754,0,1.62,exact,0,0.00375032,0.0143462,0,5,0.5,5,0.5,0.75,0.25
1788346078,v4,v4,50,low,4kbps,low,1,28,300,13150,1687,11463,12.8289,26.992,0.0680821,0.0307925,0,1.6,exact,0,0.00379291,0.0165427,0,5,0.5,5,0.5,0.75,0.25
1788346092,v4,v4,50,low,4kbps,low,1,29,300,13150,2781,10369,21.1483,44.496,0.113795,0.041644,0,1.62,exact,0,0.00419766,0.0211968,0,5,0.5,5,0.5,0.75,0.25
1788346104,v4,v4,50,low,4kbps,low,1,30,300,13150,3437,9713,26.1369,54.992,0.095668,0.0448762,0,1.64,exact,0,0.00344699,0.0158208,0,5,0.5,5,0.5,0.75,0.25
